"source_path","source_sha256","source_bytes","disposition","target_path","target_sha256","reason"
".github/PULL_REQUEST_TEMPLATE.md","2aa2ca7b1dbe22299af51dac17c6aad1f5900723cb71d9fdf9f6e0adabd951d1","403","school_specific_exclusion","","","Week 1-5 administration, runner, report, template, or school showcase content"
".gitignore","d51e5e45ef75294953162382448cbab2fd27738d5790e31cd20f980d08b2f131","2069","migrated_modified_publication",".gitignore","08b09eff8ea95905457fc99688d7aa7c76ae55f1c7a49ed9a7a47f5c5e3b7b9a","Retained and updated for repository separation or publication packaging"
".python-version","56c16a411e41fec3219e828087f312d9891641e3b29093c69d08a05ec1e5d693","8","migrated_modified_publication",".python-version","02e735b3dfe1c32833eb550b7ff8ffa17f5f2bc3fa1e7bae61a8f5a3883ce398","Retained and updated for repository separation or publication packaging"
"AGENTS.md","6025eb639bc206e79bd60d3b556bb34b0245c7af010c6a0ef0b3a42837d5bb71","66514","migrated_modified_publication","AGENTS.md","5c9a97b3d1bc3719a2409c3229ed6d74de5ea33ff4c5cc6744d15aec1f7da0f5","Retained and updated for repository separation or publication packaging"
"CMakeLists.txt","abba58122c82e4cdef754d2109625256d17d5d79e2dfedecc1cdc9024ca4c9b6","534","migrated_unchanged","CMakeLists.txt","abba58122c82e4cdef754d2109625256d17d5d79e2dfedecc1cdc9024ca4c9b6","Byte-identical scientific source retained"
"EVRP-TW主Baseline分阶段改进路线图.md","554bcc90c85c93dd513fe1acc4bf1822ba5d8a7d9cc0c14510de33aebf2aec69","73350","local_external_artifact","","","Moved to an ignored local planning file; excluded from the public Git tree"
"FURP_Showcase_PLACEHOLDER.md","b0e679abdd35442bfcbbe2543c82294ede59b5a4594defdbf9d61ffe9879b659","632","school_specific_exclusion","","","Week 1-5 administration, runner, report, template, or school showcase content"
"README.md","47118fcb2a4b9c74bf4af9073df3c3881fe5a42c35ab378ffcbf3d5ea93691f1","15187","migrated_modified_publication","README.md","6ab8b1b3eeb4023c772e28d641e298a3ac3d8e4a8be84bfadf523097b3b8e252","Retained and updated for repository separation or publication packaging"
"configs/performance.toml","c8c1c62be018354b2e4cd9028812c45debfa45ee1702f9427a8a13820f1b3e84","598","migrated_unchanged","configs/performance.toml","c8c1c62be018354b2e4cd9028812c45debfa45ee1702f9427a8a13820f1b3e84","Byte-identical scientific source retained"
"configs/reproduction.toml","04f38d76b2fa632c182841cb3979a5d54902c2eadd5466ff5701549f035d3b14","577","migrated_unchanged","configs/reproduction.toml","04f38d76b2fa632c182841cb3979a5d54902c2eadd5466ff5701549f035d3b14","Byte-identical scientific source retained"
