instance,customer_count,class,source_paper,source_doi,source_year,charging_model,objective_function,distance_metric,bks_vehicles,bks_distance,bks_charging_time,bks_charging_count,model_compatible,compatibility_notes
c101C5,5,C1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,257.75,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c103C5,5,C1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,1,176.05,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c206C5,5,C2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,1,242.55,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c208C5,5,C2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,1,158.48,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r104C5,5,R1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,136.69,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r105C5,5,R1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,156.08,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r202C5,5,R2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,1,128.78,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r203C5,5,R2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,1,179.06,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc105C5,5,RC1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,241.3,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc108C5,5,RC1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,1,253.93,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc204C5,5,RC2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,1,176.39,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc208C5,5,RC2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,1,167.98,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c101C10,10,C1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,393.76,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c104C10,10,C1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,273.93,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c202C10,10,C2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,1,304.06,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c205C10,10,C2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,228.28,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r102C10,10,R1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,249.19,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r103C10,10,R1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,207.05,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r201C10,10,R2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,1,241.51,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r203C10,10,R2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,1,218.21,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc102C10,10,RC1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,4,423.51,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc108C10,10,RC1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,345.93,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc201C10,10,RC2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,1,412.86,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc205C10,10,RC2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,325.98,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c103C15,15,C1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,384.29,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c106C15,15,C1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,275.13,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c202C15,15,C2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,383.62,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c208C15,15,C2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,300.55,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r102C15,15,R1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,5,413.93,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r105C15,15,R1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,4,336.15,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
