schema_version,experiment_id,instance,seed,algorithm,repository_revision,repository_dirty,algorithm_source_sha256,instance_sha256,start_utc,end_utc,time_limit_seconds,max_iterations,threads,vehicle_count,total_distance,total_energy,total_charged_energy,total_charging_time,runtime_seconds,iterations,accepted_moves,improving_moves,rejected_moves,charging_subproblem_calls,charging_subproblem_average_seconds,coverage_violations,route_structure_violations,capacity_violations,time_window_violations,energy_violations,objective_violations,other_violations,total_violation_count,status,feasible,failure_reason,raw_log_path,solution_path
1,c101C5-alns_exact_charging-2014,c101C5,2014,ALNS_EXACT_CHARGING,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,a920c134e0937b29958056f383656bc6e1444e6359e57c35ced6558f943105f0,8612d6d9aad051776097a5e50c7408f39352b8107b0639d58e5eda713f9ff876,2026-07-12T22:33:46.866403+00:00,2026-07-12T22:33:46.880765+00:00,30.0,1000,1,3,247.14970649404418,247.14970649404418,68.18245235854639,236.593109684156,0.01418924999597948,1000,1000,3,0,44,0.00012447820501454936,0,0,0,0,0,0,0,0,feasible,True,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/stage00/raw/c101C5-alns_exact_charging-2014.json,solutions/c101C5-alns_exact_charging-2014.json
1,c101C5-alns_exact_charging-2015,c101C5,2015,ALNS_EXACT_CHARGING,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,a920c134e0937b29958056f383656bc6e1444e6359e57c35ced6558f943105f0,8612d6d9aad051776097a5e50c7408f39352b8107b0639d58e5eda713f9ff876,2026-07-12T22:33:46.881127+00:00,2026-07-12T22:33:46.896707+00:00,30.0,1000,1,3,247.14970649404418,247.14970649404418,68.18245235854639,236.593109684156,0.015563291002763435,1000,998,3,2,54,0.000126878092689569,0,0,0,0,0,0,0,0,feasible,True,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/stage00/raw/c101C5-alns_exact_charging-2015.json,solutions/c101C5-alns_exact_charging-2015.json
1,c101C5-alns_exact_charging-2016,c101C5,2016,ALNS_EXACT_CHARGING,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,a920c134e0937b29958056f383656bc6e1444e6359e57c35ced6558f943105f0,8612d6d9aad051776097a5e50c7408f39352b8107b0639d58e5eda713f9ff876,2026-07-12T22:33:46.896948+00:00,2026-07-12T22:33:46.911745+00:00,30.0,1000,1,3,247.14970649404418,247.14970649404418,68.18245235854639,236.593109684156,0.014781999998376705,1000,1000,1,0,49,0.0001241393869609705,0,0,0,0,0,0,0,0,feasible,True,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/stage00/raw/c101C5-alns_exact_charging-2016.json,solutions/c101C5-alns_exact_charging-2016.json
1,r105C5-alns_exact_charging-2014,r105C5,2014,ALNS_EXACT_CHARGING,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,a920c134e0937b29958056f383656bc6e1444e6359e57c35ced6558f943105f0,eb27ec04e799ee6d39dee3d66f15128e197811afa8c664295acbdf6444176434,2026-07-12T22:33:46.912237+00:00,2026-07-12T22:33:46.923530+00:00,30.0,1000,1,2,156.08206946417084,156.08206946417084,90.12225090073764,44.159902941361445,0.011278791993390769,1000,1000,0,0,37,9.549440693336765e-05,0,0,0,0,0,0,0,0,feasible,True,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/stage00/raw/r105C5-alns_exact_charging-2014.json,solutions/r105C5-alns_exact_charging-2014.json
1,r105C5-alns_exact_charging-2015,r105C5,2015,ALNS_EXACT_CHARGING,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,a920c134e0937b29958056f383656bc6e1444e6359e57c35ced6558f943105f0,eb27ec04e799ee6d39dee3d66f15128e197811afa8c664295acbdf6444176434,2026-07-12T22:33:46.923738+00:00,2026-07-12T22:33:46.935007+00:00,30.0,1000,1,2,156.08206946417084,156.08206946417084,90.12225090073764,44.159902941361445,0.011254374992859084,1000,1000,0,0,37,9.443686517565889e-05,0,0,0,0,0,0,0,0,feasible,True,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/stage00/raw/r105C5-alns_exact_charging-2015.json,solutions/r105C5-alns_exact_charging-2015.json
1,r105C5-alns_exact_charging-2016,r105C5,2016,ALNS_EXACT_CHARGING,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,a920c134e0937b29958056f383656bc6e1444e6359e57c35ced6558f943105f0,eb27ec04e799ee6d39dee3d66f15128e197811afa8c664295acbdf6444176434,2026-07-12T22:33:46.935259+00:00,2026-07-12T22:33:46.947090+00:00,30.0,1000,1,2,156.08206946417084,156.08206946417084,90.12225090073764,44.159902941361445,0.011806624999735504,1000,1000,0,0,37,9.957999989981888e-05,0,0,0,0,0,0,0,0,feasible,True,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/stage00/raw/r105C5-alns_exact_charging-2016.json,solutions/r105C5-alns_exact_charging-2016.json
1,rc105C5-alns_exact_charging-2014,rc105C5,2014,ALNS_EXACT_CHARGING,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,a920c134e0937b29958056f383656bc6e1444e6359e57c35ced6558f943105f0,2ccfba6c447fa43a994934690acb67c7355ca04d232394907ed6938bc362c643,2026-07-12T22:33:46.947707+00:00,2026-07-12T22:33:46.962993+00:00,30.0,1000,1,3,238.05223158918278,238.05223158918278,48.97028515826695,19.09841121172411,0.01526620900403941,1000,1000,1,0,36,0.0001745022786457816,0,0,0,0,0,0,0,0,feasible,True,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/stage00/raw/rc105C5-alns_exact_charging-2014.json,solutions/rc105C5-alns_exact_charging-2014.json
1,rc105C5-alns_exact_charging-2015,rc105C5,2015,ALNS_EXACT_CHARGING,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,a920c134e0937b29958056f383656bc6e1444e6359e57c35ced6558f943105f0,2ccfba6c447fa43a994934690acb67c7355ca04d232394907ed6938bc362c643,2026-07-12T22:33:46.963257+00:00,2026-07-12T22:33:46.984318+00:00,30.0,1000,1,2,241.29639187672765,241.29639187672765,153.30708611699546,59.789763585628236,0.021047374997579027,1000,1000,4,0,70,0.0001776630285478729,0,0,0,0,0,0,0,0,feasible,True,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/stage00/raw/rc105C5-alns_exact_charging-2015.json,solutions/rc105C5-alns_exact_charging-2015.json
1,rc105C5-alns_exact_charging-2016,rc105C5,2016,ALNS_EXACT_CHARGING,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,a920c134e0937b29958056f383656bc6e1444e6359e57c35ced6558f943105f0,2ccfba6c447fa43a994934690acb67c7355ca04d232394907ed6938bc362c643,2026-07-12T22:33:46.984502+00:00,2026-07-12T22:33:47.005935+00:00,30.0,1000,1,3,238.05223158918278,238.05223158918278,48.97028515826695,19.09841121172411,0.02142045900109224,1000,992,25,8,72,0.00018082627805900606,0,0,0,0,0,0,0,0,feasible,True,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/stage00/raw/rc105C5-alns_exact_charging-2016.json,solutions/rc105C5-alns_exact_charging-2016.json
1,c104C10-alns_exact_charging-2014,c104C10,2014,ALNS_EXACT_CHARGING,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,a920c134e0937b29958056f383656bc6e1444e6359e57c35ced6558f943105f0,f7816af706c1cf32dacaee45c710ff93ce53c9b56d17df657044e61e63d2c04b,2026-07-12T22:33:47.006343+00:00,2026-07-12T22:33:47.399392+00:00,30.0,1000,1,2,273.9312371287162,273.9312371287162,169.78416126570522,589.1510395919971,0.3929649170022458,1000,980,6,20,763,0.0004624612672516263,0,0,0,0,0,0,0,0,feasible,True,,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/results/stage00/raw/c104C10-alns_exact_charging-2014.json,solutions/c104C10-alns_exact_charging-2014.json
