stage_id,component,run_label,attempt_or_rerun,canonical_run_label,legacy_run_label,scope,instance,seed,instance_scope,seed_scope,artifact_type,artifact_status,canonical_path,legacy_path,run_status,failure_reason,validator_status,raw_review_status,trusted_review_status,raw_to_summary_status,checksum,checksum_source,source_hash,configuration_hash,instance_hash,environment_hash,stage00_manifest_hash,repository_revision,repository_dirty,reference_repositories,comparison_baseline,supersedes,legacy_path_mapping,storage_policy_version,storage_format,compression,retention_class,evidence_completeness,schema_fingerprint,row_count,byte_size,policy_compliance
stage03.2,cache_incremental,stage03.2_cache_incremental_attempt01,attempt01,stage03.2_cache_incremental_attempt01,stage03.2_cache_incremental_attempt01,smoke,__all__,__all__,"[""c101C5"", ""r105C5"", ""rc105C5"", ""c101_21"", ""r101_21"", ""rc101_21""]","[2014, 2015, 2016]",environment,verified_legacy,results/stage03.2_cache_incremental_attempt01/control/stage03.2_cache_incremental_attempt01_environment.json,results/stage03.2_cache_incremental_attempt01/environment.json,feasible,,not_verified,not_present,not_applicable,not_published,a53181cef8388d756887d71a5d1fe9c10ec2d1fab22daee457c4e8bf88c995a5,raw_manifest,8ccce0e50d5abda874d40dfc5a576439d21b727c846aebd2c70836519305e5c2,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,,,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,c38467d7c2f35206956dafa111152a3c4b8f5a76,False,"{""VRP-EVRP-Project-Hub"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"", ""revision"": ""e3a890065105f978187e532642c4442522215e02""}, ""py-ga-VRPTW"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"", ""revision"": ""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.1_screening_attempt04,,preserve;see stage03_legacy_path_map.csv,legacy,legacy_json_or_jsonl,none,legacy,legacy_unknown,,,11003,legacy_compatible
stage03.2,cache_incremental,stage03.2_cache_incremental_attempt01,attempt01,stage03.2_cache_incremental_attempt01,stage03.2_cache_incremental_attempt01,smoke,c101C5,2014,"[""c101C5"", ""r105C5"", ""rc105C5"", ""c101_21"", ""r101_21"", ""rc101_21""]","[2014, 2015, 2016]",environment,verified_legacy,results/stage03.2_cache_incremental_attempt01/c101C5/2014/stage03.2_cache_incremental_attempt01_environment_c101C5_2014.json,results/stage03.2_cache_incremental_attempt01/environments/c101C5-alns_stage02_constraint_guided-2014.json,feasible,,not_verified,not_present,not_applicable,not_published,ea48979b8dd41390c092b4f7d8c1ca430dfa273088ff8210f895f2272001879f,raw_manifest,8ccce0e50d5abda874d40dfc5a576439d21b727c846aebd2c70836519305e5c2,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,8612d6d9aad051776097a5e50c7408f39352b8107b0639d58e5eda713f9ff876,282d08f1fc9a490c27d287d6a1adc77c8412f076079b61f78fc13cb717c886a9,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,c38467d7c2f35206956dafa111152a3c4b8f5a76,False,"{""VRP-EVRP-Project-Hub"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"", ""revision"": ""e3a890065105f978187e532642c4442522215e02""}, ""py-ga-VRPTW"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"", ""revision"": ""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.1_screening_attempt04,,preserve;see stage03_legacy_path_map.csv,legacy,legacy_json_or_jsonl,none,legacy,legacy_unknown,,,2720,legacy_compatible
stage03.2,cache_incremental,stage03.2_cache_incremental_attempt01,attempt01,stage03.2_cache_incremental_attempt01,stage03.2_cache_incremental_attempt01,smoke,c101C5,2015,"[""c101C5"", ""r105C5"", ""rc105C5"", ""c101_21"", ""r101_21"", ""rc101_21""]","[2014, 2015, 2016]",environment,verified_legacy,results/stage03.2_cache_incremental_attempt01/c101C5/2015/stage03.2_cache_incremental_attempt01_environment_c101C5_2015.json,results/stage03.2_cache_incremental_attempt01/environments/c101C5-alns_stage02_constraint_guided-2015.json,feasible,,not_verified,not_present,not_applicable,not_published,bdc5599be3d2fd8974bfa660907f24c80c0860fd560993a0d4619262b83b8e7d,raw_manifest,8ccce0e50d5abda874d40dfc5a576439d21b727c846aebd2c70836519305e5c2,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,8612d6d9aad051776097a5e50c7408f39352b8107b0639d58e5eda713f9ff876,79953a5f4b719832efc83bb340583566703be202e6ea7ec8ea5225d6912be333,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,c38467d7c2f35206956dafa111152a3c4b8f5a76,False,"{""VRP-EVRP-Project-Hub"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"", ""revision"": ""e3a890065105f978187e532642c4442522215e02""}, ""py-ga-VRPTW"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"", ""revision"": ""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.1_screening_attempt04,,preserve;see stage03_legacy_path_map.csv,legacy,legacy_json_or_jsonl,none,legacy,legacy_unknown,,,2721,legacy_compatible
stage03.2,cache_incremental,stage03.2_cache_incremental_attempt01,attempt01,stage03.2_cache_incremental_attempt01,stage03.2_cache_incremental_attempt01,smoke,c101C5,2016,"[""c101C5"", ""r105C5"", ""rc105C5"", ""c101_21"", ""r101_21"", ""rc101_21""]","[2014, 2015, 2016]",environment,verified_legacy,results/stage03.2_cache_incremental_attempt01/c101C5/2016/stage03.2_cache_incremental_attempt01_environment_c101C5_2016.json,results/stage03.2_cache_incremental_attempt01/environments/c101C5-alns_stage02_constraint_guided-2016.json,feasible,,not_verified,not_present,not_applicable,not_published,c1f1b971ef9e963f76d7e7dbbb46f96eefd4c62de56d5a114dfe0bc6df3edc5c,raw_manifest,8ccce0e50d5abda874d40dfc5a576439d21b727c846aebd2c70836519305e5c2,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,8612d6d9aad051776097a5e50c7408f39352b8107b0639d58e5eda713f9ff876,129c22a61035905d2dc8fa0d912162aab9d6f03409ecbb1baca5666b9d253e2c,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,c38467d7c2f35206956dafa111152a3c4b8f5a76,False,"{""VRP-EVRP-Project-Hub"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"", ""revision"": ""e3a890065105f978187e532642c4442522215e02""}, ""py-ga-VRPTW"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"", ""revision"": ""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.1_screening_attempt04,,preserve;see stage03_legacy_path_map.csv,legacy,legacy_json_or_jsonl,none,legacy,legacy_unknown,,,2721,legacy_compatible
stage03.2,cache_incremental,stage03.2_cache_incremental_attempt01,attempt01,stage03.2_cache_incremental_attempt01,stage03.2_cache_incremental_attempt01,smoke,c101_21,2014,"[""c101C5"", ""r105C5"", ""rc105C5"", ""c101_21"", ""r101_21"", ""rc101_21""]","[2014, 2015, 2016]",environment,verified_legacy,results/stage03.2_cache_incremental_attempt01/c101_21/2014/stage03.2_cache_incremental_attempt01_environment_c101_21_2014.json,results/stage03.2_cache_incremental_attempt01/environments/c101_21-alns_stage02_constraint_guided-2014.json,feasible,,not_verified,not_present,not_applicable,not_published,5919be8e19dbf6f4367efd8a00eb695d6b2086c9dee71589b2d1057ddea6257b,raw_manifest,8ccce0e50d5abda874d40dfc5a576439d21b727c846aebd2c70836519305e5c2,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,c5cda6ca63a7d518902cf4b02d98b4aa0f373aaa0658d5c666d1c46d38871cb9,01fa5d390a9e7043d7f4c8cc5d284e821129857afc70f42d1ee4539d770171be,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,c38467d7c2f35206956dafa111152a3c4b8f5a76,False,"{""VRP-EVRP-Project-Hub"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"", ""revision"": ""e3a890065105f978187e532642c4442522215e02""}, ""py-ga-VRPTW"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"", ""revision"": ""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.1_screening_attempt04,,preserve;see stage03_legacy_path_map.csv,legacy,legacy_json_or_jsonl,none,legacy,legacy_unknown,,,2722,legacy_compatible
stage03.2,cache_incremental,stage03.2_cache_incremental_attempt01,attempt01,stage03.2_cache_incremental_attempt01,stage03.2_cache_incremental_attempt01,smoke,c101_21,2015,"[""c101C5"", ""r105C5"", ""rc105C5"", ""c101_21"", ""r101_21"", ""rc101_21""]","[2014, 2015, 2016]",environment,verified_legacy,results/stage03.2_cache_incremental_attempt01/c101_21/2015/stage03.2_cache_incremental_attempt01_environment_c101_21_2015.json,results/stage03.2_cache_incremental_attempt01/environments/c101_21-alns_stage02_constraint_guided-2015.json,feasible,,not_verified,not_present,not_applicable,not_published,fd1edc27311d7ae1b562d26940cb6e1a829c66c0a9047e696866a22fef107dc0,raw_manifest,8ccce0e50d5abda874d40dfc5a576439d21b727c846aebd2c70836519305e5c2,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,c5cda6ca63a7d518902cf4b02d98b4aa0f373aaa0658d5c666d1c46d38871cb9,58ff3b60e08388d1e93e8cb65c4280160ed25ce4efccaa0a98fc64e6dcce41cc,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,c38467d7c2f35206956dafa111152a3c4b8f5a76,False,"{""VRP-EVRP-Project-Hub"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"", ""revision"": ""e3a890065105f978187e532642c4442522215e02""}, ""py-ga-VRPTW"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"", ""revision"": ""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.1_screening_attempt04,,preserve;see stage03_legacy_path_map.csv,legacy,legacy_json_or_jsonl,none,legacy,legacy_unknown,,,2723,legacy_compatible
stage03.2,cache_incremental,stage03.2_cache_incremental_attempt01,attempt01,stage03.2_cache_incremental_attempt01,stage03.2_cache_incremental_attempt01,smoke,c101_21,2016,"[""c101C5"", ""r105C5"", ""rc105C5"", ""c101_21"", ""r101_21"", ""rc101_21""]","[2014, 2015, 2016]",environment,verified_legacy,results/stage03.2_cache_incremental_attempt01/c101_21/2016/stage03.2_cache_incremental_attempt01_environment_c101_21_2016.json,results/stage03.2_cache_incremental_attempt01/environments/c101_21-alns_stage02_constraint_guided-2016.json,feasible,,not_verified,not_present,not_applicable,not_published,e872ebed6258c927afba273b6e25774f54b2ebad361c131b537dba99f9e494f9,raw_manifest,8ccce0e50d5abda874d40dfc5a576439d21b727c846aebd2c70836519305e5c2,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,c5cda6ca63a7d518902cf4b02d98b4aa0f373aaa0658d5c666d1c46d38871cb9,d92fc93f97c16e3b3d781289b4f1ef63ebf4d1131c575a38671b69e8079478b7,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,c38467d7c2f35206956dafa111152a3c4b8f5a76,False,"{""VRP-EVRP-Project-Hub"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"", ""revision"": ""e3a890065105f978187e532642c4442522215e02""}, ""py-ga-VRPTW"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"", ""revision"": ""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.1_screening_attempt04,,preserve;see stage03_legacy_path_map.csv,legacy,legacy_json_or_jsonl,none,legacy,legacy_unknown,,,2723,legacy_compatible
stage03.2,cache_incremental,stage03.2_cache_incremental_attempt01,attempt01,stage03.2_cache_incremental_attempt01,stage03.2_cache_incremental_attempt01,smoke,r101_21,2014,"[""c101C5"", ""r105C5"", ""rc105C5"", ""c101_21"", ""r101_21"", ""rc101_21""]","[2014, 2015, 2016]",environment,verified_legacy,results/stage03.2_cache_incremental_attempt01/r101_21/2014/stage03.2_cache_incremental_attempt01_environment_r101_21_2014.json,results/stage03.2_cache_incremental_attempt01/environments/r101_21-alns_stage02_constraint_guided-2014.json,feasible,,not_verified,not_present,not_applicable,not_published,bc655dce8808f7c19407ea02c6c728e43fc23866131810e795bd57b9283a67c9,raw_manifest,8ccce0e50d5abda874d40dfc5a576439d21b727c846aebd2c70836519305e5c2,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,0e5a3dffffbd3c516b528ef32ba1a488b817d2f151fc3e8c81023814de1c103a,a064fed73b340a40e9245985ef489e482cf4d049ec02395e6f775b567ed3d05f,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,c38467d7c2f35206956dafa111152a3c4b8f5a76,False,"{""VRP-EVRP-Project-Hub"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"", ""revision"": ""e3a890065105f978187e532642c4442522215e02""}, ""py-ga-VRPTW"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"", ""revision"": ""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.1_screening_attempt04,,preserve;see stage03_legacy_path_map.csv,legacy,legacy_json_or_jsonl,none,legacy,legacy_unknown,,,2723,legacy_compatible
stage03.2,cache_incremental,stage03.2_cache_incremental_attempt01,attempt01,stage03.2_cache_incremental_attempt01,stage03.2_cache_incremental_attempt01,smoke,r101_21,2015,"[""c101C5"", ""r105C5"", ""rc105C5"", ""c101_21"", ""r101_21"", ""rc101_21""]","[2014, 2015, 2016]",environment,verified_legacy,results/stage03.2_cache_incremental_attempt01/r101_21/2015/stage03.2_cache_incremental_attempt01_environment_r101_21_2015.json,results/stage03.2_cache_incremental_attempt01/environments/r101_21-alns_stage02_constraint_guided-2015.json,feasible,,not_verified,not_present,not_applicable,not_published,14069bea66029ea2590d39a6f54be1a271230415adebb990a407ba8c8565d595,raw_manifest,8ccce0e50d5abda874d40dfc5a576439d21b727c846aebd2c70836519305e5c2,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,0e5a3dffffbd3c516b528ef32ba1a488b817d2f151fc3e8c81023814de1c103a,b801c938d84e51d5d401101d923b03b266bc99ff9907cd5fa94efdd6b305d52a,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,c38467d7c2f35206956dafa111152a3c4b8f5a76,False,"{""VRP-EVRP-Project-Hub"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"", ""revision"": ""e3a890065105f978187e532642c4442522215e02""}, ""py-ga-VRPTW"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"", ""revision"": ""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.1_screening_attempt04,,preserve;see stage03_legacy_path_map.csv,legacy,legacy_json_or_jsonl,none,legacy,legacy_unknown,,,2723,legacy_compatible
stage03.2,cache_incremental,stage03.2_cache_incremental_attempt01,attempt01,stage03.2_cache_incremental_attempt01,stage03.2_cache_incremental_attempt01,smoke,r101_21,2016,"[""c101C5"", ""r105C5"", ""rc105C5"", ""c101_21"", ""r101_21"", ""rc101_21""]","[2014, 2015, 2016]",environment,verified_legacy,results/stage03.2_cache_incremental_attempt01/r101_21/2016/stage03.2_cache_incremental_attempt01_environment_r101_21_2016.json,results/stage03.2_cache_incremental_attempt01/environments/r101_21-alns_stage02_constraint_guided-2016.json,feasible,,not_verified,not_present,not_applicable,not_published,f27cd8de6ff9e9ddd68585cc57eb8f8eed957ba4c3ac30a6fe2f4f642e809334,raw_manifest,8ccce0e50d5abda874d40dfc5a576439d21b727c846aebd2c70836519305e5c2,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,0e5a3dffffbd3c516b528ef32ba1a488b817d2f151fc3e8c81023814de1c103a,b0708836c7029704fb951f6905fee972c3ba462a170cbf94a4be8f04e761f509,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,c38467d7c2f35206956dafa111152a3c4b8f5a76,False,"{""VRP-EVRP-Project-Hub"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"", ""revision"": ""e3a890065105f978187e532642c4442522215e02""}, ""py-ga-VRPTW"": {""dirty"": false, ""path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"", ""revision"": ""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.1_screening_attempt04,,preserve;see stage03_legacy_path_map.csv,legacy,legacy_json_or_jsonl,none,legacy,legacy_unknown,,,2723,legacy_compatible
