mapping_type,stage_id,component,canonical_label,canonical_path,legacy_path,artifact_type,status,checksum,checksum_source,repository_revision,repository_dirty,stage00_manifest_hash,reason
immutable_stage00,stage00,frozen_baseline,stage00_frozen_baseline,experiments/baselines/stage00,experiments/baselines/stage00,frozen_baseline,immutable,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,manifest.json,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,"Stage 0 frozen directory is never renamed, moved, or overwritten"
immutable_stage00_artifact,stage00,frozen_baseline,stage00_frozen_baseline,experiments/baselines/stage00/comparison_template.csv,experiments/baselines/stage00/comparison_template.csv,comparison_template,immutable,f12e1e45f23b02d0ab8db75981c51c89818d073f907b620a4822c0c10d96c861,stage00_manifest,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,Stage 0 frozen artifact is preserved at its historical path
immutable_stage00_artifact,stage00,frozen_baseline,stage00_frozen_baseline,experiments/baselines/stage00/environment.json,experiments/baselines/stage00/environment.json,environment,immutable,94387083e0a53656ad884dfdeb5d1c3005060021611814a0c226708eb5d13c22,stage00_manifest,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,Stage 0 frozen artifact is preserved at its historical path
immutable_stage00_artifact,stage00,frozen_baseline,stage00_frozen_baseline,experiments/baselines/stage00/failure_cases.csv,experiments/baselines/stage00/failure_cases.csv,failure_cases,immutable,777d8ae2db624115233dc669a426bc23dc88ad133826d0ca73da55608eb7837d,stage00_manifest,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,Stage 0 frozen artifact is preserved at its historical path
immutable_stage00_artifact,stage00,frozen_baseline,stage00_frozen_baseline,experiments/baselines/stage00/manifest.json,experiments/baselines/stage00/manifest.json,manifest,immutable,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,stage00_manifest,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,Stage 0 frozen artifact is preserved at its historical path
immutable_stage00_artifact,stage00,frozen_baseline,stage00_frozen_baseline,experiments/baselines/stage00/parameters.toml,experiments/baselines/stage00/parameters.toml,parameters,immutable,47b12bd926e596f0ff026314b9fe5701a710090b82c3dbd636396c03985c4e3b,stage00_manifest,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,Stage 0 frozen artifact is preserved at its historical path
immutable_stage00_artifact,stage00,frozen_baseline,stage00_frozen_baseline,experiments/baselines/stage00/per_run_results.csv,experiments/baselines/stage00/per_run_results.csv,per_run_results,immutable,b78c7f6f3c01f06ba263c7d5897e7fc20cad136b064179f7f09287f7e86001aa,stage00_manifest,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,Stage 0 frozen artifact is preserved at its historical path
immutable_stage00_artifact,stage00,frozen_baseline,stage00_frozen_baseline,experiments/baselines/stage00/reproduction_audit/README.md,experiments/baselines/stage00/reproduction_audit/README.md,README,immutable,1b1087f0affbbf483591f817c1b5732a6ae256ee3656862a54a6f2da922a1549,stage00_manifest,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,Stage 0 frozen artifact is preserved at its historical path
immutable_stage00_artifact,stage00,frozen_baseline,stage00_frozen_baseline,experiments/baselines/stage00/reproduction_audit/comparison_report.csv,experiments/baselines/stage00/reproduction_audit/comparison_report.csv,comparison_report,immutable,a07b841bfdadcf1e285dccb5016d3c2d0430eeabc96f8126ef8f3faeb5c704b2,stage00_manifest,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,Stage 0 frozen artifact is preserved at its historical path
immutable_stage00_artifact,stage00,frozen_baseline,stage00_frozen_baseline,experiments/baselines/stage00/reproduction_audit/reproduction_environment.json,experiments/baselines/stage00/reproduction_audit/reproduction_environment.json,reproduction_environment,immutable,2debe810daa41ababf801ba68098b85ff396c6cc610c9d3f0dfa95b402115ac2,stage00_manifest,ed23b8344a1ac9c750a7febeb9ff87a2c604215a,False,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,Stage 0 frozen artifact is preserved at its historical path
