schema_version,run_label,component,status,evidence_completeness,source_commit,prerequisite_run_labels,original_relative_path,file_count,byte_count,tree_sha256,archive_root_alias,archive_relative_path,disposition,verification_status,archived_at_utc
stage05.2-retention-registry-v1,stage05.2_accelerator_pilot_attempt01,accelerator_pilot,NOT_READY,complete,ca766a035a1c5413c61277f50d6904e3de7f238f,stage05.2_native_kernels_attempt03,stage05.2_accelerator_pilot_attempt01,33,103742,8d60cd36e7a953700f5e01d7742bb09fae63c748f0980b3540a7d6fe57243a7e,d_archive,stage05.2/history/stage05.2_accelerator_pilot_attempt01,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt01,artifact_streaming,NOT_READY,complete,4ed585f97ec4057851f9d1965043b0182e046335,,stage05.2_artifact_streaming_attempt01,274,793304918,05d4ae11503329d894007978a752d9437dfbd0d98edf39752a4e10b1de0ca0e7,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt01,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt02,artifact_streaming,partial,partial,5337f85809f35ba52ac3b990c9f50b8e27a108cf,,stage05.2_artifact_streaming_attempt02,203,213970933,9845b651cd419a24c3fde27cb4f41053cc165ca34a76d6504e5c2ff06847a4cb,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt02,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt03,artifact_streaming,NOT_READY,complete,906e3a50a91f68ade447692b4f4d30060efd8da6,,stage05.2_artifact_streaming_attempt03,298,671191445,0d937a74065a4ecb1c9028b9ed144afb5eef453b9187163e3b8dc55d11e61578,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt03,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt04,artifact_streaming,READY_FOR_STAGE052_JOB_PARALLEL,complete,5a4ba221e4594c8628c9ea335611e92e8c71f010,,stage05.2_artifact_streaming_attempt04,312,337816916,3980f44a224c9e42e2c35a0ce7f0b05c9a7565198948dfa9051434b69b9afe73,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt04,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt05,artifact_streaming,complete,partial,59553ec122fdc24b6ccb86f39dfe5b86d86d5984,stage05.2_artifact_streaming_attempt04|stage05.2_hot_path_attempt03|stage05.2_native_kernels_attempt03,stage05.2_artifact_streaming_attempt05,315,2095574560,edfc8ded4902a2058a149628b3ae558de4730b6dbffe67e99e03f1953e22df51,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt05,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt06,artifact_streaming,NOT_READY,complete,2a3b5ecd95d5e95f2de28866bb6c628b8027ae52,stage05.2_artifact_streaming_attempt04|stage05.2_hot_path_attempt03|stage05.2_native_kernels_attempt03,stage05.2_artifact_streaming_attempt06,647,4648268570,bef177a67d9731c29b54879337b873204ec9ae26c480dfff1158072b1f4c0f5d,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt06,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt07,artifact_streaming,complete,complete,007317064812fb53f987110f418f1bf15fc32f52,stage05.2_artifact_streaming_attempt04|stage05.2_hot_path_attempt03|stage05.2_native_kernels_attempt03,stage05.2_artifact_streaming_attempt07,638,821722922,ebe0d37a2b0d900729969f0dda166e289dd19cf6a8b03eb7b4e5941188bcbaf6,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt07,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt08,artifact_streaming,NOT_READY,complete,7ebb4f507c6cf39d9d253a137bf197cc755d4752,stage05.2_artifact_streaming_attempt04|stage05.2_hot_path_attempt03|stage05.2_native_kernels_attempt03,stage05.2_artifact_streaming_attempt08,647,823219439,d2c9d0708687d0d0cf55466c1ca2846d92a04d92bd50a6ecccc8dacc74f9ab11,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt08,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt09,artifact_streaming,NOT_READY,complete,5fd5796c38d96b34b72b6cb7ce57318252c645e2,stage05.2_artifact_streaming_attempt04|stage05.2_hot_path_attempt03|stage05.2_native_kernels_attempt03,stage05.2_artifact_streaming_attempt09,647,846142227,34e59ee25cea9c99a27547306e010a96200b676b8035b8a8686f4bbed5560cb2,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt09,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt10,artifact_streaming,NOT_READY,complete,077cc04d59635d47bf7decfb51b2a6b53bee2730,stage05.2_artifact_streaming_attempt04|stage05.2_hot_path_attempt03|stage05.2_native_kernels_attempt03,stage05.2_artifact_streaming_attempt10,647,850793524,505f22d06ade2579f7b5a65289b8bd966c1408e3501289ea24fe676e34f93e9a,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt10,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt11,artifact_streaming,READY_FOR_STAGE052_JOB_PARALLEL,complete,85302b4d4c9548a94b94049538957209c6a7c718,stage05.2_artifact_streaming_attempt04|stage05.2_hot_path_attempt03|stage05.2_native_kernels_attempt03,stage05.2_artifact_streaming_attempt11,647,864609903,14a12f3b60a13e851dc5a24e27954c14ecf8c354567252251648651c57b19b09,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt11,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt12,artifact_streaming,READY_FOR_STAGE052_JOB_PARALLEL,complete,2146cf2e8fc024b69187d3039667fc6c3310e456,stage05.2_artifact_streaming_attempt04|stage05.2_hot_path_attempt03|stage05.2_native_kernels_attempt03,stage05.2_artifact_streaming_attempt12,647,870271541,20947ed44be0648dc708effe730549b5ff50f8d7f96931a346dd327e08473854,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt12,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt13,artifact_streaming,READY_FOR_STAGE052_JOB_PARALLEL,complete,2ab36ede543b64b286b1aa12ffd89f4257e74b21,stage05.2_artifact_streaming_attempt04|stage05.2_hot_path_attempt03|stage05.2_native_kernels_attempt03,stage05.2_artifact_streaming_attempt13,647,842295656,8f330c6c7f5f77aaec740bef1b27c79895d9dbcd57b51ca0a38ddf5e0b91a88c,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt13,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt14,artifact_streaming,READY_FOR_STAGE052_JOB_PARALLEL,complete,fa829d0f6ad1b681e52e26c94c3e1f11c662aaa0,stage05.2_artifact_streaming_attempt04|stage05.2_hot_path_attempt03|stage05.2_native_kernels_attempt03,stage05.2_artifact_streaming_attempt14,647,840761330,d18ad398ddd170e56cbba0ecfd97d62e85d3675a147d3dd8ff7fdc323437cd59,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt14,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt15,artifact_streaming,complete,complete,75400e6fe3b72276e92d7c06adc931ded5ac3609,stage05.2_artifact_streaming_attempt04|stage05.2_hot_path_attempt03|stage05.2_native_kernels_attempt03,stage05.2_artifact_streaming_attempt15,638,839453688,33c3fb162ca834b7c127ffb3833f120f46878e9e007413f606739fbc2c3dba3a,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt15,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt85,artifact_streaming,unknown,unknown,,,stage05.2_artifact_streaming_attempt85,26,38482303,19c298d6e256b6320ba57f4195cb55d3cd9d2877a73f7b9d3acf551cd8c482d3,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt85,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt86,artifact_streaming,unknown,unknown,,,stage05.2_artifact_streaming_attempt86,26,36666421,aa7ae2252a5e2be15b92393f464405549666380c089fc931913d7e5f6d5fc370,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt86,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt87,artifact_streaming,complete,partial,077cc04d59635d47bf7decfb51b2a6b53bee2730,stage05.2_artifact_streaming_attempt04|stage05.2_hot_path_attempt03|stage05.2_native_kernels_attempt03,stage05.2_artifact_streaming_attempt87,117,2009463,78d308de3d54a8846bfe614187f7e55da67620e9a6ee85b0f7ad1b89f0d82dd8,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt87,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt90,artifact_streaming,unknown,unknown,,,stage05.2_artifact_streaming_attempt90,26,1708255,722109ca3355669c928f0624981a028aed849b981868135662c12220f006d403,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt90,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt91,artifact_streaming,unknown,unknown,,,stage05.2_artifact_streaming_attempt91,26,37255343,df7c276011673fdabcef4ad2a596e78af077fee9a8dbaf22fbc8d65221332fe5,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt91,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt92,artifact_streaming,unknown,unknown,,,stage05.2_artifact_streaming_attempt92,26,37025855,c50d148881c6d069212daa03d184f7a093e39e6b8dc2e02efa7b31d43f55334b,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt92,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt93,artifact_streaming,unknown,unknown,,,stage05.2_artifact_streaming_attempt93,26,1718501,773a46e6b38a8e6bd2d74ef0e7e58c05ccde23c907bdddde7198420787ca33b2,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt93,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt94,artifact_streaming,unknown,unknown,,,stage05.2_artifact_streaming_attempt94,26,27434018,ebc602ae0ef0f3e42403bcafb7b701aa695007ded75ccf4ec5ce8da08b9defd3,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt94,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt95,artifact_streaming,unknown,unknown,,,stage05.2_artifact_streaming_attempt95,26,27421884,a08311a48e79c4d4cddf433190722d77706258ed100a95edadf0cc6b70be2b38,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt95,archived,verified,2026-07-22T18:51:57Z
stage05.2-retention-registry-v1,stage05.2_artifact_streaming_attempt96,artifact_streaming,unknown,unknown,,,stage05.2_artifact_streaming_attempt96,26,9382129,f07b81610d85af6090487df7339d5b73b581c9f4c2eb017a62591c9fd9a621e4,d_archive,stage05.2/history/stage05.2_artifact_streaming_attempt96,archived,verified,2026-07-22T18:51:57Z
