instance,source_path,customer_count,station_count,load_capacity,battery_capacity,consumption_rate,inverse_refueling_rate,average_velocity,depot_due_date,earliest_customer_ready,latest_customer_due,distance_metric,structurally_feasible,failures,warnings,theoretical_lower_bound,structural_lower_bound,experimental_capacity,stress_ratio
c101C10,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c101C10.txt,10,5,200.0,77.75,1.0,3.47,1.0,1236.0,177.0,1106.0,EUC_2D (unrounded Euclidean distance),True,,,30.805843601498726,61.61168720299745,77.75,1.2619359009570736
c101C5,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c101C5.txt,5,3,200.0,77.75,1.0,3.47,1.0,1236.0,176.0,809.0,EUC_2D (unrounded Euclidean distance),True,,,29.732137494637012,59.464274989274024,77.75,1.3075077433303324
c101_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c101_21.txt,100,21,200.0,79.69,1.0,3.39,1.0,1236.0,10.0,1129.0,EUC_2D (unrounded Euclidean distance),True,,,16.1245154965971,32.2490309931942,79.69,2.4710819998535056
c102_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c102_21.txt,100,21,200.0,79.69,1.0,3.39,1.0,1236.0,0.0,1136.0,EUC_2D (unrounded Euclidean distance),True,,,16.1245154965971,32.2490309931942,79.69,2.4710819998535056
c103C15,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c103C15.txt,15,5,200.0,77.75,1.0,3.47,1.0,1236.0,0.0,1125.0,EUC_2D (unrounded Euclidean distance),True,,,24.596747752497688,49.193495504995376,77.75,1.5804935022782605
c103C5,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c103C5.txt,5,2,200.0,77.75,1.0,3.47,1.0,1236.0,0.0,1136.0,EUC_2D (unrounded Euclidean distance),True,,,30.805843601498726,61.61168720299745,77.75,1.2619359009570736
c103_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c103_21.txt,100,21,200.0,79.69,1.0,3.39,1.0,1236.0,0.0,1136.0,EUC_2D (unrounded Euclidean distance),True,,,16.1245154965971,32.2490309931942,79.69,2.4710819998535056
c104C10,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c104C10.txt,10,4,200.0,77.75,1.0,3.47,1.0,1236.0,0.0,1133.0,EUC_2D (unrounded Euclidean distance),True,,,26.1725046566048,52.3450093132096,77.75,1.4853373993073162
c104_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c104_21.txt,100,21,200.0,79.69,1.0,3.39,1.0,1236.0,0.0,1136.0,EUC_2D (unrounded Euclidean distance),True,,,16.1245154965971,32.2490309931942,79.69,2.4710819998535056
c105_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c105_21.txt,100,21,200.0,79.69,1.0,3.39,1.0,1236.0,10.0,1129.0,EUC_2D (unrounded Euclidean distance),True,,,16.1245154965971,32.2490309931942,79.69,2.4710819998535056
c106C15,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c106C15.txt,15,3,200.0,77.75,1.0,3.47,1.0,1236.0,10.0,1129.0,EUC_2D (unrounded Euclidean distance),True,,,28.861739379323623,57.723478758647246,77.75,1.3469389176124922
c106_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c106_21.txt,100,21,200.0,79.69,1.0,3.39,1.0,1236.0,10.0,1130.0,EUC_2D (unrounded Euclidean distance),True,,,16.1245154965971,32.2490309931942,79.69,2.4710819998535056
c107_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c107_21.txt,100,21,200.0,79.69,1.0,3.39,1.0,1236.0,10.0,1129.0,EUC_2D (unrounded Euclidean distance),True,,,16.1245154965971,32.2490309931942,79.69,2.4710819998535056
c108_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c108_21.txt,100,21,200.0,79.69,1.0,3.39,1.0,1236.0,10.0,1130.0,EUC_2D (unrounded Euclidean distance),True,,,16.1245154965971,32.2490309931942,79.69,2.4710819998535056
c109_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c109_21.txt,100,21,200.0,79.69,1.0,3.39,1.0,1236.0,10.0,1130.0,EUC_2D (unrounded Euclidean distance),True,,,16.1245154965971,32.2490309931942,79.69,2.4710819998535056
c201_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c201_21.txt,100,21,700.0,118.31,1.0,2.28,1.0,3390.0,11.0,3288.0,EUC_2D (unrounded Euclidean distance),True,,,15.811388300841896,31.622776601683793,118.31,3.7412906997452096
c202C10,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c202C10.txt,10,5,700.0,77.75,1.0,3.47,1.0,3390.0,0.0,3264.0,EUC_2D (unrounded Euclidean distance),True,,,20.615528128088304,41.23105625617661,77.75,1.8857144846574887
c202C15,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c202C15.txt,15,5,700.0,77.75,1.0,3.47,1.0,3390.0,0.0,3281.0,EUC_2D (unrounded Euclidean distance),True,,,24.758836806279895,49.51767361255979,77.75,1.5701464614096752
c202_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c202_21.txt,100,21,700.0,118.31,1.0,2.28,1.0,3390.0,0.0,3288.0,EUC_2D (unrounded Euclidean distance),True,,,15.811388300841896,31.622776601683793,118.31,3.7412906997452096
c203_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c203_21.txt,100,21,700.0,118.23,1.0,2.28,1.0,3390.0,0.0,3289.0,EUC_2D (unrounded Euclidean distance),True,,,15.811388300841896,31.622776601683793,118.23,3.738760877617075
c204_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c204_21.txt,100,21,700.0,118.12,1.0,2.29,1.0,3390.0,0.0,3291.0,EUC_2D (unrounded Euclidean distance),True,,,15.811388300841896,31.622776601683793,118.12,3.73528237219089
c205C10,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c205C10.txt,10,3,700.0,77.75,1.0,3.47,1.0,3390.0,12.0,2953.0,EUC_2D (unrounded Euclidean distance),True,,,36.05551275463989,72.11102550927978,77.75,1.078198506412789
c205_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c205_21.txt,100,21,700.0,117.78,1.0,2.29,1.0,3390.0,11.0,3288.0,EUC_2D (unrounded Euclidean distance),True,,,15.811388300841896,31.622776601683793,117.78,3.7245306281463173
c206C5,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c206C5.txt,5,4,700.0,77.75,1.0,3.47,1.0,3390.0,693.0,2536.0,EUC_2D (unrounded Euclidean distance),True,,,32.38826948140329,64.77653896280658,77.75,1.2002802441273148
c206_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c206_21.txt,100,21,700.0,117.7,1.0,2.29,1.0,3390.0,11.0,3290.0,EUC_2D (unrounded Euclidean distance),True,,,15.811388300841896,31.622776601683793,117.7,3.722000806018183
c207_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c207_21.txt,100,21,700.0,117.66,1.0,2.29,1.0,3390.0,11.0,3290.0,EUC_2D (unrounded Euclidean distance),True,,,15.811388300841896,31.622776601683793,117.66,3.720735894954115
c208C15,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c208C15.txt,15,4,700.0,77.75,1.0,3.47,1.0,3390.0,17.0,3290.0,EUC_2D (unrounded Euclidean distance),True,,,30.23243291566195,60.4648658313239,77.75,1.2858707107181162
c208C5,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c208C5.txt,5,3,700.0,77.75,1.0,3.47,1.0,3390.0,255.0,2282.0,EUC_2D (unrounded Euclidean distance),True,,,19.72308292331602,39.44616584663204,77.75,1.9710407420151934
c208_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/c208_21.txt,100,21,700.0,117.66,1.0,2.29,1.0,3390.0,11.0,3290.0,EUC_2D (unrounded Euclidean distance),True,,,15.811388300841896,31.622776601683793,117.66,3.720735894954115
r101_21,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/r101_21.txt,100,21,200.0,62.14,1.0,0.48,1.0,230.0,20.0,213.0,EUC_2D (unrounded Euclidean distance),True,,,17.88854381999832,35.77708763999664,62.14,1.7368658015229617
r102C10,/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/data/schneider/r102C10.txt,10,4,200.0,60.63,1.0,0.49,1.0,230.0,0.0,201.0,EUC_2D (unrounded Euclidean distance),True,,,19.697715603592208,39.395431207184416,60.63,1.5390109498012832
