instance,seed,vehicle_count,total_distance,total_charging_time,charging_count,old_distance_rank,new_lexicographic_rank,rank_delta,old_objective,new_objective_key,ordering_changed,reason
c101C5,2014,3,247.14970649404418,236.593109684156,2,1,1,0,247.14970649404418,"[3,247.149706494,236.593109684,2]",False,unchanged
c101C5,2015,3,247.14970649404418,236.593109684156,2,2,2,0,247.14970649404418,"[3,247.149706494,236.593109684,2]",False,unchanged
c101C5,2016,3,247.14970649404418,236.593109684156,2,3,3,0,247.14970649404418,"[3,247.149706494,236.593109684,2]",False,unchanged
c101_21,2014,14,1234.5032876506266,1482.5026981498668,8,1,1,0,1234.5032876506266,"[14,1234.503287651,1482.50269815,8]",False,unchanged
c101_21,2015,14,1237.1389149242236,1482.5026981498668,8,2,2,0,1237.1389149242236,"[14,1237.138914924,1482.50269815,8]",False,unchanged
c101_21,2016,14,1237.1389149242236,1482.5026981498668,8,3,3,0,1237.1389149242236,"[14,1237.138914924,1482.50269815,8]",False,unchanged
c104C10,2014,2,273.9312371287162,589.1510395919971,3,1,1,0,273.9312371287162,"[2,273.931237129,589.151039592,3]",False,unchanged
c104C10,2015,2,279.9331190586651,625.368886516508,3,2,2,0,279.9331190586651,"[2,279.933119059,625.368886517,3]",False,unchanged
c104C10,2016,2,279.9331190586651,625.368886516508,3,3,3,0,279.9331190586651,"[2,279.933119059,625.368886517,3]",False,unchanged
c106C15,2014,3,275.1331688731623,437.989595186203,2,1,1,0,275.1331688731623,"[3,275.133168873,437.989595186,2]",False,unchanged
c106C15,2015,3,275.1331688731623,437.989595186203,2,2,2,0,275.1331688731623,"[3,275.133168873,437.989595186,2]",False,unchanged
c106C15,2016,3,275.1331688731623,437.989595186203,2,3,3,0,275.1331688731623,"[3,275.133168873,437.989595186,2]",False,unchanged
r101_21,2014,23,1832.1374527829876,401.72762168286846,23,2,2,0,1832.1374527829876,"[23,1832.137452783,401.727621683,23]",False,unchanged
r101_21,2015,22,1788.215596960292,393.93659110167573,23,1,1,0,1788.215596960292,"[22,1788.21559696,393.936591102,23]",False,unchanged
r101_21,2016,28,2091.7770543628476,417.18083589071784,25,3,3,0,2091.7770543628476,"[28,2091.777054363,417.180835891,25]",False,unchanged
r103C10,2014,3,202.85268574464004,30.45768265386458,2,1,1,0,202.85268574464004,"[3,202.852685745,30.457682654,2]",False,unchanged
r103C10,2015,3,202.85268574464004,30.45768265386458,2,2,2,0,202.85268574464004,"[3,202.852685745,30.457682654,2]",False,unchanged
r103C10,2016,3,202.85268574464004,42.6577514295183,2,3,3,0,202.85268574464004,"[3,202.852685745,42.65775143,2]",False,unchanged
r105C15,2014,4,336.1536020996758,80.68409221221032,4,1,1,0,336.1536020996758,"[4,336.1536021,80.684092212,4]",False,unchanged
r105C15,2015,4,336.1536020996758,80.68409221221032,4,2,2,0,336.1536020996758,"[4,336.1536021,80.684092212,4]",False,unchanged
r105C15,2016,4,336.1536020996758,80.68409221221032,4,3,3,0,336.1536020996758,"[4,336.1536021,80.684092212,4]",False,unchanged
r105C5,2014,2,156.08206946417084,44.159902941361445,2,1,1,0,156.08206946417084,"[2,156.082069464,44.159902941,2]",False,unchanged
r105C5,2015,2,156.08206946417084,44.159902941361445,2,2,2,0,156.08206946417084,"[2,156.082069464,44.159902941,2]",False,unchanged
r105C5,2016,2,156.08206946417084,44.159902941361445,2,3,3,0,156.08206946417084,"[2,156.082069464,44.159902941,2]",False,unchanged
rc101_21,2014,24,2167.8628849589286,338.04392174748307,21,1,1,0,2167.8628849589286,"[24,2167.862884959,338.043921747,21]",False,unchanged
rc101_21,2015,25,2230.920914364931,341.88899042780844,20,2,2,0,2230.920914364931,"[25,2230.920914365,341.888990428,20]",False,unchanged
rc101_21,2016,25,2271.074260613141,399.30247214162284,22,3,3,0,2271.074260613141,"[25,2271.074260613,399.302472142,22]",False,unchanged
rc102C10,2014,4,423.5101819239308,69.38261323056489,3,1,1,0,423.5101819239308,"[4,423.510181924,69.382613231,3]",False,unchanged
rc102C10,2015,4,423.5101819239308,69.38261323056489,3,2,2,0,423.5101819239308,"[4,423.510181924,69.382613231,3]",False,unchanged
rc102C10,2016,4,423.5101819239308,69.38261323056489,3,3,3,0,423.5101819239308,"[4,423.510181924,69.382613231,3]",False,unchanged
rc103C15,2014,4,397.6698569130491,70.64898598425555,4,1,2,1,397.6698569130491,"[4,397.669856913,70.648985984,4]",True,charging_time_or_count_tiebreak
rc103C15,2015,4,397.6698569130491,70.64898598425555,4,2,3,1,397.6698569130491,"[4,397.669856913,70.648985984,4]",True,charging_time_or_count_tiebreak
rc103C15,2016,4,397.6698569130491,67.68771409904316,4,3,1,-2,397.6698569130491,"[4,397.669856913,67.687714099,4]",True,charging_time_or_count_tiebreak
rc105C5,2014,3,238.05223158918278,19.09841121172411,1,1,2,1,238.05223158918278,"[3,238.052231589,19.098411212,1]",True,vehicle_count_priority
rc105C5,2015,2,241.29639187672765,59.789763585628236,3,3,1,-2,241.29639187672765,"[2,241.296391877,59.789763586,3]",True,vehicle_count_priority
rc105C5,2016,3,238.05223158918278,19.09841121172411,1,2,3,1,238.05223158918278,"[3,238.052231589,19.098411212,1]",True,vehicle_count_priority
