experiment_id,instance,algorithm,seed,objective_schema,objective_key,primary_vehicle_count,secondary_total_distance,tertiary_total_charging_time,quaternary_charging_count,total_energy,total_charged_energy,status,feasible,proven_optimal,runtime_seconds,iterations,accepted_moves,improving_moves,rejected_moves,charging_subproblem_calls,charging_subproblem_average_seconds,root_search_bound,final_search_bound,search_gap,failure_reason,raw_log_path,solution_path
c101C5-alns_exact_charging-2014,c101C5,ALNS_EXACT_CHARGING,2014,"vehicles,distance,charging_time,charging_count","[2,264.440732989,439.66473683,3]",2,264.4407329887187,439.6647368296095,3,264.4407329887187,126.70453510939754,feasible,True,False,0.02305533400067361,1000,786,0,214,39,0.00013259069274705,,,,,raw/c101C5-alns_exact_charging-2014.json,solutions/c101C5-alns_exact_charging-2014.json
c101C5-alns_exact_charging-2015,c101C5,ALNS_EXACT_CHARGING,2015,"vehicles,distance,charging_time,charging_count","[2,264.440732989,439.66473683,3]",2,264.4407329887187,439.6647368296095,3,264.4407329887187,126.70453510939754,feasible,True,False,0.024468750001688022,1000,796,0,204,39,0.00016043797502509103,,,,,raw/c101C5-alns_exact_charging-2015.json,solutions/c101C5-alns_exact_charging-2015.json
c101C5-alns_exact_charging-2016,c101C5,ALNS_EXACT_CHARGING,2016,"vehicles,distance,charging_time,charging_count","[2,264.440732989,439.66473683,3]",2,264.4407329887187,439.6647368296095,3,264.4407329887187,126.70453510939754,feasible,True,False,0.02328454200323904,1000,785,0,215,39,0.0001333408202835693,,,,,raw/c101C5-alns_exact_charging-2016.json,solutions/c101C5-alns_exact_charging-2016.json
c101C5-branch_price_and_cut-0,c101C5,BRANCH_PRICE_AND_CUT,0,"vehicles,distance,charging_time,charging_count","[2,257.747451864,472.556700052,3]",2,257.7474518641999,472.55670005197175,3,257.7474518641999,136.18348704667773,feasible,True,True,0.0449862919995212,,,,,,,1941.5433523211907,1941.5433523211905,0.0,,raw/c101C5-branch_price_and_cut-0.json,solutions/c101C5-branch_price_and_cut-0.json
r105C5-alns_exact_charging-2014,r105C5,ALNS_EXACT_CHARGING,2014,"vehicles,distance,charging_time,charging_count","[2,156.082069464,44.159902941,2]",2,156.08206946417084,44.159902941361445,2,156.08206946417084,90.12225090073764,feasible,True,False,0.02246762499999022,1000,1000,0,0,37,0.00013342791892166525,,,,,raw/r105C5-alns_exact_charging-2014.json,solutions/r105C5-alns_exact_charging-2014.json
r105C5-alns_exact_charging-2015,r105C5,ALNS_EXACT_CHARGING,2015,"vehicles,distance,charging_time,charging_count","[2,156.082069464,44.159902941,2]",2,156.08206946417084,44.159902941361445,2,156.08206946417084,90.12225090073764,feasible,True,False,0.023162959005276207,1000,1000,0,0,37,0.00013487278310758238,,,,,raw/r105C5-alns_exact_charging-2015.json,solutions/r105C5-alns_exact_charging-2015.json
r105C5-alns_exact_charging-2016,r105C5,ALNS_EXACT_CHARGING,2016,"vehicles,distance,charging_time,charging_count","[2,156.082069464,44.159902941,2]",2,156.08206946417084,44.159902941361445,2,156.08206946417084,90.12225090073764,feasible,True,False,0.02338633299950743,1000,1000,0,0,37,0.00015801686429374576,,,,,raw/r105C5-alns_exact_charging-2016.json,solutions/r105C5-alns_exact_charging-2016.json
r105C5-branch_price_and_cut-0,r105C5,BRANCH_PRICE_AND_CUT,0,"vehicles,distance,charging_time,charging_count","[2,156.082069464,44.159902941,2]",2,156.08206946417084,44.159902941361445,2,156.08206946417084,90.12225090073764,feasible,True,True,0.03666575000534067,,,,,,,1401.8442427280847,1401.844242728085,0.0,,raw/r105C5-branch_price_and_cut-0.json,solutions/r105C5-branch_price_and_cut-0.json
rc105C5-alns_exact_charging-2014,rc105C5,ALNS_EXACT_CHARGING,2014,"vehicles,distance,charging_time,charging_count","[3,238.052231589,19.098411212,1]",3,238.05223158918278,19.09841121172411,1,238.05223158918278,48.97028515826695,feasible,True,False,0.02730087500094669,1000,1000,1,0,36,0.0001742013050210921,,,,,raw/rc105C5-alns_exact_charging-2014.json,solutions/rc105C5-alns_exact_charging-2014.json
rc105C5-alns_exact_charging-2015,rc105C5,ALNS_EXACT_CHARGING,2015,"vehicles,distance,charging_time,charging_count","[2,241.296391877,59.789763586,3]",2,241.29639187672765,59.789763585628236,3,241.29639187672765,153.30708611699546,feasible,True,False,0.05256908300361829,1000,961,2,39,56,0.0001912314107487743,,,,,raw/rc105C5-alns_exact_charging-2015.json,solutions/rc105C5-alns_exact_charging-2015.json
rc105C5-alns_exact_charging-2016,rc105C5,ALNS_EXACT_CHARGING,2016,"vehicles,distance,charging_time,charging_count","[3,243.0928984,53.814851181,3]",3,243.09289840037775,53.81485118117615,3,243.09289840037775,137.98679790045168,feasible,True,False,0.03368987500289222,1000,1000,1,0,52,0.0002575793655873545,,,,,raw/rc105C5-alns_exact_charging-2016.json,solutions/rc105C5-alns_exact_charging-2016.json
rc105C5-branch_price_and_cut-0,rc105C5,BRANCH_PRICE_AND_CUT,0,"vehicles,distance,charging_time,charging_count","[2,241.296391877,59.789763586,3]",2,241.29639187672765,59.789763585628236,3,241.29639187672765,153.30708611699546,feasible,True,True,0.06226020800386323,,,,,,,1501.0191952306618,1501.0191952306618,0.0,,raw/rc105C5-branch_price_and_cut-0.json,solutions/rc105C5-branch_price_and_cut-0.json
c104C10-alns_exact_charging-2014,c104C10,ALNS_EXACT_CHARGING,2014,"vehicles,distance,charging_time,charging_count","[2,279.933119059,580.401779332,3]",2,279.9331190586651,580.4017793324897,3,279.9331190586651,167.2627606145503,feasible,True,False,0.4143482910003513,1000,963,6,37,807,0.00043781292181361935,,,,,raw/c104C10-alns_exact_charging-2014.json,solutions/c104C10-alns_exact_charging-2014.json
c104C10-alns_exact_charging-2015,c104C10,ALNS_EXACT_CHARGING,2015,"vehicles,distance,charging_time,charging_count","[2,273.931237129,589.151039592,3]",2,273.9312371287162,589.1510395919971,3,273.9312371287162,169.78416126570522,feasible,True,False,0.4115371250009048,1000,965,8,35,814,0.0004440083354225277,,,,,raw/c104C10-alns_exact_charging-2015.json,solutions/c104C10-alns_exact_charging-2015.json
c104C10-alns_exact_charging-2016,c104C10,ALNS_EXACT_CHARGING,2016,"vehicles,distance,charging_time,charging_count","[2,273.931237129,589.151039592,3]",2,273.9312371287162,589.1510395919971,3,273.9312371287162,169.78416126570522,feasible,True,False,0.4031830829990213,1000,968,7,32,792,0.0004468264746398258,,,,,raw/c104C10-alns_exact_charging-2016.json,solutions/c104C10-alns_exact_charging-2016.json
r103C10-alns_exact_charging-2014,r103C10,ALNS_EXACT_CHARGING,2014,"vehicles,distance,charging_time,charging_count","[3,202.852685745,30.457682654,2]",3,202.85268574464004,30.45768265386458,2,202.85268574464004,62.15853602829506,feasible,True,False,0.5588573749992065,1000,939,52,61,1366,0.0003642949852763469,,,,,raw/r103C10-alns_exact_charging-2014.json,solutions/r103C10-alns_exact_charging-2014.json
r103C10-alns_exact_charging-2015,r103C10,ALNS_EXACT_CHARGING,2015,"vehicles,distance,charging_time,charging_count","[3,202.852685745,30.457682654,2]",3,202.85268574464004,30.45768265386458,2,202.85268574464004,62.15853602829506,feasible,True,False,0.5833667080005398,1000,933,56,67,1417,0.0003718737622125461,,,,,raw/r103C10-alns_exact_charging-2015.json,solutions/r103C10-alns_exact_charging-2015.json
r103C10-alns_exact_charging-2016,r103C10,ALNS_EXACT_CHARGING,2016,"vehicles,distance,charging_time,charging_count","[3,202.852685745,30.457682654,2]",3,202.85268574464004,30.45768265386458,2,202.85268574464004,62.15853602829506,feasible,True,False,0.5344320410004002,1000,945,56,55,1480,0.0003243353979947593,,,,,raw/r103C10-alns_exact_charging-2016.json,solutions/r103C10-alns_exact_charging-2016.json
