instance,baseline_best_objective,candidate_best_objective,classification,baseline_feasibility_rate,candidate_feasibility_rate,gate_status,reason
c101C5,"[3,247.149706494,236.593109684,2]","[2,264.440732989,439.66473683,3]",better,1.0,1.0,pass,candidate retained Stage 0 structural feasibility
r105C5,"[2,156.082069464,44.159902941,2]","[2,156.082069464,44.159902941,2]",equal,1.0,1.0,pass,candidate retained Stage 0 structural feasibility
rc105C5,"[2,241.296391877,59.789763586,3]","[2,241.296391877,59.789763586,3]",equal,1.0,1.0,pass,candidate retained Stage 0 structural feasibility
c104C10,"[2,273.931237129,589.151039592,3]","[2,273.931237129,589.151039592,3]",equal,1.0,1.0,pass,candidate retained Stage 0 structural feasibility
r103C10,"[3,202.852685745,30.457682654,2]","[3,202.852685745,30.457682654,2]",equal,1.0,1.0,pass,candidate retained Stage 0 structural feasibility
rc102C10,"[4,423.510181924,69.382613231,3]","[4,423.510181924,69.382613231,3]",equal,1.0,1.0,pass,candidate retained Stage 0 structural feasibility
c106C15,"[3,275.133168873,437.989595186,2]","[3,275.133168873,437.989595186,2]",equal,1.0,1.0,pass,candidate retained Stage 0 structural feasibility
r105C15,"[4,336.1536021,80.684092212,4]","[4,336.1536021,80.684092212,4]",equal,1.0,1.0,pass,candidate retained Stage 0 structural feasibility
rc103C15,"[4,397.669856913,67.687714099,4]","[4,397.669856913,67.687714099,4]",equal,1.0,1.0,pass,candidate retained Stage 0 structural feasibility
c101_21,"[14,1234.503287651,1482.50269815,8]","[14,1203.979724269,1467.041944497,8]",better,1.0,1.0,pass,candidate retained Stage 0 structural feasibility
r101_21,"[22,1788.21559696,393.936591102,23]","[24,1876.503278666,390.503556565,23]",worse,1.0,1.0,pass,candidate retained Stage 0 structural feasibility
rc101_21,"[24,2167.862884959,338.043921747,21]","[22,2114.735792586,366.087415726,20]",better,1.0,1.0,pass,candidate retained Stage 0 structural feasibility
