instance,algorithm,runs,feasible_runs,feasibility_rate,best_objective_key,best_vehicle_count,best_total_distance,best_total_charging_time,best_charging_count,mean_vehicle_count,mean_total_distance,mean_total_charging_time,mean_charging_count,mean_runtime_seconds
c101C5,ALNS_EXACT_CHARGING,3,3,1.0,"[2,264.440732989,439.66473683,3]",2,264.4407329887187,439.6647368296095,3,2.0,264.4407329887187,439.6647368296096,3.0,0.018921833669689175
c101C5,BRANCH_PRICE_AND_CUT,1,1,1.0,"[2,257.747451864,472.556700052,3]",2,257.7474518641999,472.55670005197175,3,2.0,257.7474518641999,472.55670005197175,3.0,0.0384360000025481
c101_21,ALNS_EXACT_CHARGING,3,3,1.0,"[14,1203.979724269,1467.041944497,8]",14,1203.979724268883,1467.0419444972429,8,14.0,1220.7246486487995,1469.4364437633383,7.666666666666667,30.009419333330396
c104C10,ALNS_EXACT_CHARGING,3,3,1.0,"[2,273.931237129,589.151039592,3]",2,273.9312371287162,589.1510395919971,3,2.0,275.93186443869917,586.2346195054946,3.0,0.40642229199875146
c106C15,ALNS_EXACT_CHARGING,3,3,1.0,"[3,275.133168873,437.989595186,2]",3,275.1331688731623,437.989595186203,2,3.0,282.8197955011379,447.60227310060736,2.0,1.169444944668309
r101_21,ALNS_EXACT_CHARGING,3,3,1.0,"[24,1876.503278666,390.503556565,23]",24,1876.503278665585,390.50355656494867,23,26.666666666666668,1990.4549365919793,392.1387898368959,22.666666666666668,30.01194277766869
r103C10,ALNS_EXACT_CHARGING,3,3,1.0,"[3,202.852685745,30.457682654,2]",3,202.85268574464004,30.45768265386458,2,3.0,202.85268574464007,30.45768265386458,2.0,0.5421786666677993
r105C15,ALNS_EXACT_CHARGING,3,3,1.0,"[4,336.1536021,80.684092212,4]",4,336.1536020996758,80.68409221221032,4,4.0,336.1536020996758,80.68409221221032,4.0,1.3811721663320593
r105C5,ALNS_EXACT_CHARGING,3,3,1.0,"[2,156.082069464,44.159902941,2]",2,156.08206946417084,44.159902941361445,2,2.0,156.08206946417084,44.159902941361445,2.0,0.01851305566621401
r105C5,BRANCH_PRICE_AND_CUT,1,1,1.0,"[2,156.082069464,44.159902941,2]",2,156.08206946417084,44.159902941361445,2,2.0,156.08206946417084,44.159902941361445,2.0,0.03354020800179569
rc101_21,ALNS_EXACT_CHARGING,3,3,1.0,"[22,2114.735792586,366.087415726,20]",22,2114.7357925862707,366.08741572611314,20,23.666666666666668,2173.9128242316606,351.2673766162382,19.666666666666668,30.00850623599884
rc102C10,ALNS_EXACT_CHARGING,3,3,1.0,"[4,423.510181924,69.382613231,3]",4,423.5101819239308,69.38261323056489,3,4.0,423.5101819239308,69.38261323056489,3.0,0.1533548749963908
rc103C15,ALNS_EXACT_CHARGING,3,3,1.0,"[4,397.669856913,67.687714099,4]",4,397.6698569130491,67.68771409904316,4,4.0,397.66985691304916,67.68771409904316,4.0,0.9193477359998118
rc105C5,ALNS_EXACT_CHARGING,3,3,1.0,"[2,241.296391877,59.789763586,3]",2,241.29639187672765,59.789763585628236,3,2.6666666666666665,240.81384062209608,44.234341992842836,2.3333333333333335,0.023600389002240263
rc105C5,BRANCH_PRICE_AND_CUT,1,1,1.0,"[2,241.296391877,59.789763586,3]",2,241.29639187672765,59.789763585628236,3,2.0,241.29639187672765,59.789763585628236,3.0,0.05853854100132594
