instance,baseline,candidate,metric,statistic,baseline_value,candidate_value,absolute_delta,relative_delta,classification,gate_status,reason
c101_21,stage01,stage02,objective,best,"[14,1203.979724269,1467.041944497,8]","[14,1255.425025683,1514.244653739,8]",,,worse,fail,vehicle-first objective comparison
c101_21,stage01,stage02,vehicle_count,mean,14.0,14.0,0.0,0.0,unchanged,pass,descriptive comparison
c101_21,stage01,stage02,total_distance,mean,1220.7246486487995,1255.4250256826806,34.70037703388107,0.0284260476531627,regression,pass,descriptive comparison
c101_21,stage01,stage02,total_charging_time,mean,1469.4364437633383,1514.2446537392946,44.80820997595629,0.030493465822311484,regression,pass,descriptive comparison
c101_21,stage01,stage02,charging_count,mean,7.666666666666667,8.0,0.33333333333333304,0.043478260869565175,regression,pass,descriptive comparison
r101_21,stage01,stage02,objective,best,"[24,1876.503278666,390.503556565,23]","[20,1745.398510267,412.110278095,24]",,,better,pass,vehicle-first objective comparison
r101_21,stage01,stage02,vehicle_count,mean,26.666666666666668,21.0,-5.666666666666668,-0.21250000000000002,improvement,pass,descriptive comparison
r101_21,stage01,stage02,total_distance,mean,1990.4549365919793,1798.1108076167009,-192.3441289752784,-0.09663324973566421,improvement,pass,descriptive comparison
r101_21,stage01,stage02,total_charging_time,mean,392.1387898368959,428.4414693070098,36.3026794701139,0.09257609910310949,regression,pass,descriptive comparison
r101_21,stage01,stage02,charging_count,mean,22.666666666666668,24.666666666666668,2.0,0.08823529411764705,regression,pass,descriptive comparison
rc101_21,stage01,stage02,objective,best,"[22,2114.735792586,366.087415726,20]","[22,2102.328510092,350.539091447,19]",,,better,pass,vehicle-first objective comparison
rc101_21,stage01,stage02,vehicle_count,mean,23.666666666666668,22.0,-1.6666666666666679,-0.07042253521126765,improvement,pass,descriptive comparison
rc101_21,stage01,stage02,total_distance,mean,2169.8031370179565,2112.925424394104,-56.8777126238524,-0.026213305554540593,improvement,pass,descriptive comparison
rc101_21,stage01,stage02,total_charging_time,mean,351.2673766162382,361.2769248832205,10.009548266982279,0.028495524871692747,regression,pass,descriptive comparison
rc101_21,stage01,stage02,charging_count,mean,19.666666666666668,20.0,0.33333333333333215,0.01694915254237282,regression,pass,descriptive comparison
