instance,baseline,candidate,metric,statistic,baseline_value,candidate_value,absolute_delta,relative_delta,classification,gate_status,reason
c101_21,stage01,stage02,objective,best,"[14,1203.979724269,1467.041944497,8]","[12,1055.920259047,1386.415951629,8]",,,better,pass,vehicle-first objective comparison
c101_21,stage01,stage02,vehicle_count,mean,14.0,12.0,-2.0,-0.14285714285714285,improvement,pass,descriptive comparison
c101_21,stage01,stage02,total_distance,mean,1220.7246486487995,1062.8618914331591,-157.86275721564039,-0.12931889053798998,improvement,pass,descriptive comparison
c101_21,stage01,stage02,total_charging_time,mean,1469.4364437633383,1332.7144308589852,-136.72201290435305,-0.09304384240954144,improvement,pass,descriptive comparison
c101_21,stage01,stage02,charging_count,mean,7.666666666666667,7.666666666666667,0.0,0.0,unchanged,pass,descriptive comparison
r101_21,stage01,stage02,objective,best,"[24,1876.503278666,390.503556565,23]","[20,1799.548688513,463.254013128,27]",,,better,pass,vehicle-first objective comparison
r101_21,stage01,stage02,vehicle_count,mean,26.666666666666668,20.666666666666668,-6.0,-0.22499999999999998,improvement,pass,descriptive comparison
r101_21,stage01,stage02,total_distance,mean,1990.4549365919793,1812.683201209865,-177.77173538211423,-0.08931211257989681,improvement,pass,descriptive comparison
r101_21,stage01,stage02,total_charging_time,mean,392.1387898368959,449.3485036151181,57.20971377822218,0.14589149367757695,regression,pass,descriptive comparison
r101_21,stage01,stage02,charging_count,mean,22.666666666666668,26.333333333333332,3.6666666666666643,0.16176470588235284,regression,pass,descriptive comparison
rc101_21,stage01,stage02,objective,best,"[22,2114.735792586,366.087415726,20]","[19,1925.362709303,325.819224421,19]",,,better,pass,vehicle-first objective comparison
rc101_21,stage01,stage02,vehicle_count,mean,23.666666666666668,19.333333333333332,-4.333333333333336,-0.18309859154929586,improvement,pass,descriptive comparison
rc101_21,stage01,stage02,total_distance,mean,2169.8031370179565,1968.1000951143212,-201.70304190363527,-0.09295914383313293,improvement,pass,descriptive comparison
rc101_21,stage01,stage02,total_charging_time,mean,351.2673766162382,346.91528995511345,-4.352086661124758,-0.012389669382475675,improvement,pass,descriptive comparison
rc101_21,stage01,stage02,charging_count,mean,19.666666666666668,20.0,0.33333333333333215,0.01694915254237282,regression,pass,descriptive comparison
