instance,baseline,candidate,metric,statistic,baseline_value,candidate_value,absolute_delta,relative_delta,classification,gate_status,reason
c101_21,stage02_2,stage02_constraint_guided,objective,best,"[12,1055.920259047,1386.415951629,8]","[12,1055.920259047,1386.415951629,8]",,,equal,pass,vehicle-first objective comparison
c101_21,stage02_2,stage02_constraint_guided,vehicle_count,mean,12.0,12.0,0.0,0.0,unchanged,pass,descriptive comparison
c101_21,stage02_2,stage02_constraint_guided,total_distance,mean,1062.8618914331591,1062.8618914331591,0.0,0.0,unchanged,pass,descriptive comparison
c101_21,stage02_2,stage02_constraint_guided,total_charging_time,mean,1332.7144308589852,1332.7144308589852,0.0,0.0,unchanged,pass,descriptive comparison
c101_21,stage02_2,stage02_constraint_guided,charging_count,mean,7.666666666666667,7.666666666666667,0.0,0.0,unchanged,pass,descriptive comparison
r101_21,stage02_2,stage02_constraint_guided,objective,best,"[20,1799.548688513,463.254013128,27]","[20,1799.548688513,463.254013128,27]",,,equal,pass,vehicle-first objective comparison
r101_21,stage02_2,stage02_constraint_guided,vehicle_count,mean,20.666666666666668,20.666666666666668,0.0,0.0,unchanged,pass,descriptive comparison
r101_21,stage02_2,stage02_constraint_guided,total_distance,mean,1812.683201209865,1812.683201209865,0.0,0.0,unchanged,pass,descriptive comparison
r101_21,stage02_2,stage02_constraint_guided,total_charging_time,mean,449.3485036151181,449.3485036151181,0.0,0.0,unchanged,pass,descriptive comparison
r101_21,stage02_2,stage02_constraint_guided,charging_count,mean,26.333333333333332,26.333333333333332,0.0,0.0,unchanged,pass,descriptive comparison
rc101_21,stage02_2,stage02_constraint_guided,objective,best,"[19,1925.362709303,325.819224421,19]","[19,1925.362709303,325.819224421,19]",,,equal,pass,vehicle-first objective comparison
rc101_21,stage02_2,stage02_constraint_guided,vehicle_count,mean,19.333333333333332,19.333333333333332,0.0,0.0,unchanged,pass,descriptive comparison
rc101_21,stage02_2,stage02_constraint_guided,total_distance,mean,1968.1000951143212,1968.1000951143212,0.0,0.0,unchanged,pass,descriptive comparison
rc101_21,stage02_2,stage02_constraint_guided,total_charging_time,mean,346.91528995511345,346.91528995511345,0.0,0.0,unchanged,pass,descriptive comparison
rc101_21,stage02_2,stage02_constraint_guided,charging_count,mean,20.0,20.0,0.0,0.0,unchanged,pass,descriptive comparison
