instance,seed,stage02_2_objective,stage02_3_objective,stage02_2_feasible,stage02_3_feasible,stage02_2_iterations,stage02_3_iterations,stage02_2_exact_charging_calls,stage02_3_exact_charging_calls,stage02_3_cache_hits,stage02_3_cache_misses,stage02_3_runtime_seconds,stage02_3_removal_tier_counts,stage02_3_failure_events,stage02_3_accepted_moves,stage02_3_constraint_statistics,objective_comparison,readiness_status
c101C5,2014,"[2,257.747451864,472.556700052,3]","[2,257.747451864,472.556700052,3]",True,True,1000,1000,60,60,6694,60,0.07476308300101664,"{""large"":332,""medium"":0,""small"":4}",406,755,"{""shaw_related"":{""accepted"":85,""best"":0,""calls"":85,""candidate_proposals"":170,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":85,""feasible_repairs"":85,""improved"":0,""new_routes_created"":0,""prefilter_passed"":170,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":97,""best"":0,""calls"":97,""candidate_proposals"":194,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":97,""feasible_repairs"":97,""improved"":0,""new_routes_created"":0,""prefilter_passed"":194,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":76,""best"":0,""calls"":76,""candidate_proposals"":152,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":76,""feasible_repairs"":76,""improved"":0,""new_routes_created"":0,""prefilter_passed"":152,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":78,""best"":0,""calls"":78,""candidate_proposals"":156,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":78,""feasible_repairs"":78,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
c101C5,2015,"[2,257.747451864,472.556700052,3]","[2,257.747451864,472.556700052,3]",True,True,1000,1000,60,60,6442,60,0.07449549999728333,"{""large"":332,""medium"":0,""small"":4}",386,779,"{""shaw_related"":{""accepted"":86,""best"":0,""calls"":86,""candidate_proposals"":172,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":86,""feasible_repairs"":86,""improved"":0,""new_routes_created"":0,""prefilter_passed"":172,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":87,""best"":0,""calls"":87,""candidate_proposals"":174,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":84,""best"":0,""calls"":84,""candidate_proposals"":168,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":84,""feasible_repairs"":84,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":79,""best"":0,""calls"":79,""candidate_proposals"":158,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":79,""feasible_repairs"":79,""improved"":0,""new_routes_created"":0,""prefilter_passed"":158,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
c101C5,2016,"[2,257.747451864,472.556700052,3]","[2,257.747451864,472.556700052,3]",True,True,1000,1000,60,60,6586,60,0.07376112500787713,"{""large"":332,""medium"":0,""small"":4}",371,763,"{""shaw_related"":{""accepted"":87,""best"":0,""calls"":87,""candidate_proposals"":174,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":78,""best"":0,""calls"":78,""candidate_proposals"":156,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":78,""feasible_repairs"":78,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":87,""best"":0,""calls"":87,""candidate_proposals"":174,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":84,""best"":0,""calls"":84,""candidate_proposals"":168,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":84,""feasible_repairs"":84,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
r105C5,2014,"[2,156.082069464,44.159902941,2]","[2,156.082069464,44.159902941,2]",True,True,1000,1000,58,58,9043,58,0.06673037499422207,"{""large"":332,""medium"":0,""small"":4}",377,876,"{""shaw_related"":{""accepted"":85,""best"":0,""calls"":85,""candidate_proposals"":170,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":85,""feasible_repairs"":85,""improved"":0,""new_routes_created"":0,""prefilter_passed"":170,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":97,""best"":0,""calls"":97,""candidate_proposals"":194,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":97,""feasible_repairs"":97,""improved"":0,""new_routes_created"":0,""prefilter_passed"":194,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":76,""best"":0,""calls"":76,""candidate_proposals"":152,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":76,""feasible_repairs"":76,""improved"":0,""new_routes_created"":0,""prefilter_passed"":152,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":78,""best"":0,""calls"":78,""candidate_proposals"":156,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":78,""feasible_repairs"":78,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
r105C5,2015,"[2,156.082069464,44.159902941,2]","[2,156.082069464,44.159902941,2]",True,True,1000,1000,58,58,9005,58,0.06719495799916331,"{""large"":332,""medium"":0,""small"":4}",307,890,"{""shaw_related"":{""accepted"":86,""best"":0,""calls"":86,""candidate_proposals"":172,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":86,""feasible_repairs"":86,""improved"":0,""new_routes_created"":0,""prefilter_passed"":172,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":87,""best"":0,""calls"":87,""candidate_proposals"":174,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":84,""best"":0,""calls"":84,""candidate_proposals"":168,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":84,""feasible_repairs"":84,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":79,""best"":0,""calls"":79,""candidate_proposals"":158,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":79,""feasible_repairs"":79,""improved"":0,""new_routes_created"":0,""prefilter_passed"":158,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
r105C5,2016,"[2,156.082069464,44.159902941,2]","[2,156.082069464,44.159902941,2]",True,True,1000,1000,58,58,9072,58,0.06698508300178219,"{""large"":332,""medium"":0,""small"":4}",300,881,"{""shaw_related"":{""accepted"":87,""best"":0,""calls"":87,""candidate_proposals"":174,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":78,""best"":0,""calls"":78,""candidate_proposals"":156,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":78,""feasible_repairs"":78,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":87,""best"":0,""calls"":87,""candidate_proposals"":174,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":84,""best"":0,""calls"":84,""candidate_proposals"":168,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":84,""feasible_repairs"":84,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
rc105C5,2014,"[2,241.296391877,59.789763586,3]","[2,241.296391877,59.789763586,3]",True,True,1000,1000,50,50,9192,50,0.07213191701157484,"{""large"":332,""medium"":0,""small"":4}",314,916,"{""shaw_related"":{""accepted"":85,""best"":0,""calls"":85,""candidate_proposals"":170,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":85,""feasible_repairs"":85,""improved"":0,""new_routes_created"":0,""prefilter_passed"":170,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":97,""best"":0,""calls"":97,""candidate_proposals"":194,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":97,""feasible_repairs"":97,""improved"":0,""new_routes_created"":0,""prefilter_passed"":194,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":76,""best"":0,""calls"":76,""candidate_proposals"":152,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":76,""feasible_repairs"":76,""improved"":0,""new_routes_created"":0,""prefilter_passed"":152,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":78,""best"":0,""calls"":78,""candidate_proposals"":156,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":78,""feasible_repairs"":78,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
rc105C5,2015,"[2,241.296391877,59.789763586,3]","[2,241.296391877,59.789763586,3]",True,True,1000,1000,50,50,9115,50,0.07179979099601042,"{""large"":332,""medium"":0,""small"":4}",317,923,"{""shaw_related"":{""accepted"":86,""best"":0,""calls"":86,""candidate_proposals"":172,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":86,""feasible_repairs"":86,""improved"":0,""new_routes_created"":0,""prefilter_passed"":172,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":87,""best"":0,""calls"":87,""candidate_proposals"":174,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":84,""best"":0,""calls"":84,""candidate_proposals"":168,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":84,""feasible_repairs"":84,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":79,""best"":0,""calls"":79,""candidate_proposals"":158,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":79,""feasible_repairs"":79,""improved"":0,""new_routes_created"":0,""prefilter_passed"":158,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
rc105C5,2016,"[2,241.296391877,59.789763586,3]","[2,241.296391877,59.789763586,3]",True,True,1000,1000,50,50,9298,50,0.07159333299205173,"{""large"":332,""medium"":0,""small"":4}",324,900,"{""shaw_related"":{""accepted"":87,""best"":0,""calls"":87,""candidate_proposals"":174,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":78,""best"":0,""calls"":78,""candidate_proposals"":156,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":78,""feasible_repairs"":78,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":87,""best"":0,""calls"":87,""candidate_proposals"":174,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":84,""best"":0,""calls"":84,""candidate_proposals"":168,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":84,""feasible_repairs"":84,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
c104C10,2014,"[2,273.931237129,589.151039592,3]","[2,273.931237129,589.151039592,3]",True,True,1000,1000,2050,2050,36600,2050,1.189260999992257,"{""large"":324,""medium"":1,""small"":11}",575,794,"{""shaw_related"":{""accepted"":85,""best"":0,""calls"":85,""candidate_proposals"":170,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":85,""feasible_repairs"":85,""improved"":0,""new_routes_created"":0,""prefilter_passed"":170,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":97,""best"":0,""calls"":97,""candidate_proposals"":194,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":97,""feasible_repairs"":97,""improved"":0,""new_routes_created"":0,""prefilter_passed"":194,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":76,""best"":0,""calls"":76,""candidate_proposals"":152,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":76,""feasible_repairs"":76,""improved"":0,""new_routes_created"":0,""prefilter_passed"":152,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":78,""best"":0,""calls"":78,""candidate_proposals"":156,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":78,""feasible_repairs"":78,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
