instance,seed,operator,objective,feasible,first_failure_location,constraint_trigger,root_cause_classification,next_step
c101C5,2014,relocate,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2014,relocate,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=budget_exhausted;reason=relocate_candidate_budget,computational_limit,computational_limit,record budget and assess bounded candidate generation
c101C5,2014,station_pressure,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=failed;reason=constraint_removal_no_change,operator_failure,operator_logic,inspect the operator event trace and add a focused regression test
c101C5,2014,route_elimination,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=failed;reason=no_existing_route_insertion,operator_failure,operator_logic,inspect the operator event trace and add a focused regression test
c101C5,2014,swap,"[2,257.747451864,472.556700052,3]",True,iteration=1;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2014,time_window_conflict,"[2,257.747451864,472.556700052,3]",True,iteration=1;status=failed;reason=constraint_removal_no_change,operator_failure,operator_logic,inspect the operator event trace and add a focused regression test
c101C5,2014,worst_energy_detour,"[2,257.747451864,472.556700052,3]",True,iteration=2;status=failed;reason=constraint_removal_no_change,operator_failure,operator_logic,inspect the operator event trace and add a focused regression test
c101C5,2014,route_merge,"[2,257.747451864,472.556700052,3]",True,iteration=2;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2014,shaw_related,"[2,257.747451864,472.556700052,3]",True,iteration=3;status=failed;reason=constraint_removal_no_change,operator_failure,operator_logic,inspect the operator event trace and add a focused regression test
c101C5,2014,ejection_chain,"[2,257.747451864,472.556700052,3]",True,iteration=4;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2015,relocate,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2015,relocate,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=budget_exhausted;reason=relocate_candidate_budget,computational_limit,computational_limit,record budget and assess bounded candidate generation
c101C5,2015,station_pressure,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=failed;reason=constraint_removal_no_change,operator_failure,operator_logic,inspect the operator event trace and add a focused regression test
c101C5,2015,route_elimination,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=failed;reason=no_existing_route_insertion,operator_failure,operator_logic,inspect the operator event trace and add a focused regression test
c101C5,2015,swap,"[2,257.747451864,472.556700052,3]",True,iteration=1;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2015,time_window_conflict,"[2,257.747451864,472.556700052,3]",True,iteration=1;status=failed;reason=constraint_removal_no_change,operator_failure,operator_logic,inspect the operator event trace and add a focused regression test
c101C5,2015,worst_energy_detour,"[2,257.747451864,472.556700052,3]",True,iteration=2;status=failed;reason=constraint_removal_no_change,operator_failure,operator_logic,inspect the operator event trace and add a focused regression test
c101C5,2015,route_merge,"[2,257.747451864,472.556700052,3]",True,iteration=2;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2015,ejection_chain,"[2,257.747451864,472.556700052,3]",True,iteration=4;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2015,shaw_related,"[2,257.747451864,472.556700052,3]",True,iteration=6;status=failed;reason=constraint_removal_no_change,operator_failure,operator_logic,inspect the operator event trace and add a focused regression test
