instance,seed,operator,objective,feasible,first_failure_location,constraint_trigger,root_cause_classification,next_step
c101C5,2014,relocate,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2014,relocate,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=budget_exhausted;reason=relocate_candidate_budget,computational_limit,computational_limit,record budget and assess bounded candidate generation
c101C5,2014,route_elimination,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=failed;reason=no_existing_route_insertion,operator_failure,operator_logic,inspect the operator event trace and add a focused regression test
c101C5,2014,swap,"[2,257.747451864,472.556700052,3]",True,iteration=1;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2014,route_merge,"[2,257.747451864,472.556700052,3]",True,iteration=2;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2014,ejection_chain,"[2,257.747451864,472.556700052,3]",True,iteration=4;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2015,relocate,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2015,relocate,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=budget_exhausted;reason=relocate_candidate_budget,computational_limit,computational_limit,record budget and assess bounded candidate generation
c101C5,2015,route_elimination,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=failed;reason=no_existing_route_insertion,operator_failure,operator_logic,inspect the operator event trace and add a focused regression test
c101C5,2015,swap,"[2,257.747451864,472.556700052,3]",True,iteration=1;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2015,route_merge,"[2,257.747451864,472.556700052,3]",True,iteration=2;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2015,ejection_chain,"[2,257.747451864,472.556700052,3]",True,iteration=4;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2016,relocate,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2016,relocate,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=budget_exhausted;reason=relocate_candidate_budget,computational_limit,computational_limit,record budget and assess bounded candidate generation
c101C5,2016,route_elimination,"[2,257.747451864,472.556700052,3]",True,iteration=0;status=failed;reason=no_existing_route_insertion,operator_failure,operator_logic,inspect the operator event trace and add a focused regression test
c101C5,2016,swap,"[2,257.747451864,472.556700052,3]",True,iteration=1;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2016,route_merge,"[2,257.747451864,472.556700052,3]",True,iteration=2;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
c101C5,2016,ejection_chain,"[2,257.747451864,472.556700052,3]",True,iteration=4;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
r105C5,2014,relocate,"[2,156.082069464,44.159902941,2]",True,iteration=0;status=exact_infeasible;reason=no feasible station-insertion pattern for fixed customer order,exact_infeasible,operator_logic,compare prefilter assumptions with exact charging failure
r105C5,2014,relocate,"[2,156.082069464,44.159902941,2]",True,iteration=0;status=prefilter_rejected;reason=time_window_prefilter,time_window,operator_logic,review exact arrival replay and time-window ranking
