instance,baseline,candidate,metric,statistic,baseline_value,candidate_value,absolute_delta,relative_delta,classification,gate_status,reason
c101C5,stage02_2,stage02_constraint_guided,objective,best,"[2,257.747451864,472.556700052,3]","[2,257.747451864,472.556700052,3]",,,equal,pass,vehicle-first objective comparison
c101C5,stage02_2,stage02_constraint_guided,vehicle_count,mean,2.0,2.0,0.0,0.0,unchanged,pass,descriptive comparison
c101C5,stage02_2,stage02_constraint_guided,total_distance,mean,257.7474518641999,257.7474518641999,0.0,0.0,unchanged,pass,descriptive comparison
c101C5,stage02_2,stage02_constraint_guided,total_charging_time,mean,472.55670005197175,472.55670005197175,0.0,0.0,unchanged,pass,descriptive comparison
c101C5,stage02_2,stage02_constraint_guided,charging_count,mean,3.0,3.0,0.0,0.0,unchanged,pass,descriptive comparison
c101_21,stage02_2,stage02_constraint_guided,objective,best,"[12,1055.920259047,1386.415951629,8]","[12,1055.920259047,1386.415951629,8]",,,equal,pass,vehicle-first objective comparison
c101_21,stage02_2,stage02_constraint_guided,vehicle_count,mean,12.0,12.0,0.0,0.0,unchanged,pass,descriptive comparison
c101_21,stage02_2,stage02_constraint_guided,total_distance,mean,1062.8618914331591,1055.9202590469108,-6.94163238624833,-0.006531076560556948,improvement,pass,descriptive comparison
c101_21,stage02_2,stage02_constraint_guided,total_charging_time,mean,1332.7144308589852,1386.415951628537,53.701520769551735,0.04029484451139248,regression,pass,descriptive comparison
c101_21,stage02_2,stage02_constraint_guided,charging_count,mean,7.666666666666667,8.0,0.33333333333333304,0.043478260869565175,regression,pass,descriptive comparison
c104C10,stage02_2,stage02_constraint_guided,objective,best,"[2,273.931237129,589.151039592,3]","[2,273.931237129,589.151039592,3]",,,equal,pass,vehicle-first objective comparison
c104C10,stage02_2,stage02_constraint_guided,vehicle_count,mean,2.0,2.0,0.0,0.0,unchanged,pass,descriptive comparison
c104C10,stage02_2,stage02_constraint_guided,total_distance,mean,277.93249174868214,277.93249174868214,0.0,0.0,unchanged,pass,descriptive comparison
c104C10,stage02_2,stage02_constraint_guided,total_charging_time,mean,613.2962708750043,613.2962708750043,0.0,0.0,unchanged,pass,descriptive comparison
c104C10,stage02_2,stage02_constraint_guided,charging_count,mean,3.0,3.0,0.0,0.0,unchanged,pass,descriptive comparison
c106C15,stage02_2,stage02_constraint_guided,objective,best,"[3,275.133168873,437.989595186,2]","[3,275.133168873,437.989595186,2]",,,equal,pass,vehicle-first objective comparison
c106C15,stage02_2,stage02_constraint_guided,vehicle_count,mean,3.0,3.0,0.0,0.0,unchanged,pass,descriptive comparison
c106C15,stage02_2,stage02_constraint_guided,total_distance,mean,275.1331688731623,282.8197955011379,7.686626627975613,0.02793784064443057,regression,pass,descriptive comparison
c106C15,stage02_2,stage02_constraint_guided,total_charging_time,mean,437.98959518620296,447.60227310060736,9.6126779144044,0.02194727459294496,regression,pass,descriptive comparison
c106C15,stage02_2,stage02_constraint_guided,charging_count,mean,2.0,2.0,0.0,0.0,unchanged,pass,descriptive comparison
r101_21,stage02_2,stage02_constraint_guided,objective,best,"[20,1799.548688513,463.254013128,27]","[20,1799.548688513,463.254013128,27]",,,equal,pass,vehicle-first objective comparison
r101_21,stage02_2,stage02_constraint_guided,vehicle_count,mean,20.666666666666668,20.666666666666668,0.0,0.0,unchanged,pass,descriptive comparison
r101_21,stage02_2,stage02_constraint_guided,total_distance,mean,1812.683201209865,1812.683201209865,0.0,0.0,unchanged,pass,descriptive comparison
r101_21,stage02_2,stage02_constraint_guided,total_charging_time,mean,449.3485036151181,449.3485036151181,0.0,0.0,unchanged,pass,descriptive comparison
r101_21,stage02_2,stage02_constraint_guided,charging_count,mean,26.333333333333332,26.333333333333332,0.0,0.0,unchanged,pass,descriptive comparison
r103C10,stage02_2,stage02_constraint_guided,objective,best,"[2,207.051154172,49.247992351,3]","[2,207.051154172,49.247992351,3]",,,equal,pass,vehicle-first objective comparison
r103C10,stage02_2,stage02_constraint_guided,vehicle_count,mean,2.0,2.0,0.0,0.0,unchanged,pass,descriptive comparison
r103C10,stage02_2,stage02_constraint_guided,total_distance,mean,207.85586985323093,207.85586985323093,0.0,0.0,unchanged,pass,descriptive comparison
r103C10,stage02_2,stage02_constraint_guided,total_charging_time,mean,48.75151234354644,48.75151234354644,0.0,0.0,unchanged,pass,descriptive comparison
