instance,seed,stage02_2_objective,stage02_3_objective,stage02_2_feasible,stage02_3_feasible,stage02_2_iterations,stage02_3_iterations,stage02_2_effective_iterations,stage02_3_effective_iterations,stage02_2_exact_charging_calls,stage02_3_exact_charging_calls,stage02_2_cache_hits,stage02_2_cache_misses,stage02_2_unique_route_evaluations,stage02_3_cache_hits,stage02_3_cache_misses,stage02_3_unique_route_evaluations,stage02_2_runtime_seconds,stage02_3_runtime_seconds,stage02_2_removal_tier_counts,stage02_3_removal_tier_counts,stage02_2_failure_events,stage02_3_failure_events,stage02_2_accepted_moves,stage02_3_accepted_moves,stage02_2_constraint_statistics,stage02_3_constraint_statistics,objective_comparison,readiness_status
c101C5,2014,"[2,257.747451864,472.556700052,3]","[2,257.747451864,472.556700052,3]",True,True,1000,1000,1000,1000,60,71,5014,60,60,5424,71,71,0.04871708400605712,0.09613650001119822,"{""large"":0,""medium"":0,""small"":0}","{""large"":332,""medium"":0,""small"":4}",406,744,755,755,{},"{""shaw_related"":{""accepted"":1,""best"":1,""calls"":85,""candidate_proposals"":86,""distance_improvements"":1,""exact_route_evaluations"":3,""failure_reasons"":{""candidate_rejected"":84,""constraint_removal_no_change"":84},""feasible_candidates"":1,""feasible_repairs"":1,""improved"":1,""new_routes_created"":0,""prefilter_passed"":170,""prefilter_rejected"":0,""rejected"":84,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":0,""best"":0,""calls"":97,""candidate_proposals"":97,""distance_improvements"":0,""exact_route_evaluations"":1,""failure_reasons"":{""candidate_rejected"":97,""constraint_removal_no_change"":97},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":194,""prefilter_rejected"":0,""rejected"":97,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":0,""best"":0,""calls"":76,""candidate_proposals"":76,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":76,""constraint_removal_no_change"":76},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":152,""prefilter_rejected"":0,""rejected"":76,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":0,""best"":0,""calls"":78,""candidate_proposals"":78,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":78,""constraint_removal_no_change"":78},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":78,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
c101C5,2015,"[2,257.747451864,472.556700052,3]","[2,257.747451864,472.556700052,3]",True,True,1000,1000,1000,1000,60,70,4762,60,60,5185,70,70,0.04772950000187848,0.07956329199078027,"{""large"":0,""medium"":0,""small"":0}","{""large"":332,""medium"":0,""small"":4}",386,724,779,779,{},"{""shaw_related"":{""accepted"":1,""best"":1,""calls"":86,""candidate_proposals"":87,""distance_improvements"":1,""exact_route_evaluations"":2,""failure_reasons"":{""candidate_rejected"":85,""constraint_removal_no_change"":85},""feasible_candidates"":1,""feasible_repairs"":1,""improved"":1,""new_routes_created"":0,""prefilter_passed"":172,""prefilter_rejected"":0,""rejected"":85,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":0,""best"":0,""calls"":87,""candidate_proposals"":87,""distance_improvements"":0,""exact_route_evaluations"":1,""failure_reasons"":{""candidate_rejected"":87,""constraint_removal_no_change"":87},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":87,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":0,""best"":0,""calls"":84,""candidate_proposals"":84,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":84,""constraint_removal_no_change"":84},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":84,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":0,""best"":0,""calls"":79,""candidate_proposals"":79,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":79,""constraint_removal_no_change"":79},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":158,""prefilter_rejected"":0,""rejected"":79,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
c101C5,2016,"[2,257.747451864,472.556700052,3]","[2,257.747451864,472.556700052,3]",True,True,1000,1000,1000,1000,60,71,4906,60,60,5330,71,71,0.047304541993071325,0.0763322499988135,"{""large"":0,""medium"":0,""small"":0}","{""large"":332,""medium"":0,""small"":4}",371,709,763,763,{},"{""shaw_related"":{""accepted"":1,""best"":1,""calls"":87,""candidate_proposals"":88,""distance_improvements"":1,""exact_route_evaluations"":3,""failure_reasons"":{""candidate_rejected"":86,""constraint_removal_no_change"":86},""feasible_candidates"":1,""feasible_repairs"":1,""improved"":1,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":86,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":0,""best"":0,""calls"":78,""candidate_proposals"":78,""distance_improvements"":0,""exact_route_evaluations"":1,""failure_reasons"":{""candidate_rejected"":78,""constraint_removal_no_change"":78},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":78,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":0,""best"":0,""calls"":87,""candidate_proposals"":87,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":87,""constraint_removal_no_change"":87},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":87,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":0,""best"":0,""calls"":84,""candidate_proposals"":84,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":84,""constraint_removal_no_change"":84},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":84,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
r105C5,2014,"[2,156.082069464,44.159902941,2]","[2,156.082069464,44.159902941,2]",True,True,1000,1000,1000,1000,58,72,7363,58,58,7829,72,72,0.0409693330002483,0.07060166700102855,"{""large"":0,""medium"":0,""small"":0}","{""large"":332,""medium"":0,""small"":4}",377,714,876,876,{},"{""shaw_related"":{""accepted"":0,""best"":0,""calls"":85,""candidate_proposals"":85,""distance_improvements"":0,""exact_route_evaluations"":2,""failure_reasons"":{""candidate_rejected"":85,""constraint_removal_no_change"":85},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":170,""prefilter_rejected"":0,""rejected"":85,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":0,""best"":0,""calls"":97,""candidate_proposals"":97,""distance_improvements"":0,""exact_route_evaluations"":2,""failure_reasons"":{""candidate_rejected"":97,""constraint_removal_no_change"":97},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":194,""prefilter_rejected"":0,""rejected"":97,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":1,""best"":0,""calls"":76,""candidate_proposals"":77,""distance_improvements"":0,""exact_route_evaluations"":3,""failure_reasons"":{""candidate_rejected"":75,""constraint_removal_no_change"":75},""feasible_candidates"":1,""feasible_repairs"":1,""improved"":0,""new_routes_created"":0,""prefilter_passed"":152,""prefilter_rejected"":0,""rejected"":75,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":0,""best"":0,""calls"":78,""candidate_proposals"":78,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":78,""constraint_removal_no_change"":78},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":78,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
r105C5,2015,"[2,156.082069464,44.159902941,2]","[2,156.082069464,44.159902941,2]",True,True,1000,1000,1000,1000,58,72,7325,58,58,7801,72,72,0.04053395800292492,0.06921304199204315,"{""large"":0,""medium"":0,""small"":0}","{""large"":332,""medium"":0,""small"":4}",307,644,890,890,{},"{""shaw_related"":{""accepted"":0,""best"":0,""calls"":86,""candidate_proposals"":86,""distance_improvements"":0,""exact_route_evaluations"":3,""failure_reasons"":{""candidate_rejected"":86,""constraint_removal_no_change"":86},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":172,""prefilter_rejected"":0,""rejected"":86,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":0,""best"":0,""calls"":87,""candidate_proposals"":87,""distance_improvements"":0,""exact_route_evaluations"":2,""failure_reasons"":{""candidate_rejected"":87,""constraint_removal_no_change"":87},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":87,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":1,""best"":0,""calls"":84,""candidate_proposals"":85,""distance_improvements"":0,""exact_route_evaluations"":2,""failure_reasons"":{""candidate_rejected"":83,""constraint_removal_no_change"":83},""feasible_candidates"":1,""feasible_repairs"":1,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":83,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":0,""best"":0,""calls"":79,""candidate_proposals"":79,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":79,""constraint_removal_no_change"":79},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":158,""prefilter_rejected"":0,""rejected"":79,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
r105C5,2016,"[2,156.082069464,44.159902941,2]","[2,156.082069464,44.159902941,2]",True,True,1000,1000,1000,1000,58,72,7392,58,58,7868,72,72,0.041182333006872796,0.0705513749999227,"{""large"":0,""medium"":0,""small"":0}","{""large"":332,""medium"":0,""small"":4}",300,637,881,881,{},"{""shaw_related"":{""accepted"":0,""best"":0,""calls"":87,""candidate_proposals"":87,""distance_improvements"":0,""exact_route_evaluations"":2,""failure_reasons"":{""candidate_rejected"":87,""constraint_removal_no_change"":87},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":87,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":0,""best"":0,""calls"":78,""candidate_proposals"":78,""distance_improvements"":0,""exact_route_evaluations"":2,""failure_reasons"":{""candidate_rejected"":78,""constraint_removal_no_change"":78},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":78,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":1,""best"":0,""calls"":87,""candidate_proposals"":88,""distance_improvements"":0,""exact_route_evaluations"":3,""failure_reasons"":{""candidate_rejected"":86,""constraint_removal_no_change"":86},""feasible_candidates"":1,""feasible_repairs"":1,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":86,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":0,""best"":0,""calls"":84,""candidate_proposals"":84,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":84,""constraint_removal_no_change"":84},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":84,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
rc105C5,2014,"[2,241.296391877,59.789763586,3]","[2,241.296391877,59.789763586,3]",True,True,1000,1000,1000,1000,50,75,6840,50,50,7356,75,75,0.04419045899703633,0.07691816700389609,"{""large"":0,""medium"":0,""small"":0}","{""large"":332,""medium"":0,""small"":4}",314,606,916,916,{},"{""shaw_related"":{""accepted"":15,""best"":0,""calls"":85,""candidate_proposals"":100,""distance_improvements"":0,""exact_route_evaluations"":8,""failure_reasons"":{""candidate_rejected"":70,""constraint_removal_no_change"":54,""constraint_removal_no_existing_route_insertion"":16},""feasible_candidates"":15,""feasible_repairs"":15,""improved"":0,""new_routes_created"":0,""prefilter_passed"":170,""prefilter_rejected"":0,""rejected"":70,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":1,""best"":1,""calls"":97,""candidate_proposals"":98,""distance_improvements"":1,""exact_route_evaluations"":3,""failure_reasons"":{""candidate_rejected"":96,""constraint_removal_no_change"":9,""constraint_removal_no_existing_route_insertion"":87},""feasible_candidates"":1,""feasible_repairs"":1,""improved"":1,""new_routes_created"":0,""prefilter_passed"":194,""prefilter_rejected"":0,""rejected"":96,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":11,""best"":0,""calls"":76,""candidate_proposals"":87,""distance_improvements"":0,""exact_route_evaluations"":6,""failure_reasons"":{""candidate_rejected"":65,""constraint_removal_no_change"":65},""feasible_candidates"":11,""feasible_repairs"":11,""improved"":0,""new_routes_created"":0,""prefilter_passed"":152,""prefilter_rejected"":0,""rejected"":65,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":0,""best"":0,""calls"":78,""candidate_proposals"":78,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":78,""constraint_removal_no_change"":9,""constraint_removal_no_existing_route_insertion"":69},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":78,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
rc105C5,2015,"[2,241.296391877,59.789763586,3]","[2,241.296391877,59.789763586,3]",True,True,1000,1000,1000,1000,50,74,6763,50,50,7317,74,74,0.04434579199005384,0.07710566600144375,"{""large"":0,""medium"":0,""small"":0}","{""large"":332,""medium"":0,""small"":4}",317,605,923,923,{},"{""shaw_related"":{""accepted"":16,""best"":0,""calls"":86,""candidate_proposals"":102,""distance_improvements"":0,""exact_route_evaluations"":10,""failure_reasons"":{""candidate_rejected"":70,""constraint_removal_no_change"":54,""constraint_removal_no_existing_route_insertion"":16},""feasible_candidates"":16,""feasible_repairs"":16,""improved"":0,""new_routes_created"":0,""prefilter_passed"":172,""prefilter_rejected"":0,""rejected"":70,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":1,""best"":1,""calls"":87,""candidate_proposals"":88,""distance_improvements"":1,""exact_route_evaluations"":3,""failure_reasons"":{""candidate_rejected"":86,""constraint_removal_no_change"":4,""constraint_removal_no_existing_route_insertion"":82},""feasible_candidates"":1,""feasible_repairs"":1,""improved"":1,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":86,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":14,""best"":0,""calls"":84,""candidate_proposals"":98,""distance_improvements"":0,""exact_route_evaluations"":3,""failure_reasons"":{""candidate_rejected"":70,""constraint_removal_no_change"":70},""feasible_candidates"":14,""feasible_repairs"":14,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":70,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":0,""best"":0,""calls"":79,""candidate_proposals"":79,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":79,""constraint_removal_no_change"":7,""constraint_removal_no_existing_route_insertion"":72},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":158,""prefilter_rejected"":0,""rejected"":79,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
rc105C5,2016,"[2,241.296391877,59.789763586,3]","[2,241.296391877,59.789763586,3]",True,True,1000,1000,1000,1000,50,74,6946,50,50,7458,74,74,0.04540800000540912,0.07693737500812858,"{""large"":0,""medium"":0,""small"":0}","{""large"":332,""medium"":0,""small"":4}",324,608,900,900,{},"{""shaw_related"":{""accepted"":20,""best"":0,""calls"":87,""candidate_proposals"":107,""distance_improvements"":0,""exact_route_evaluations"":7,""failure_reasons"":{""candidate_rejected"":67,""constraint_removal_no_change"":49,""constraint_removal_no_existing_route_insertion"":18},""feasible_candidates"":20,""feasible_repairs"":20,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":67,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":1,""best"":1,""calls"":78,""candidate_proposals"":79,""distance_improvements"":1,""exact_route_evaluations"":3,""failure_reasons"":{""candidate_rejected"":77,""constraint_removal_no_existing_route_insertion"":77},""feasible_candidates"":1,""feasible_repairs"":1,""improved"":1,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":77,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":14,""best"":0,""calls"":87,""candidate_proposals"":101,""distance_improvements"":0,""exact_route_evaluations"":6,""failure_reasons"":{""candidate_rejected"":73,""constraint_removal_no_change"":73},""feasible_candidates"":14,""feasible_repairs"":14,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":73,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":0,""best"":0,""calls"":84,""candidate_proposals"":84,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":84,""constraint_removal_no_change"":1,""constraint_removal_no_existing_route_insertion"":83},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":84,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
c104C10,2014,"[2,273.931237129,589.151039592,3]","[2,273.931237129,589.151039592,3]",True,True,1000,1000,1000,1000,2050,2624,34811,2050,2050,42596,2624,2624,1.1034339999896474,1.4445239579945337,"{""large"":0,""medium"":0,""small"":0}","{""large"":326,""medium"":2,""small"":8}",575,1054,794,749,{},"{""shaw_related"":{""accepted"":3,""best"":0,""calls"":85,""candidate_proposals"":88,""distance_improvements"":0,""exact_route_evaluations"":251,""failure_reasons"":{""candidate_rejected"":82,""constraint_removal_no_change"":23,""evaluation_budget_exhausted"":59},""feasible_candidates"":3,""feasible_repairs"":3,""improved"":0,""new_routes_created"":0,""prefilter_passed"":170,""prefilter_rejected"":0,""rejected"":82,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":0,""best"":0,""calls"":97,""candidate_proposals"":97,""distance_improvements"":0,""exact_route_evaluations"":65,""failure_reasons"":{""candidate_rejected"":97,""constraint_removal_no_change"":82,""evaluation_budget_exhausted"":15},""feasible_candidates"":0,""feasible_repairs"":0,""improved"":0,""new_routes_created"":0,""prefilter_passed"":194,""prefilter_rejected"":0,""rejected"":97,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":2,""best"":1,""calls"":76,""candidate_proposals"":78,""distance_improvements"":2,""exact_route_evaluations"":65,""failure_reasons"":{""candidate_rejected"":74,""constraint_removal_no_change"":60,""evaluation_budget_exhausted"":14},""feasible_candidates"":2,""feasible_repairs"":2,""improved"":2,""new_routes_created"":0,""prefilter_passed"":152,""prefilter_rejected"":0,""rejected"":74,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":1,""best"":1,""calls"":78,""candidate_proposals"":79,""distance_improvements"":1,""exact_route_evaluations"":41,""failure_reasons"":{""candidate_rejected"":77,""constraint_removal_no_change"":69,""evaluation_budget_exhausted"":8},""feasible_candidates"":1,""feasible_repairs"":1,""improved"":1,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":77,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
