gate,status,observed,expected,evidence
run_coverage,pass,"36 rows, 36 unique keys","exactly 36 unique (instance, seed) keys",stage02 per-run results
validator_feasibility,pass,36/36,36/36,per-run validator result
stage01_best_objective,fail,c101C5:better; r105C5:equal; rc105C5:equal; c104C10:equal; r103C10:better; rc102C10:equal; c106C15:equal; r105C15:equal; rc103C15:equal; c101_21:worse; r101_21:better; rc101_21:better,every instance is better or equal,stage01 formal objective comparison
r101_21_mean_vehicle_reduction,pass,21.0,23.333333333333332,Stage 0 vehicle-count mean
r101_21_distance_guard,pass,1798.1108076167009,2189.5004302511775,Stage 1 mean distance × 1.10
r101_21_vehicle_seed_stability,pass,0.816496580927726,2.6246692913372702,population standard deviation over three seeds
rc101_21_mean_vehicle_reduction,pass,22.0,23.666666666666668,Stage 0 vehicle-count mean
rc101_21_distance_guard,pass,2112.925424394104,2386.783450719752,Stage 1 mean distance × 1.10
rc101_21_vehicle_seed_stability,pass,0.0,0.4714045207910317,population standard deviation over three seeds
route_elimination_multiple_instances,pass,"['c106C15', 'r101_21', 'r103C10', 'r105C15', 'rc101_21', 'rc103C15', 'rc105C5']",at least 2 distinct instances,route elimination event log
route_merge_vehicle_reduction,pass,16,at least 1 candidate,route merge event log
stage00_immutable,pass,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,Stage 0 manifest SHA-256
