instance,baseline,candidate,metric,statistic,baseline_value,candidate_value,absolute_delta,relative_delta,classification,gate_status,reason
c101_21,stage02_1,stage02_route_quality,objective,best,"[12,1055.920259047,1386.415951629,8]","[12,1056.725378548,1379.753760032,8]",,,worse,fail,vehicle-first objective comparison
c101_21,stage02_1,stage02_route_quality,vehicle_count,mean,12.0,12.0,0.0,0.0,unchanged,pass,descriptive comparison
c101_21,stage02_1,stage02_route_quality,total_distance,mean,1062.8618914331591,1065.3898657238954,2.5279742907362106,0.0023784598084775617,regression,pass,descriptive comparison
c101_21,stage02_1,stage02_route_quality,total_charging_time,mean,1332.7144308589852,1329.3986410774476,-3.31578978153766,-0.002487997206873874,improvement,pass,descriptive comparison
c101_21,stage02_1,stage02_route_quality,charging_count,mean,7.666666666666667,7.666666666666667,0.0,0.0,unchanged,pass,descriptive comparison
r101_21,stage02_1,stage02_route_quality,objective,best,"[20,1799.548688513,463.254013128,27]","[20,1799.548688513,463.254013128,27]",,,equal,pass,vehicle-first objective comparison
r101_21,stage02_1,stage02_route_quality,vehicle_count,mean,20.666666666666668,20.333333333333332,-0.3333333333333357,-0.01612903225806463,improvement,pass,descriptive comparison
r101_21,stage02_1,stage02_route_quality,total_distance,mean,1812.683201209865,1797.5812694844965,-15.101931725368559,-0.008331258167609686,improvement,pass,descriptive comparison
r101_21,stage02_1,stage02_route_quality,total_charging_time,mean,449.3485036151181,444.56773409001016,-4.780769525107928,-0.010639335586177485,improvement,pass,descriptive comparison
r101_21,stage02_1,stage02_route_quality,charging_count,mean,26.333333333333332,26.0,-0.33333333333333215,-0.012658227848101222,improvement,pass,descriptive comparison
rc101_21,stage02_1,stage02_route_quality,objective,best,"[19,1925.362709303,325.819224421,19]","[19,2009.054600594,372.43380345,23]",,,worse,fail,vehicle-first objective comparison
rc101_21,stage02_1,stage02_route_quality,vehicle_count,mean,19.333333333333332,19.333333333333332,0.0,0.0,unchanged,pass,descriptive comparison
rc101_21,stage02_1,stage02_route_quality,total_distance,mean,1968.1000951143212,2026.8100990976764,58.710003983355136,0.029830801862719712,regression,pass,descriptive comparison
rc101_21,stage02_1,stage02_route_quality,total_charging_time,mean,346.91528995511345,371.6315888836078,24.716298928494325,0.07124591980852821,regression,pass,descriptive comparison
rc101_21,stage02_1,stage02_route_quality,charging_count,mean,20.0,21.666666666666668,1.6666666666666679,0.0833333333333334,regression,pass,descriptive comparison
