instance,operator,runs,calls,feasible_repairs,accepted,rejected,improved,best,vehicle_reductions,distance_improvements,prefilter_passed,prefilter_rejected,new_routes_created,exact_route_evaluations,failure_reasons_json
c101C5,ejection_chain,3,425,425,219,206,95,0,0,95,4228,36997,0,7606,"{""time_window_prefilter"":36997}"
c101C5,relocate,3,317,317,150,167,55,3,0,55,634,5072,0,634,"{""time_window_prefilter"":5072}"
c101C5,route_elimination,3,65,0,0,65,0,0,0,0,130,0,0,3,"{""no_existing_route_insertion"":130}"
c101C5,route_merge,3,54,0,0,54,0,0,0,0,0,378,0,0,"{""time_window_prefilter"":378}"
c101C5,route_segment_destroy,3,756,756,756,0,68,0,0,68,756,0,0,6,{}
c101C5,standard,3,287,287,108,179,0,0,0,64,0,0,0,0,{}
c101C5,swap,3,194,194,58,136,23,0,0,23,582,776,0,776,"{""time_window_prefilter"":776}"
c101C5,two_opt_star,3,253,253,71,182,27,0,0,27,759,0,0,1012,{}
c101C5,vehicle_count_aware_repair,3,649,649,649,0,0,0,0,0,0,0,0,0,{}
c101_21,ejection_chain,3,16,6,5,11,5,3,0,5,30,1512,0,48,"{""capacity_prefilter"":278,""no feasible station-insertion pattern for fixed customer order"":17,""time_window_prefilter"":1234}"
c101_21,relocate,3,16,7,4,12,4,4,0,4,85,2994,0,156,"{""capacity_prefilter"":935,""no feasible station-insertion pattern for fixed customer order"":58,""relocate_candidate_budget"":16,""time_window_prefilter"":2059}"
c101_21,route_elimination,3,18,6,6,12,6,6,6,6,102,0,0,688,"{""no_existing_route_insertion"":96}"
c101_21,route_merge,3,7,0,0,7,0,0,0,0,12,8984,0,12,"{""capacity_prefilter"":8337,""no feasible station-insertion pattern for fixed customer order"":12,""time_window_prefilter"":647}"
c101_21,route_segment_destroy,3,10,10,10,0,0,0,0,0,10,0,0,18,{}
c101_21,standard,3,13,10,10,0,6,5,0,6,0,0,0,0,{}
c101_21,swap,3,12,11,10,2,5,3,0,5,44,2271,0,66,"{""capacity_prefilter"":110,""no feasible station-insertion pattern for fixed customer order"":21,""swap_candidate_budget"":12,""time_window_prefilter"":2161}"
c101_21,two_opt_star,3,5,5,3,2,0,0,0,0,64,581,0,118,"{""capacity_prefilter"":182,""no feasible station-insertion pattern for fixed customer order"":44,""time_window_prefilter"":399,""two_opt_star_candidate_budget"":5}"
c101_21,vehicle_count_aware_repair,3,17,17,17,0,5,5,0,5,0,0,0,89,{}
c104C10,ejection_chain,3,397,397,218,179,67,3,0,67,7215,1779,0,9528,"{""ejection_chain_exact_evaluation_budget"":526,""no feasible station-insertion pattern for fixed customer order"":4184,""time_window_prefilter"":1779}"
c104C10,relocate,3,372,371,155,217,78,6,0,78,9671,3475,0,17856,"{""no feasible station-insertion pattern for fixed customer order"":6652,""relocate_exact_evaluation_budget"":372,""time_window_prefilter"":3475}"
c104C10,route_elimination,3,64,0,0,64,0,0,0,0,128,0,0,1686,"{""no_existing_route_insertion"":128}"
c104C10,route_merge,3,67,0,0,67,0,0,0,0,176,628,0,176,"{""no feasible station-insertion pattern for fixed customer order"":176,""time_window_prefilter"":628}"
c104C10,route_segment_destroy,3,662,662,619,43,31,3,0,31,662,0,0,666,{}
c104C10,standard,3,692,692,663,29,88,6,0,88,0,0,0,0,{}
c104C10,swap,3,158,133,57,101,25,3,0,25,3154,694,0,6042,"{""no feasible station-insertion pattern for fixed customer order"":1832,""time_window_prefilter"":694}"
c104C10,two_opt_star,3,164,164,50,114,23,0,0,23,2065,537,0,3802,"{""no feasible station-insertion pattern for fixed customer order"":1105,""time_window_prefilter"":537}"
c104C10,vehicle_count_aware_repair,3,424,424,275,149,42,4,0,42,0,0,0,1262,{}
c106C15,ejection_chain,3,274,274,83,191,33,1,0,33,4740,20142,0,6403,"{""ejection_chain_exact_evaluation_budget"":1062,""no feasible station-insertion pattern for fixed customer order"":2401,""time_window_prefilter"":20142}"
c106C15,relocate,3,292,292,90,202,41,5,0,41,7592,26405,0,14016,"{""no feasible station-insertion pattern for fixed customer order"":3432,""relocate_exact_evaluation_budget"":292,""time_window_prefilter"":26405}"
