instance,baseline,candidate,metric,statistic,baseline_value,candidate_value,absolute_delta,relative_delta,classification,gate_status,reason
c101C5,stage02_1,stage02_route_quality,objective,best,"[2,257.747451864,472.556700052,3]","[2,257.747451864,472.556700052,3]",,,equal,pass,vehicle-first objective comparison
c101C5,stage02_1,stage02_route_quality,vehicle_count,mean,2.0,2.0,0.0,0.0,unchanged,pass,descriptive comparison
c101C5,stage02_1,stage02_route_quality,total_distance,mean,257.7474518641999,257.7474518641999,0.0,0.0,unchanged,pass,descriptive comparison
c101C5,stage02_1,stage02_route_quality,total_charging_time,mean,472.55670005197175,472.55670005197175,0.0,0.0,unchanged,pass,descriptive comparison
c101C5,stage02_1,stage02_route_quality,charging_count,mean,3.0,3.0,0.0,0.0,unchanged,pass,descriptive comparison
c101_21,stage02_1,stage02_route_quality,objective,best,"[12,1055.920259047,1386.415951629,8]","[12,1056.725378548,1379.753760032,8]",,,worse,fail,vehicle-first objective comparison
c101_21,stage02_1,stage02_route_quality,vehicle_count,mean,12.0,12.0,0.0,0.0,unchanged,pass,descriptive comparison
c101_21,stage02_1,stage02_route_quality,total_distance,mean,1062.8618914331591,1065.3898657238954,2.5279742907362106,0.0023784598084775617,regression,pass,descriptive comparison
c101_21,stage02_1,stage02_route_quality,total_charging_time,mean,1332.7144308589852,1329.3986410774476,-3.31578978153766,-0.002487997206873874,improvement,pass,descriptive comparison
c101_21,stage02_1,stage02_route_quality,charging_count,mean,7.666666666666667,7.666666666666667,0.0,0.0,unchanged,pass,descriptive comparison
c104C10,stage02_1,stage02_route_quality,objective,best,"[2,273.931237129,589.151039592,3]","[2,273.931237129,589.151039592,3]",,,equal,pass,vehicle-first objective comparison
c104C10,stage02_1,stage02_route_quality,vehicle_count,mean,2.0,2.0,0.0,0.0,unchanged,pass,descriptive comparison
c104C10,stage02_1,stage02_route_quality,total_distance,mean,277.93249174868214,275.15312646067366,-2.779365288008478,-0.01000014525297637,improvement,pass,descriptive comparison
c104C10,stage02_1,stage02_route_quality,total_charging_time,mean,613.2962708750043,579.1882900142712,-34.107980860733164,-0.05561419901032579,improvement,pass,descriptive comparison
c104C10,stage02_1,stage02_route_quality,charging_count,mean,3.0,3.0,0.0,0.0,unchanged,pass,descriptive comparison
c106C15,stage02_1,stage02_route_quality,objective,best,"[3,275.133168873,437.989595186,2]","[3,275.133168873,437.989595186,2]",,,equal,pass,vehicle-first objective comparison
c106C15,stage02_1,stage02_route_quality,vehicle_count,mean,3.0,3.0,0.0,0.0,unchanged,pass,descriptive comparison
c106C15,stage02_1,stage02_route_quality,total_distance,mean,275.1331688731623,282.8197955011379,7.686626627975613,0.02793784064443057,regression,pass,descriptive comparison
c106C15,stage02_1,stage02_route_quality,total_charging_time,mean,437.98959518620296,447.60227310060736,9.6126779144044,0.02194727459294496,regression,pass,descriptive comparison
c106C15,stage02_1,stage02_route_quality,charging_count,mean,2.0,2.0,0.0,0.0,unchanged,pass,descriptive comparison
r101_21,stage02_1,stage02_route_quality,objective,best,"[20,1799.548688513,463.254013128,27]","[20,1799.548688513,463.254013128,27]",,,equal,pass,vehicle-first objective comparison
r101_21,stage02_1,stage02_route_quality,vehicle_count,mean,20.666666666666668,20.333333333333332,-0.3333333333333357,-0.01612903225806463,improvement,pass,descriptive comparison
r101_21,stage02_1,stage02_route_quality,total_distance,mean,1812.683201209865,1797.5812694844965,-15.101931725368559,-0.008331258167609686,improvement,pass,descriptive comparison
r101_21,stage02_1,stage02_route_quality,total_charging_time,mean,449.3485036151181,444.56773409001016,-4.780769525107928,-0.010639335586177485,improvement,pass,descriptive comparison
r101_21,stage02_1,stage02_route_quality,charging_count,mean,26.333333333333332,26.0,-0.33333333333333215,-0.012658227848101222,improvement,pass,descriptive comparison
r103C10,stage02_1,stage02_route_quality,objective,best,"[2,207.051154172,49.247992351,3]","[2,207.051154172,49.247992351,3]",,,equal,pass,vehicle-first objective comparison
r103C10,stage02_1,stage02_route_quality,vehicle_count,mean,2.0,2.0,0.0,0.0,unchanged,pass,descriptive comparison
r103C10,stage02_1,stage02_route_quality,total_distance,mean,207.85586985323093,207.0511541721048,-0.8047156811261402,-0.0038715080872835485,improvement,pass,descriptive comparison
r103C10,stage02_1,stage02_route_quality,total_charging_time,mean,48.75151234354644,49.24799235093133,0.4964800073848892,0.01018388935067799,regression,pass,descriptive comparison
r103C10,stage02_1,stage02_route_quality,charging_count,mean,2.6666666666666665,3.0,0.3333333333333335,0.12500000000000006,regression,pass,descriptive comparison
r105C15,stage02_1,stage02_route_quality,objective,best,"[4,336.1536021,80.684092212,4]","[4,336.1536021,80.684092212,4]",,,equal,pass,vehicle-first objective comparison
r105C15,stage02_1,stage02_route_quality,vehicle_count,mean,4.0,4.0,0.0,0.0,unchanged,pass,descriptive comparison
r105C15,stage02_1,stage02_route_quality,total_distance,mean,343.7192122947591,336.1536020996758,-7.565610195083252,-0.02201101924030742,improvement,pass,descriptive comparison
r105C15,stage02_1,stage02_route_quality,total_charging_time,mean,84.77248102152096,80.68409221221032,-4.0883888093106435,-0.048227782884787046,improvement,pass,descriptive comparison
r105C15,stage02_1,stage02_route_quality,charging_count,mean,4.0,4.0,0.0,0.0,unchanged,pass,descriptive comparison
