instance,operator,runs,calls,feasible_repairs,accepted,rejected,improved,best,vehicle_reductions,distance_improvements,prefilter_passed,prefilter_rejected,new_routes_created,exact_route_evaluations,failure_reasons_json
c101C5,route_elimination,3,122,0,0,122,0,0,0,0,244,0,0,3,"{""no_existing_route_insertion"":244}"
c101C5,route_merge,3,105,0,0,105,0,0,0,0,0,735,0,0,"{""time_window_prefilter"":735}"
c101C5,standard,3,660,660,214,446,0,0,0,170,0,0,0,0,{}
c101C5,vehicle_count_aware_repair,3,2113,2113,2113,0,3,3,0,3,0,0,0,0,{}
c101_21,route_elimination,3,22,5,5,17,5,5,5,5,141,0,0,733,"{""no_existing_route_insertion"":136}"
c101_21,route_merge,3,12,1,1,11,1,1,1,1,21,15384,0,24,"{""capacity_prefilter"":14399,""no feasible station-insertion pattern for fixed customer order"":18,""time_window_prefilter"":985}"
c101_21,standard,3,21,18,18,0,10,10,0,10,0,0,0,0,{}
c101_21,vehicle_count_aware_repair,3,20,20,18,2,3,3,0,3,0,0,0,87,{}
c104C10,route_elimination,3,116,0,0,116,0,0,0,0,232,0,0,1095,"{""no_existing_route_insertion"":232}"
c104C10,route_merge,3,120,0,0,120,0,0,0,0,280,1160,0,280,"{""no feasible station-insertion pattern for fixed customer order"":280,""time_window_prefilter"":1160}"
c104C10,standard,3,1624,1624,1553,71,55,14,0,55,0,0,0,0,{}
c104C10,vehicle_count_aware_repair,3,1140,1140,848,292,16,5,0,16,0,0,0,1499,{}
c106C15,route_elimination,3,171,3,3,168,3,3,3,0,507,0,0,928,"{""no_existing_route_insertion"":504}"
c106C15,route_merge,3,131,0,0,131,0,0,0,0,156,4560,0,156,"{""no feasible station-insertion pattern for fixed customer order"":156,""time_window_prefilter"":4560}"
c106C15,standard,3,2316,2316,2163,153,54,13,0,70,0,0,0,0,{}
c106C15,vehicle_count_aware_repair,3,382,382,119,263,6,2,0,6,0,0,7,752,{}
r101_21,route_elimination,3,34,10,10,24,10,10,10,10,205,0,0,239,"{""no_existing_route_insertion"":195}"
r101_21,route_merge,3,30,4,4,26,4,4,4,4,122,73810,0,236,"{""capacity_prefilter"":5331,""no feasible station-insertion pattern for fixed customer order"":38,""time_window_prefilter"":68479}"
r101_21,standard,3,30,27,17,10,4,3,0,7,0,0,0,0,{}
r101_21,vehicle_count_aware_repair,3,41,41,40,1,6,5,5,6,0,0,0,131,{}
r103C10,route_elimination,3,111,3,3,108,3,3,3,0,222,0,0,282,"{""no_existing_route_insertion"":219}"
r103C10,route_merge,3,102,0,0,102,0,0,0,0,0,1224,0,0,"{""time_window_prefilter"":1224}"
r103C10,standard,3,1321,1321,810,511,96,7,0,137,0,0,0,0,{}
r103C10,vehicle_count_aware_repair,3,1466,1466,1256,210,33,4,0,33,0,0,5,770,{}
r105C15,route_elimination,3,115,3,3,112,3,3,3,3,460,0,0,203,"{""no_existing_route_insertion"":457}"
r105C15,route_merge,3,86,0,0,86,0,0,0,0,0,4902,0,0,"{""time_window_prefilter"":4902}"
r105C15,standard,3,1517,1517,1330,187,106,11,0,148,0,0,0,0,{}
r105C15,vehicle_count_aware_repair,3,1282,1282,1088,194,15,4,0,15,0,0,158,403,{}
r105C5,route_elimination,3,96,0,0,96,0,0,0,0,192,0,0,13,"{""no_existing_route_insertion"":192}"
r105C5,route_merge,3,102,0,0,102,0,0,0,0,0,714,0,0,"{""time_window_prefilter"":714}"
r105C5,standard,3,1460,1460,1460,0,11,0,0,11,0,0,0,0,{}
r105C5,vehicle_count_aware_repair,3,1342,1342,1187,155,0,0,0,0,0,0,0,0,{}
rc101_21,route_elimination,3,26,14,14,12,14,14,14,11,146,0,0,777,"{""no_existing_route_insertion"":132}"
rc101_21,route_merge,3,16,6,6,10,6,6,6,6,266,39816,0,478,"{""capacity_prefilter"":8384,""no feasible station-insertion pattern for fixed customer order"":200,""time_window_prefilter"":31432}"
rc101_21,standard,3,19,16,16,0,11,9,0,11,0,0,0,0,{}
rc101_21,vehicle_count_aware_repair,3,10,10,7,3,1,1,0,1,0,0,0,92,{}
rc102C10,route_elimination,3,104,0,0,104,0,0,0,0,416,0,0,66,"{""no_existing_route_insertion"":416}"
rc102C10,route_merge,3,99,0,0,99,0,0,0,0,0,4158,0,0,"{""time_window_prefilter"":4158}"
rc102C10,standard,3,1530,1530,1415,115,56,0,0,57,0,0,0,0,{}
rc102C10,vehicle_count_aware_repair,3,1267,1267,944,323,11,0,0,10,0,0,562,106,{}
rc103C15,route_elimination,3,104,3,3,101,3,3,3,3,416,0,0,219,"{""no_existing_route_insertion"":413}"
rc103C15,route_merge,3,96,0,0,96,0,0,0,0,0,5472,0,0,"{""time_window_prefilter"":5472}"
rc103C15,standard,3,1330,1330,1174,156,68,0,0,63,0,0,0,0,{}
rc103C15,vehicle_count_aware_repair,3,1470,1470,1439,31,78,13,0,66,0,0,16,1068,{}
rc105C5,route_elimination,3,114,3,3,111,3,3,3,3,231,0,0,18,"{""no_existing_route_insertion"":228}"
rc105C5,route_merge,3,91,0,0,91,0,0,0,0,0,637,0,0,"{""time_window_prefilter"":637}"
rc105C5,standard,3,1385,1385,1326,59,0,0,0,0,0,0,0,0,{}
rc105C5,vehicle_count_aware_repair,3,1410,1410,1410,0,0,0,0,0,0,0,0,0,{}
