run_label,instance,seed,started_calls,completed_calls,exact_calls,cache_hits,precomputed_routes,deadline_events,screening_calls,screening_passes,screening_rejections,screening_cache_hits,screening_exact_call_blocked,screening_reason_counts,cache_incremental_counts,reconciliation_status,reconciliation_checks
stage03.2_cache_incremental_attempt02,c101C5,2014,17,17,17,4361,0,0,13330,5741,61,7528,7589,"{""forward_time_window_prefilter"": 7589}","{""cache_evictions"": 0, ""cache_hits"": 4361, ""cache_lookups"": 4378, ""cache_misses"": 17, ""cache_oversize_not_cached"": 0, ""cache_stores"": 17, ""incremental_fallbacks"": 0, ""incremental_propagations"": 17}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,c101C5,2015,17,17,17,4271,0,0,13205,5691,61,7453,7514,"{""forward_time_window_prefilter"": 7514}","{""cache_evictions"": 0, ""cache_hits"": 4271, ""cache_lookups"": 4288, ""cache_misses"": 17, ""cache_oversize_not_cached"": 0, ""cache_stores"": 17, ""incremental_fallbacks"": 0, ""incremental_propagations"": 17}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,c101C5,2016,17,17,17,4352,0,0,13333,5794,61,7478,7539,"{""forward_time_window_prefilter"": 7539}","{""cache_evictions"": 0, ""cache_hits"": 4352, ""cache_lookups"": 4369, ""cache_misses"": 17, ""cache_oversize_not_cached"": 0, ""cache_stores"": 17, ""incremental_fallbacks"": 0, ""incremental_propagations"": 17}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,c101_21,2014,1199,1199,1199,25503,12,4,573915,60557,30541,482817,513358,"{""capacity_prefilter"": 31781, ""forward_time_window_prefilter"": 481234, ""single_segment_energy_prefilter"": 343}","{""cache_evictions"": 0, ""cache_hits"": 25503, ""cache_lookups"": 26702, ""cache_misses"": 1199, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1199, ""incremental_fallbacks"": 0, ""incremental_propagations"": 40}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,c101_21,2015,519,519,519,4511,12,7,180259,28959,18236,133064,151300,"{""capacity_prefilter"": 5185, ""forward_time_window_prefilter"": 146015, ""single_segment_energy_prefilter"": 100}","{""cache_evictions"": 0, ""cache_hits"": 4511, ""cache_lookups"": 5030, ""cache_misses"": 519, ""cache_oversize_not_cached"": 0, ""cache_stores"": 519, ""incremental_fallbacks"": 0, ""incremental_propagations"": 40}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,c101_21,2016,1178,1178,1178,21069,12,6,518001,54761,30967,432273,463240,"{""capacity_prefilter"": 25379, ""forward_time_window_prefilter"": 437538, ""single_segment_energy_prefilter"": 323}","{""cache_evictions"": 0, ""cache_hits"": 21069, ""cache_lookups"": 22247, ""cache_misses"": 1178, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1178, ""incremental_fallbacks"": 0, ""incremental_propagations"": 40}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,c104C10,2014,2181,2181,2181,37716,2,0,67742,56658,824,10260,11084,"{""forward_time_window_prefilter"": 9287, ""single_segment_energy_prefilter"": 1797}","{""cache_evictions"": 0, ""cache_hits"": 37716, ""cache_lookups"": 39897, ""cache_misses"": 2181, ""cache_oversize_not_cached"": 0, ""cache_stores"": 2181, ""incremental_fallbacks"": 0, ""incremental_propagations"": 35}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,c104C10,2015,1597,1597,1597,38353,7,0,70129,60818,478,8833,9311,"{""forward_time_window_prefilter"": 7540, ""single_segment_energy_prefilter"": 1771}","{""cache_evictions"": 0, ""cache_hits"": 38353, ""cache_lookups"": 39950, ""cache_misses"": 1597, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1597, ""incremental_fallbacks"": 0, ""incremental_propagations"": 35}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,c104C10,2016,1551,1551,1551,38279,2,0,70621,61072,487,9062,9549,"{""forward_time_window_prefilter"": 7742, ""single_segment_energy_prefilter"": 1807}","{""cache_evictions"": 0, ""cache_hits"": 38279, ""cache_lookups"": 39830, ""cache_misses"": 1551, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1551, ""incremental_fallbacks"": 0, ""incremental_propagations"": 35}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,c106C15,2014,1475,1475,1475,57561,25,0,185212,76499,5446,103267,108713,"{""forward_time_window_prefilter"": 108713}","{""cache_evictions"": 0, ""cache_hits"": 57561, ""cache_lookups"": 59036, ""cache_misses"": 1475, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1475, ""incremental_fallbacks"": 0, ""incremental_propagations"": 44}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
