schema_version,run_label,experiment_id,scope,instance,seed,algorithm,operator_profile,repository_revision,repository_dirty,algorithm_source_sha256,configuration_sha256,instance_sha256,stage00_manifest_sha256,environment_sha256,reference_vrp_evrp_hub_revision,reference_vrp_evrp_hub_dirty,reference_py_ga_vrptw_revision,reference_py_ga_vrptw_dirty,start_utc,end_utc,time_limit_seconds,max_iterations,threads,objective_schema,objective_key,vehicle_count,total_distance,total_charging_time,charging_count,runtime_seconds,first_feasible_time,best_time,iterations,effective_iterations,accepted_moves,improving_moves,rejected_moves,charging_subproblem_calls,trace_started_calls,trace_completed_calls,trace_exact_calls,trace_cache_hits,trace_precomputed_routes,trace_route_evaluations,trace_deadline_events,trace_screening_calls,trace_screening_passes,trace_screening_rejections,trace_screening_cache_hits,trace_screening_exact_call_blocked,trace_screening_reason_counts,trace_cache_incremental_counts,trace_incremental_propagations,trace_incremental_fallbacks,trace_reconciliation_status,peak_tracemalloc_bytes,peak_rss_bytes,status,feasible,failure_reason,failure_path,raw_path,solution_path,trace_path,event_path,environment_path
1,stage03.2_cache_incremental_attempt03,c101C5-alns_stage02_constraint_guided-2014,formal,c101C5,2014,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,b6ec757c5b8a3290a274d28c5be11923beb06edb,False,84554a98c888c710ce8a102eae952f147e4e9fe1a5340e61cd0c7f2ca6da9071,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,8612d6d9aad051776097a5e50c7408f39352b8107b0639d58e5eda713f9ff876,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,241f9ed524b36f09638237ea840c936583f0a9dcefe037bcc500a05b68ecebd1,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-14T01:31:59.473906+00:00,2026-07-14T01:31:59.682883+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[2, 257.747451864, 472.556700052, 3]",2,257.7474518641999,472.55670005197175,3,0.20877175001078285,0.002769999991869554,0.004280666005797684,1000,1000,755,1,245,17,17,17,17,2696,1665,4378,0,11665,4076,61,7528,7589,"{""forward_time_window_prefilter"": 7589}","{""cache_evictions"": 0, ""cache_hits"": 2696, ""cache_lookups"": 2713, ""cache_misses"": 17, ""cache_oversize_not_cached"": 0, ""cache_stores"": 17, ""incremental_fallbacks"": 0, ""incremental_propagations"": 17}",17,0,pass,,4481695744,feasible,True,,,raw/c101C5-alns_stage02_constraint_guided-2014.json,solutions/c101C5-alns_stage02_constraint_guided-2014.json,traces/c101C5-alns_stage02_constraint_guided-2014.json,events/c101C5-alns_stage02_constraint_guided-2014.jsonl,environments/c101C5-alns_stage02_constraint_guided-2014.json
1,stage03.2_cache_incremental_attempt03,c101C5-alns_stage02_constraint_guided-2015,formal,c101C5,2015,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,b6ec757c5b8a3290a274d28c5be11923beb06edb,False,84554a98c888c710ce8a102eae952f147e4e9fe1a5340e61cd0c7f2ca6da9071,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,8612d6d9aad051776097a5e50c7408f39352b8107b0639d58e5eda713f9ff876,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,ed9f4ce61e7957c17f0a4ef4f8b37c03b452feeb9fcb597c32eaca7fa6015f76,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-14T01:32:00.107222+00:00,2026-07-14T01:32:00.314211+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[2, 257.747451864, 472.556700052, 3]",2,257.7474518641999,472.55670005197175,3,0.20446720899781212,0.0022937920002732426,0.0036972090019844472,1000,1000,779,1,221,17,17,17,17,2577,1694,4288,0,11511,3997,61,7453,7514,"{""forward_time_window_prefilter"": 7514}","{""cache_evictions"": 0, ""cache_hits"": 2577, ""cache_lookups"": 2594, ""cache_misses"": 17, ""cache_oversize_not_cached"": 0, ""cache_stores"": 17, ""incremental_fallbacks"": 0, ""incremental_propagations"": 17}",17,0,pass,,4481695744,feasible,True,,,raw/c101C5-alns_stage02_constraint_guided-2015.json,solutions/c101C5-alns_stage02_constraint_guided-2015.json,traces/c101C5-alns_stage02_constraint_guided-2015.json,events/c101C5-alns_stage02_constraint_guided-2015.jsonl,environments/c101C5-alns_stage02_constraint_guided-2015.json
1,stage03.2_cache_incremental_attempt03,c101C5-alns_stage02_constraint_guided-2016,formal,c101C5,2016,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,b6ec757c5b8a3290a274d28c5be11923beb06edb,False,84554a98c888c710ce8a102eae952f147e4e9fe1a5340e61cd0c7f2ca6da9071,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,8612d6d9aad051776097a5e50c7408f39352b8107b0639d58e5eda713f9ff876,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,69ba82e99b8f73b3f128839787f17a15da606c495981a3b3b96aa616ba3eeeb3,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-14T01:32:00.692548+00:00,2026-07-14T01:32:00.909712+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[2, 257.747451864, 472.556700052, 3]",2,257.7474518641999,472.55670005197175,3,0.21445525001036003,0.002273042016895488,0.003697709005791694,1000,1000,763,1,237,17,17,17,17,2674,1678,4369,0,11655,4116,61,7478,7539,"{""forward_time_window_prefilter"": 7539}","{""cache_evictions"": 0, ""cache_hits"": 2674, ""cache_lookups"": 2691, ""cache_misses"": 17, ""cache_oversize_not_cached"": 0, ""cache_stores"": 17, ""incremental_fallbacks"": 0, ""incremental_propagations"": 17}",17,0,pass,,4481695744,feasible,True,,,raw/c101C5-alns_stage02_constraint_guided-2016.json,solutions/c101C5-alns_stage02_constraint_guided-2016.json,traces/c101C5-alns_stage02_constraint_guided-2016.json,events/c101C5-alns_stage02_constraint_guided-2016.jsonl,environments/c101C5-alns_stage02_constraint_guided-2016.json
1,stage03.2_cache_incremental_attempt03,c101_21-alns_stage02_constraint_guided-2014,formal,c101_21,2014,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,b6ec757c5b8a3290a274d28c5be11923beb06edb,False,84554a98c888c710ce8a102eae952f147e4e9fe1a5340e61cd0c7f2ca6da9071,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,c5cda6ca63a7d518902cf4b02d98b4aa0f373aaa0658d5c666d1c46d38871cb9,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,c461fad4e25b451de8a34035b49f954a30e63efaaaa044d311abde7e6f9eb383,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-14T01:34:03.198690+00:00,2026-07-14T01:34:33.265682+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[12, 1055.920259047, 1386.415951629, 8]",12,1055.9202590469108,1386.4159516285367,8,30.004764917015564,0.5376945419993717,3.9382310420041904,229,229,180,13,49,1237,1237,1237,1237,23483,2236,26956,7,568329,58789,30760,478780,509540,"{""capacity_prefilter"": 31935, ""forward_time_window_prefilter"": 477605}","{""cache_evictions"": 0, ""cache_hits"": 23483, ""cache_lookups"": 24720, ""cache_misses"": 1237, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1237, ""incremental_fallbacks"": 0, ""incremental_propagations"": 40}",40,0,pass,,4566974464,feasible,True,,failures/c101_21-alns_stage02_constraint_guided-2014.json,raw/c101_21-alns_stage02_constraint_guided-2014.json,solutions/c101_21-alns_stage02_constraint_guided-2014.json,traces/c101_21-alns_stage02_constraint_guided-2014.json,events/c101_21-alns_stage02_constraint_guided-2014.jsonl,environments/c101_21-alns_stage02_constraint_guided-2014.json
1,stage03.2_cache_incremental_attempt03,c101_21-alns_stage02_constraint_guided-2015,formal,c101_21,2015,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,b6ec757c5b8a3290a274d28c5be11923beb06edb,False,84554a98c888c710ce8a102eae952f147e4e9fe1a5340e61cd0c7f2ca6da9071,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,c5cda6ca63a7d518902cf4b02d98b4aa0f373aaa0658d5c666d1c46d38871cb9,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,d91bb210ae92c07307c151f968ab012562f8af44f0417149fb4c40895ddfeefb,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-14T01:34:46.118221+00:00,2026-07-14T01:35:16.211211+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[12, 1055.920259047, 1386.415951629, 8]",12,1055.9202590469108,1386.4159516285367,8,30.000373625021894,0.3956661249976605,7.0285041670140345,238,238,198,11,40,1196,1196,1196,1196,25197,2426,28819,3,639585,61743,29742,548100,577842,"{""capacity_prefilter"": 26037, ""forward_time_window_prefilter"": 551805}","{""cache_evictions"": 0, ""cache_hits"": 25197, ""cache_lookups"": 26393, ""cache_misses"": 1196, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1196, ""incremental_fallbacks"": 0, ""incremental_propagations"": 40}",40,0,pass,,4566974464,feasible,True,,failures/c101_21-alns_stage02_constraint_guided-2015.json,raw/c101_21-alns_stage02_constraint_guided-2015.json,solutions/c101_21-alns_stage02_constraint_guided-2015.json,traces/c101_21-alns_stage02_constraint_guided-2015.json,events/c101_21-alns_stage02_constraint_guided-2015.jsonl,environments/c101_21-alns_stage02_constraint_guided-2015.json
1,stage03.2_cache_incremental_attempt03,c101_21-alns_stage02_constraint_guided-2016,formal,c101_21,2016,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,b6ec757c5b8a3290a274d28c5be11923beb06edb,False,84554a98c888c710ce8a102eae952f147e4e9fe1a5340e61cd0c7f2ca6da9071,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,c5cda6ca63a7d518902cf4b02d98b4aa0f373aaa0658d5c666d1c46d38871cb9,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,021218f59dcedb6c74b0df0c7fc82d0bb3f473f6940da09615ac76fb42d16e82,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-14T01:35:30.557269+00:00,2026-07-14T01:36:00.653290+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[12, 1055.920259047, 1386.415951629, 8]",12,1055.9202590469108,1386.4159516285367,8,30.000376583018806,0.3957480000099167,7.860935125005199,214,214,172,10,42,1253,1253,1253,1253,21049,2134,24436,4,540008,56077,31954,451977,483931,"{""capacity_prefilter"": 26266, ""forward_time_window_prefilter"": 457665}","{""cache_evictions"": 0, ""cache_hits"": 21049, ""cache_lookups"": 22302, ""cache_misses"": 1253, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1253, ""incremental_fallbacks"": 0, ""incremental_propagations"": 40}",40,0,pass,,4566974464,feasible,True,,failures/c101_21-alns_stage02_constraint_guided-2016.json,raw/c101_21-alns_stage02_constraint_guided-2016.json,solutions/c101_21-alns_stage02_constraint_guided-2016.json,traces/c101_21-alns_stage02_constraint_guided-2016.json,events/c101_21-alns_stage02_constraint_guided-2016.jsonl,environments/c101_21-alns_stage02_constraint_guided-2016.json
1,stage03.2_cache_incremental_attempt03,c104C10-alns_stage02_constraint_guided-2014,formal,c104C10,2014,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,b6ec757c5b8a3290a274d28c5be11923beb06edb,False,84554a98c888c710ce8a102eae952f147e4e9fe1a5340e61cd0c7f2ca6da9071,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,f7816af706c1cf32dacaee45c710ff93ce53c9b56d17df657044e61e63d2c04b,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,ebb5ed4e2563795a47faad7a7d521ea6fdf6d65634ff3339a481016cf7ff2197,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-14T01:32:05.284161+00:00,2026-07-14T01:32:08.498374+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[2, 273.931237129, 589.151039592, 3]",2,273.9312371287162,589.1510395919971,3,3.2082479170057923,0.030205416987882927,0.588019541988615,1000,1000,749,32,251,2302,2302,2302,2302,37868,1410,41580,0,66967,57743,668,8556,9224,"{""forward_time_window_prefilter"": 9224}","{""cache_evictions"": 0, ""cache_hits"": 37868, ""cache_lookups"": 40170, ""cache_misses"": 2302, ""cache_oversize_not_cached"": 0, ""cache_stores"": 2302, ""incremental_fallbacks"": 0, ""incremental_propagations"": 36}",36,0,pass,,4481695744,feasible,True,,,raw/c104C10-alns_stage02_constraint_guided-2014.json,solutions/c104C10-alns_stage02_constraint_guided-2014.json,traces/c104C10-alns_stage02_constraint_guided-2014.json,events/c104C10-alns_stage02_constraint_guided-2014.jsonl,environments/c104C10-alns_stage02_constraint_guided-2014.json
1,stage03.2_cache_incremental_attempt03,c104C10-alns_stage02_constraint_guided-2015,formal,c104C10,2015,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,b6ec757c5b8a3290a274d28c5be11923beb06edb,False,84554a98c888c710ce8a102eae952f147e4e9fe1a5340e61cd0c7f2ca6da9071,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,f7816af706c1cf32dacaee45c710ff93ce53c9b56d17df657044e61e63d2c04b,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,0e7e4bdcf3a4c50549e4b99466a0e8e762f2b6ab2e604210b5cef08429481831,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-14T01:32:11.620264+00:00,2026-07-14T01:32:14.629133+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[2, 279.933119059, 625.368886517, 3]",2,279.9331190586651,625.368886516508,3,2.982857541006524,0.030574125004932284,0.3682971660164185,1000,1000,818,21,182,1679,1679,1679,1679,38421,1585,41685,0,69538,62015,393,7130,7523,"{""forward_time_window_prefilter"": 7523}","{""cache_evictions"": 0, ""cache_hits"": 38421, ""cache_lookups"": 40100, ""cache_misses"": 1679, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1679, ""incremental_fallbacks"": 0, ""incremental_propagations"": 36}",36,0,pass,,4481695744,feasible,True,,,raw/c104C10-alns_stage02_constraint_guided-2015.json,solutions/c104C10-alns_stage02_constraint_guided-2015.json,traces/c104C10-alns_stage02_constraint_guided-2015.json,events/c104C10-alns_stage02_constraint_guided-2015.jsonl,environments/c104C10-alns_stage02_constraint_guided-2015.json
1,stage03.2_cache_incremental_attempt03,c104C10-alns_stage02_constraint_guided-2016,formal,c104C10,2016,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,b6ec757c5b8a3290a274d28c5be11923beb06edb,False,84554a98c888c710ce8a102eae952f147e4e9fe1a5340e61cd0c7f2ca6da9071,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,f7816af706c1cf32dacaee45c710ff93ce53c9b56d17df657044e61e63d2c04b,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,f88a9707c73b33e3af637442d41fcdfa320bc317d5dee1a2c48161d4afcef3b0,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-14T01:32:17.838769+00:00,2026-07-14T01:32:21.004048+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[2, 279.933119059, 625.368886517, 3]",2,279.9331190586651,625.368886516508,3,3.136759292014176,0.030818500003078952,0.5988155840022955,1000,1000,834,18,166,1695,1695,1695,1695,37985,1633,41313,0,70340,62444,425,7471,7896,"{""forward_time_window_prefilter"": 7896}","{""cache_evictions"": 0, ""cache_hits"": 37985, ""cache_lookups"": 39680, ""cache_misses"": 1695, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1695, ""incremental_fallbacks"": 0, ""incremental_propagations"": 36}",36,0,pass,,4481695744,feasible,True,,,raw/c104C10-alns_stage02_constraint_guided-2016.json,solutions/c104C10-alns_stage02_constraint_guided-2016.json,traces/c104C10-alns_stage02_constraint_guided-2016.json,events/c104C10-alns_stage02_constraint_guided-2016.jsonl,environments/c104C10-alns_stage02_constraint_guided-2016.json
1,stage03.2_cache_incremental_attempt03,c106C15-alns_stage02_constraint_guided-2014,formal,c106C15,2014,ALNS_STAGE02_CONSTRAINT_GUIDED,stage02_constraint_guided,b6ec757c5b8a3290a274d28c5be11923beb06edb,False,84554a98c888c710ce8a102eae952f147e4e9fe1a5340e61cd0c7f2ca6da9071,4da5f1da3791d1a2538874fb51d25bff691c1a4039faef054d655af94410d49f,eba58a458a9fd13ae8fd404df8db1d04e49271326316256ee060468048881a86,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,9b880e5c9b7ff32b7b285260d979d5a8acee33f6becd5cb724d17afe8f8c24a7,e3a890065105f978187e532642c4442522215e02,False,8e005caaaf6471a4505588d88c7f0f5e0d4ebffa,False,2026-07-14T01:32:44.746381+00:00,2026-07-14T01:32:48.625145+00:00,30.0,1000,1,"vehicles,distance,charging_time,charging_count","[3, 275.133168873, 437.989595186, 2]",3,275.1331688731623,437.989595186203,2,3.8592999590036925,0.020862959005171433,0.5396670420013834,1000,1000,795,15,205,1475,1475,1475,1475,55132,2454,59061,0,182783,74070,5446,103267,108713,"{""forward_time_window_prefilter"": 108713}","{""cache_evictions"": 0, ""cache_hits"": 55132, ""cache_lookups"": 56607, ""cache_misses"": 1475, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1475, ""incremental_fallbacks"": 0, ""incremental_propagations"": 44}",44,0,pass,,4481695744,feasible,True,,,raw/c106C15-alns_stage02_constraint_guided-2014.json,solutions/c106C15-alns_stage02_constraint_guided-2014.json,traces/c106C15-alns_stage02_constraint_guided-2014.json,events/c106C15-alns_stage02_constraint_guided-2014.jsonl,environments/c106C15-alns_stage02_constraint_guided-2014.json
