instance,runs,feasible_runs,feasibility_rate,best_objective_key,best_vehicle_count,best_total_distance,best_total_charging_time,best_charging_count,mean_runtime_seconds,median_runtime_seconds,mean_trace_exact_calls,median_trace_exact_calls,mean_trace_cache_hits,median_trace_cache_hits,mean_trace_precomputed_routes,median_trace_precomputed_routes,mean_screening_calls,median_screening_calls,mean_screening_rejections,median_screening_rejections,mean_screening_cache_hits,median_screening_cache_hits,mean_effective_iterations,median_effective_iterations
c101C5,3,3,1.0,"[2, 257.747451864, 472.556700052, 3]",2,257.747451864,472.556700052,3,0.20923140300631834,0.20877175001078285,17.0,17,2649.0,2674,1679.0,1678,11610.333333333334,11655,61.0,61,7486.333333333333,7478,1000.0,1000
c101_21,3,3,1.0,"[12, 1055.920259047, 1386.415951629, 8]",12,1055.920259047,1386.415951629,8,30.001838375018753,30.000376583018806,1228.6666666666667,1237,23243.0,23483,2265.3333333333335,2236,582640.6666666666,568329,30818.666666666668,30760,492952.3333333333,478780,227.0,229
c104C10,3,3,1.0,"[2, 273.931237129, 589.151039592, 3]",2,273.931237129,589.151039592,3,3.109288250008831,3.136759292014176,1892.0,1695,38091.333333333336,37985,1542.6666666666667,1585,68948.33333333333,69538,495.3333333333333,425,7719.0,7471,1000.0,1000
c106C15,3,3,1.0,"[3, 275.133168873, 437.989595186, 2]",3,275.133168873,437.989595186,2,3.8518424589904803,3.8592999590036925,1417.6666666666667,1475,53480.0,53096,2361.3333333333335,2332,182024.33333333334,182783,5261.333333333333,5446,104026.33333333333,103267,1000.0,1000
r101_21,3,3,1.0,"[20, 1718.126450884, 387.496489613, 24]",20,1718.126450884,387.496489613,24,30.018028236333823,30.01157712499844,1416.0,1352,28677.0,29789,4888.0,4986,622995.3333333334,573977,58090.333333333336,57071,482908.0,436040,295.0,298
r103C10,3,3,1.0,"[2, 207.051154172, 49.247992351, 3]",2,207.051154172,49.247992351,3,1.6199022639969674,1.5558943749929313,931.6666666666666,863,19336.333333333332,19117,1421.0,1475,59384.666666666664,59861,2097.3333333333335,2073,26517.333333333332,26458,1000.0,1000
r105C15,3,3,1.0,"[4, 336.1536021, 80.684092212, 4]",4,336.1536021,80.684092212,4,2.402959000338645,2.419775959016988,413.6666666666667,413,32720.666666666668,32440,3401.6666666666665,3353,171207.66666666666,172428,3624.6666666666665,3675,122616.0,122715,1000.0,1000
r105C5,3,3,1.0,"[2, 156.082069464, 44.159902941, 2]",2,156.082069464,44.159902941,2,0.24872744433620633,0.24970820799353532,22.0,22,4118.0,4114,1750.0,1742,12111.666666666666,12111,51.0,52,6311.0,6338,1000.0,1000
rc101_21,3,3,1.0,"[17, 1859.245198811, 277.117471294, 19]",17,1859.245198811,277.117471294,19,30.00936941599745,30.011377165996237,1571.3333333333333,1582,15749.666666666666,15960,2508.6666666666665,2453,426907.0,410974,45997.333333333336,44310,310712.6666666667,296957,175.0,175
rc102C10,3,3,1.0,"[4, 423.510181924, 69.382613231, 3]",4,423.510181924,69.382613231,3,0.9544017083341411,0.9472020829853136,132.33333333333334,136,16463.333333333332,16606,3361.3333333333335,3378,70840.66666666667,70774,785.6666666666666,742,47449.0,47415,1000.0,1000
rc103C15,3,3,1.0,"[4, 397.669856913, 67.687714099, 4]",4,397.669856913,67.687714099,4,3.2977800970062767,3.261361625016434,859.3333333333334,867,48410.666666666664,48720,3583.3333333333335,3590,180239.66666666666,179897,2284.0,2275,102699.66666666667,103233,1000.0,1000
rc105C5,3,3,1.0,"[2, 241.296391877, 59.789763586, 3]",2,241.296391877,59.789763586,3,0.2255359446668687,0.22514995900564827,22.0,22,3403.6666666666665,3397,1906.6666666666667,1903,11760.666666666666,11742,62.0,61,6854.333333333333,6830,1000.0,1000
