instance,seed,axis,backend,batch_launches,exact_calls,packing_seconds,total_seconds,transitions,unpacking_seconds,started_calls,completed_calls,interrupted_calls
c101C5,2014,fixed_exact_calls,cpu_batch,13,17,7.308500789804384e-05,0.0037632929961546324,1381,0.00019591600357671268,17,17,0
c101C5,2014,wall_clock,cpu_batch,13,17,6.74150069244206e-05,0.003726207996805897,1381,0.00018591700427350588,17,17,0
c101C5,2015,fixed_exact_calls,cpu_batch,13,17,6.849899727967568e-05,0.0037144190064282157,1381,0.00019649598834803328,17,17,0
c101C5,2015,wall_clock,cpu_batch,13,17,6.28729976597242e-05,0.003878542996972101,1381,0.00018766599168884568,17,17,0
c101C5,2016,fixed_exact_calls,cpu_batch,13,17,6.958399535506032e-05,0.0036400000062712934,1381,0.00018912600717158057,17,17,0
c101C5,2016,wall_clock,cpu_batch,13,17,6.483699326054193e-05,0.003925958986656042,1381,0.00019116600014967844,17,17,0
c101_21,2014,fixed_exact_calls,cpu_batch,99,100,0.001900531966384733,1.173585339976853,613674,0.0032043339997471776,100,100,0
c101_21,2014,wall_clock,cpu_batch,1529,1532,0.02926397987175733,18.74211486598506,9511890,0.04278644300575252,1532,1531,1
c101_21,2015,fixed_exact_calls,cpu_batch,98,100,0.0018007429789577145,1.0884023810067447,570084,0.003012582012161147,100,100,0
c101_21,2015,wall_clock,cpu_batch,1415,1421,0.026022775076853577,17.40514932593578,8866629,0.04046169904904673,1421,1420,1
c101_21,2016,fixed_exact_calls,cpu_batch,99,100,0.0018538840085966513,1.1524255059812276,601280,0.0030876989767421037,100,100,0
c101_21,2016,wall_clock,cpu_batch,1607,1614,0.030072081033722498,19.347945004046778,10196828,0.04442418703183648,1614,1614,0
c104C10,2014,fixed_exact_calls,cpu_batch,41,100,0.0004217099995003082,0.0575002890000178,27374,0.0004942480081808753,100,100,0
c104C10,2014,wall_clock,cpu_batch,1759,2302,0.012476261927076848,1.5757733659520454,693140,0.017353575003653532,2302,2302,0
c104C10,2015,fixed_exact_calls,cpu_batch,41,100,0.00041808299283729866,0.05925600100090378,27374,0.0005501260020537302,100,100,0
c104C10,2015,wall_clock,cpu_batch,1224,1679,0.008120320933812764,1.2333734759449726,503937,0.01387903298746096,1679,1679,0
c104C10,2016,fixed_exact_calls,cpu_batch,41,100,0.00040974900184664875,0.057696622992807534,27374,0.0005105799973534886,100,100,0
c104C10,2016,wall_clock,cpu_batch,1237,1694,0.008010780988115584,1.0872006730096473,501554,0.01381349294751999,1694,1694,0
c106C15,2014,fixed_exact_calls,cpu_batch,76,100,0.0004608710114553105,0.03954829400026938,14962,0.0010340829903725535,100,100,0
c106C15,2014,wall_clock,cpu_batch,1314,1475,0.00805043707441655,0.9157026570283051,312835,0.013332224043551832,1475,1475,0
c106C15,2015,fixed_exact_calls,cpu_batch,76,100,0.0004747960119857453,0.039457127000787295,14962,0.0010228749815723859,100,100,0
c106C15,2015,wall_clock,cpu_batch,1128,1276,0.007046086979244137,0.774916267957451,293440,0.011899068977072602,1276,1276,0
c106C15,2016,fixed_exact_calls,cpu_batch,76,100,0.0004679999874497298,0.03937133300496498,14962,0.0010414549906272441,100,100,0
c106C15,2016,wall_clock,cpu_batch,1339,1502,0.018242166905110935,0.9783471339214884,339236,0.016379519991460256,1502,1502,0
r101_21,2014,fixed_exact_calls,cpu_batch,97,100,0.001363247967674397,0.7475317980097316,415196,0.003062915991904447,100,100,0
r101_21,2014,wall_clock,cpu_batch,1888,1902,0.027732143076718785,16.879416860072524,9382046,0.056044079989078455,1902,1902,0
r101_21,2015,fixed_exact_calls,cpu_batch,97,100,0.001356923999992432,0.7576932980045967,422988,0.0029566680095740594,100,100,0
r101_21,2015,wall_clock,cpu_batch,1846,1860,0.02721724403454573,17.08115429985628,9474052,0.05642891400566441,1860,1860,0
r101_21,2016,fixed_exact_calls,cpu_batch,97,100,0.0013993800057505723,0.76867196299645,421668,0.003187166999850888,100,100,0
