instance,seed,axis,started_calls,completed_calls,interrupted_calls,infeasible_calls,budget_boundary_events,no_post_boundary_cache_store,acceptance_semantics_valid,candidate_rollback_valid,cache_lifecycle_valid,deadline_context_valid
c101C5,2014,fixed_exact_calls,17,17,0,0,0,True,True,True,True,True
c101C5,2014,wall_clock,17,17,0,0,0,True,True,True,True,True
c101C5,2015,fixed_exact_calls,17,17,0,0,0,True,True,True,True,True
c101C5,2015,wall_clock,17,17,0,0,0,True,True,True,True,True
c101C5,2016,fixed_exact_calls,17,17,0,0,0,True,True,True,True,True
c101C5,2016,wall_clock,17,17,0,0,0,True,True,True,True,True
c101_21,2014,fixed_exact_calls,100,100,0,28,1,True,True,True,True,True
c101_21,2014,wall_clock,1532,1531,1,536,0,True,True,True,True,True
c101_21,2015,fixed_exact_calls,100,100,0,31,1,True,True,True,True,True
c101_21,2015,wall_clock,1421,1420,1,479,0,True,True,True,True,True
c101_21,2016,fixed_exact_calls,100,100,0,31,1,True,True,True,True,True
c101_21,2016,wall_clock,1614,1614,0,591,0,True,True,True,True,True
c104C10,2014,fixed_exact_calls,100,100,0,63,1,True,True,True,True,True
c104C10,2014,wall_clock,2302,2302,0,1114,0,True,True,True,True,True
c104C10,2015,fixed_exact_calls,100,100,0,63,1,True,True,True,True,True
c104C10,2015,wall_clock,1679,1679,0,762,0,True,True,True,True,True
c104C10,2016,fixed_exact_calls,100,100,0,63,1,True,True,True,True,True
c104C10,2016,wall_clock,1694,1694,0,749,0,True,True,True,True,True
c106C15,2014,fixed_exact_calls,100,100,0,27,1,True,True,True,True,True
c106C15,2014,wall_clock,1475,1475,0,663,0,True,True,True,True,True
c106C15,2015,fixed_exact_calls,100,100,0,27,1,True,True,True,True,True
c106C15,2015,wall_clock,1276,1276,0,536,0,True,True,True,True,True
c106C15,2016,fixed_exact_calls,100,100,0,27,1,True,True,True,True,True
c106C15,2016,wall_clock,1502,1502,0,591,0,True,True,True,True,True
r101_21,2014,fixed_exact_calls,100,100,0,18,1,True,True,True,True,True
r101_21,2014,wall_clock,1902,1902,0,440,0,True,True,True,True,True
r101_21,2015,fixed_exact_calls,100,100,0,21,1,True,True,True,True,True
r101_21,2015,wall_clock,1860,1860,0,418,0,True,True,True,True,True
r101_21,2016,fixed_exact_calls,100,100,0,20,1,True,True,True,True,True
r101_21,2016,wall_clock,1620,1619,1,381,0,True,True,True,True,True
r103C10,2014,fixed_exact_calls,100,100,0,23,1,True,True,True,True,True
r103C10,2014,wall_clock,797,797,0,289,0,True,True,True,True,True
r103C10,2015,fixed_exact_calls,100,100,0,21,1,True,True,True,True,True
r103C10,2015,wall_clock,1135,1135,0,497,0,True,True,True,True,True
r103C10,2016,fixed_exact_calls,100,100,0,21,1,True,True,True,True,True
r103C10,2016,wall_clock,863,863,0,359,0,True,True,True,True,True
r105C15,2014,fixed_exact_calls,100,100,0,29,1,True,True,True,True,True
r105C15,2014,wall_clock,374,374,0,144,0,True,True,True,True,True
r105C15,2015,fixed_exact_calls,100,100,0,21,1,True,True,True,True,True
r105C15,2015,wall_clock,413,413,0,156,0,True,True,True,True,True
r105C15,2016,fixed_exact_calls,100,100,0,29,1,True,True,True,True,True
r105C15,2016,wall_clock,454,454,0,188,0,True,True,True,True,True
r105C5,2014,fixed_exact_calls,22,22,0,8,0,True,True,True,True,True
r105C5,2014,wall_clock,22,22,0,8,0,True,True,True,True,True
r105C5,2015,fixed_exact_calls,22,22,0,8,0,True,True,True,True,True
r105C5,2015,wall_clock,22,22,0,8,0,True,True,True,True,True
r105C5,2016,fixed_exact_calls,22,22,0,8,0,True,True,True,True,True
r105C5,2016,wall_clock,22,22,0,8,0,True,True,True,True,True
rc101_21,2014,fixed_exact_calls,100,100,0,34,1,True,True,True,True,True
rc101_21,2014,wall_clock,2133,2132,1,773,0,True,True,True,True,True
rc101_21,2015,fixed_exact_calls,100,100,0,30,1,True,True,True,True,True
rc101_21,2015,wall_clock,1985,1984,1,637,0,True,True,True,True,True
rc101_21,2016,fixed_exact_calls,100,100,0,32,1,True,True,True,True,True
rc101_21,2016,wall_clock,2039,2039,0,657,0,True,True,True,True,True
rc102C10,2014,fixed_exact_calls,100,100,0,43,1,True,True,True,True,True
rc102C10,2014,wall_clock,136,136,0,53,0,True,True,True,True,True
rc102C10,2015,fixed_exact_calls,100,100,0,33,1,True,True,True,True,True
rc102C10,2015,wall_clock,123,123,0,44,0,True,True,True,True,True
rc102C10,2016,fixed_exact_calls,100,100,0,37,1,True,True,True,True,True
rc102C10,2016,wall_clock,138,138,0,54,0,True,True,True,True,True
rc103C15,2014,fixed_exact_calls,100,100,0,40,1,True,True,True,True,True
rc103C15,2014,wall_clock,867,867,0,385,0,True,True,True,True,True
rc103C15,2015,fixed_exact_calls,100,100,0,40,1,True,True,True,True,True
rc103C15,2015,wall_clock,828,828,0,357,0,True,True,True,True,True
rc103C15,2016,fixed_exact_calls,100,100,0,40,1,True,True,True,True,True
rc103C15,2016,wall_clock,883,883,0,382,0,True,True,True,True,True
rc105C5,2014,fixed_exact_calls,22,22,0,4,0,True,True,True,True,True
rc105C5,2014,wall_clock,22,22,0,4,0,True,True,True,True,True
rc105C5,2015,fixed_exact_calls,22,22,0,4,0,True,True,True,True,True
rc105C5,2015,wall_clock,22,22,0,4,0,True,True,True,True,True
rc105C5,2016,fixed_exact_calls,22,22,0,4,0,True,True,True,True,True
rc105C5,2016,wall_clock,22,22,0,4,0,True,True,True,True,True
