instance,seed,fixed_runtime_seconds,wall_runtime_seconds,fixed_effective_iterations,wall_effective_iterations,fixed_started_calls,wall_started_calls
c101C5,2014,0.22110724999947706,0.21983695800008718,1000,1000,17,17
c101C5,2015,0.21457624999675318,0.21483812500082422,1000,1000,17,17
c101C5,2016,0.21854104200247093,0.24397983300150372,1000,1000,17,17
c101_21,2014,1.568830166997941,30.000373250000848,4,334,100,1532
c101_21,2015,2.7483406249994005,30.00040274999992,4,340,100,1421
c101_21,2016,2.8245663329980744,30.3469326250015,5,302,100,1614
c104C10,2014,0.0661708749976242,3.858171999996557,0,1000,100,2302
c104C10,2015,0.06848075000016252,3.6166590829998313,0,1000,100,1679
c104C10,2016,0.06659666700215894,3.7712328330017044,0,1000,100,1694
c106C15,2014,0.06023891600125353,4.579848916000628,2,1000,100,1475
c106C15,2015,0.060421416001190664,4.55740833299933,2,1000,100,1276
c106C15,2016,0.06042075000004843,5.197053750001942,2,1000,100,1502
r101_21,2014,2.937510542000382,30.000488792000397,6,388,100,1902
r101_21,2015,2.94818737499736,30.000455708002846,6,466,100,1860
r101_21,2016,2.9917372919990157,30.0005060830008,5,391,100,1620
r103C10,2014,0.0621145000004617,1.852915708997898,4,1000,100,797
r103C10,2015,0.059239165999315446,2.151176041999861,4,1000,100,1135
r103C10,2016,0.06148354200195172,1.9242604580031184,4,1000,100,863
r105C15,2014,0.1524250000002212,3.4489407910004957,6,1000,100,374
r105C15,2015,0.13213249999898835,3.1363912919987342,6,1000,100,413
r105C15,2016,0.13222454199785716,3.0497087920011836,5,1000,100,454
r105C5,2014,0.259944124998583,0.25959962499837275,1000,1000,22,22
r105C5,2015,0.28880095799831906,0.2580408329995407,1000,1000,22,22
r105C5,2016,0.2656800000004296,0.30396370900052716,1000,1000,22,22
rc101_21,2014,1.0841191660001641,30.000492541999847,3,268,100,2133
rc101_21,2015,3.237889250001899,30.000410500000726,6,283,100,1985
rc101_21,2016,1.0838427910020982,30.000458708000224,3,232,100,2039
rc102C10,2014,0.22419716700096615,1.2129554999992251,179,1000,100,136
rc102C10,2015,0.24566062499798136,1.2148372500014375,208,1000,100,123
rc102C10,2016,0.1336046249998617,1.2214890830000513,78,1000,100,138
rc103C15,2014,0.055242999998881714,4.107245749997674,0,1000,100,867
rc103C15,2015,0.05530916599673219,3.791083542000706,0,1000,100,828
rc103C15,2016,0.05536362500060932,4.066692417000013,0,1000,100,883
rc105C5,2014,0.24800600000162376,0.24059937499987427,1000,1000,22,22
rc105C5,2015,0.24119495899867616,0.29457258399997954,1000,1000,22,22
rc105C5,2016,0.2710404169993126,0.2412884999976086,1000,1000,22,22
