instance,seed,axis,backend,valid,objective_key,vehicle_count,runtime_seconds,iterations,effective_iterations,started_calls,completed_calls,interrupted_calls,infeasible_calls,exact_call_budget,budget_exhaustions,termination_reason,trace_reconciliation_status,provenance_valid,route_references_valid,candidate_rollback_valid,cache_lifecycle_valid,deadline_context_valid
c101C5,2014,fixed_exact_calls,cpu_batch,True,"[2,257.747451864,472.556700052,3]",2,0.22110724999947706,1000,1000,17,17,0,0,100,0,iteration_limit,pass,True,True,True,True,True
c101C5,2014,wall_clock,cpu_batch,True,"[2,257.747451864,472.556700052,3]",2,0.21983695800008718,1000,1000,17,17,0,0,,0,iteration_limit,pass,True,True,True,True,True
c101C5,2015,fixed_exact_calls,cpu_batch,True,"[2,257.747451864,472.556700052,3]",2,0.21457624999675318,1000,1000,17,17,0,0,100,0,iteration_limit,pass,True,True,True,True,True
c101C5,2015,wall_clock,cpu_batch,True,"[2,257.747451864,472.556700052,3]",2,0.21483812500082422,1000,1000,17,17,0,0,,0,iteration_limit,pass,True,True,True,True,True
c101C5,2016,fixed_exact_calls,cpu_batch,True,"[2,257.747451864,472.556700052,3]",2,0.21854104200247093,1000,1000,17,17,0,0,100,0,iteration_limit,pass,True,True,True,True,True
c101C5,2016,wall_clock,cpu_batch,True,"[2,257.747451864,472.556700052,3]",2,0.24397983300150372,1000,1000,17,17,0,0,,0,iteration_limit,pass,True,True,True,True,True
c101_21,2014,fixed_exact_calls,cpu_batch,True,"[13,1128.674806786,1284.168368264,8]",13,1.568830166997941,5,4,100,100,0,28,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
c101_21,2014,wall_clock,cpu_batch,True,"[12,1055.920259047,1386.415951629,8]",12,30.000373250000848,334,334,1532,1531,1,536,,0,wall_clock_deadline,pass,True,True,True,True,True
c101_21,2015,fixed_exact_calls,cpu_batch,True,"[13,1095.598484133,1228.688403168,7]",13,2.7483406249994005,5,4,100,100,0,31,100,1,exact_call_budget_exhausted,pass,True,True,True,True,True
c101_21,2015,wall_clock,cpu_batch,True,"[12,1055.920259047,1386.415951629,8]",12,30.00040274999992,340,340,1421,1420,1,479,,0,wall_clock_deadline,pass,True,True,True,True,True
