instance,seed,axis,status,reason
c101C5,2014,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
c101C5,2014,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
c101C5,2015,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
c101C5,2015,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
c101C5,2016,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
c101C5,2016,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
c101_21,2014,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
c101_21,2014,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
c101_21,2015,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
c101_21,2015,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
c101_21,2016,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
c101_21,2016,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
c104C10,2014,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
c104C10,2014,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
c104C10,2015,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
c104C10,2015,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
c104C10,2016,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
c104C10,2016,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
c106C15,2014,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
c106C15,2014,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
c106C15,2015,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
c106C15,2015,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
c106C15,2016,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
c106C15,2016,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
r101_21,2014,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
r101_21,2014,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
r101_21,2015,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
r101_21,2015,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
r101_21,2016,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
r101_21,2016,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
r103C10,2014,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
r103C10,2014,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
r103C10,2015,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
r103C10,2015,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
r103C10,2016,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
r103C10,2016,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
r105C15,2014,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
r105C15,2014,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
r105C15,2015,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
r105C15,2015,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
r105C15,2016,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
r105C15,2016,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
r105C5,2014,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
r105C5,2014,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
r105C5,2015,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
r105C5,2015,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
r105C5,2016,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
r105C5,2016,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
rc101_21,2014,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
rc101_21,2014,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
rc101_21,2015,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
rc101_21,2015,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
rc101_21,2016,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
rc101_21,2016,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
rc102C10,2014,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
rc102C10,2014,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
rc102C10,2015,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
rc102C10,2015,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
rc102C10,2016,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
rc102C10,2016,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
rc103C15,2014,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
rc103C15,2014,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
rc103C15,2015,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
rc103C15,2015,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
rc103C15,2016,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
rc103C15,2016,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
rc105C5,2014,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
rc105C5,2014,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
rc105C5,2015,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
rc105C5,2015,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
rc105C5,2016,fixed_exact_calls,pass,"independent validator, objective, trace, backend and deadline replay"
rc105C5,2016,wall_clock,pass,"independent validator, objective, trace, backend and deadline replay"
