axis,count,instance,lookup_result,operation,seed
serial_fixed_exact_calls,2,c101C5,hit,lookup_result,2014
serial_fixed_exact_calls,28,c101C5,miss,lookup_result,2014
serial_fixed_exact_calls,2,c101C5,,store,2014
parallel_fixed_exact_calls,2,c101C5,hit,lookup_result,2014
parallel_fixed_exact_calls,28,c101C5,miss,lookup_result,2014
parallel_fixed_exact_calls,2,c101C5,,store,2014
serial_wall_clock,2,c101C5,hit,lookup_result,2014
serial_wall_clock,394,c101C5,miss,lookup_result,2014
serial_wall_clock,2,c101C5,,store,2014
parallel_wall_clock,2,c101C5,hit,lookup_result,2014
parallel_wall_clock,394,c101C5,miss,lookup_result,2014
parallel_wall_clock,2,c101C5,,store,2014
serial_fixed_exact_calls,2,c101C5,hit,lookup_result,2015
serial_fixed_exact_calls,22,c101C5,miss,lookup_result,2015
serial_fixed_exact_calls,2,c101C5,,store,2015
parallel_fixed_exact_calls,2,c101C5,hit,lookup_result,2015
parallel_fixed_exact_calls,22,c101C5,miss,lookup_result,2015
parallel_fixed_exact_calls,2,c101C5,,store,2015
serial_wall_clock,2,c101C5,hit,lookup_result,2015
serial_wall_clock,432,c101C5,miss,lookup_result,2015
serial_wall_clock,2,c101C5,,store,2015
parallel_wall_clock,2,c101C5,hit,lookup_result,2015
parallel_wall_clock,432,c101C5,miss,lookup_result,2015
parallel_wall_clock,2,c101C5,,store,2015
serial_fixed_exact_calls,2,c101C5,hit,lookup_result,2016
serial_fixed_exact_calls,38,c101C5,miss,lookup_result,2016
serial_fixed_exact_calls,2,c101C5,,store,2016
parallel_fixed_exact_calls,2,c101C5,hit,lookup_result,2016
parallel_fixed_exact_calls,38,c101C5,miss,lookup_result,2016
parallel_fixed_exact_calls,2,c101C5,,store,2016
serial_wall_clock,2,c101C5,hit,lookup_result,2016
serial_wall_clock,446,c101C5,miss,lookup_result,2016
serial_wall_clock,2,c101C5,,store,2016
parallel_wall_clock,2,c101C5,hit,lookup_result,2016
parallel_wall_clock,446,c101C5,miss,lookup_result,2016
parallel_wall_clock,2,c101C5,,store,2016
serial_fixed_exact_calls,72,c101_21,hit,lookup_result,2014
serial_fixed_exact_calls,93,c101_21,miss,lookup_result,2014
serial_fixed_exact_calls,22,c101_21,,store,2014
parallel_fixed_exact_calls,72,c101_21,hit,lookup_result,2014
parallel_fixed_exact_calls,93,c101_21,miss,lookup_result,2014
parallel_fixed_exact_calls,22,c101_21,,store,2014
serial_wall_clock,82,c101_21,hit,lookup_result,2014
serial_wall_clock,125,c101_21,miss,lookup_result,2014
serial_wall_clock,24,c101_21,,store,2014
parallel_wall_clock,82,c101_21,hit,lookup_result,2014
parallel_wall_clock,125,c101_21,miss,lookup_result,2014
parallel_wall_clock,24,c101_21,,store,2014
serial_fixed_exact_calls,50,c101_21,hit,lookup_result,2015
serial_fixed_exact_calls,99,c101_21,miss,lookup_result,2015
serial_fixed_exact_calls,22,c101_21,,store,2015
parallel_fixed_exact_calls,50,c101_21,hit,lookup_result,2015
parallel_fixed_exact_calls,99,c101_21,miss,lookup_result,2015
parallel_fixed_exact_calls,22,c101_21,,store,2015
serial_wall_clock,72,c101_21,hit,lookup_result,2015
serial_wall_clock,131,c101_21,miss,lookup_result,2015
serial_wall_clock,26,c101_21,,store,2015
parallel_wall_clock,72,c101_21,hit,lookup_result,2015
parallel_wall_clock,131,c101_21,miss,lookup_result,2015
parallel_wall_clock,26,c101_21,,store,2015
serial_fixed_exact_calls,57,c101_21,hit,lookup_result,2016
serial_fixed_exact_calls,89,c101_21,miss,lookup_result,2016
serial_fixed_exact_calls,20,c101_21,,store,2016
parallel_fixed_exact_calls,57,c101_21,hit,lookup_result,2016
parallel_fixed_exact_calls,89,c101_21,miss,lookup_result,2016
parallel_fixed_exact_calls,20,c101_21,,store,2016
serial_wall_clock,70,c101_21,hit,lookup_result,2016
serial_wall_clock,120,c101_21,miss,lookup_result,2016
serial_wall_clock,24,c101_21,,store,2016
parallel_wall_clock,70,c101_21,hit,lookup_result,2016
parallel_wall_clock,118,c101_21,miss,lookup_result,2016
parallel_wall_clock,24,c101_21,,store,2016
serial_fixed_exact_calls,84,r101_21,hit,lookup_result,2014
serial_fixed_exact_calls,132,r101_21,miss,lookup_result,2014
serial_fixed_exact_calls,30,r101_21,,store,2014
parallel_fixed_exact_calls,84,r101_21,hit,lookup_result,2014
parallel_fixed_exact_calls,132,r101_21,miss,lookup_result,2014
parallel_fixed_exact_calls,30,r101_21,,store,2014
serial_wall_clock,107,r101_21,hit,lookup_result,2014
serial_wall_clock,187,r101_21,miss,lookup_result,2014
serial_wall_clock,32,r101_21,,store,2014
parallel_wall_clock,107,r101_21,hit,lookup_result,2014
parallel_wall_clock,187,r101_21,miss,lookup_result,2014
parallel_wall_clock,32,r101_21,,store,2014
serial_fixed_exact_calls,35,r101_21,hit,lookup_result,2015
serial_fixed_exact_calls,123,r101_21,miss,lookup_result,2015
serial_fixed_exact_calls,25,r101_21,,store,2015
parallel_fixed_exact_calls,35,r101_21,hit,lookup_result,2015
parallel_fixed_exact_calls,123,r101_21,miss,lookup_result,2015
parallel_fixed_exact_calls,25,r101_21,,store,2015
serial_wall_clock,90,r101_21,hit,lookup_result,2015
serial_wall_clock,206,r101_21,miss,lookup_result,2015
serial_wall_clock,33,r101_21,,store,2015
parallel_wall_clock,86,r101_21,hit,lookup_result,2015
parallel_wall_clock,199,r101_21,miss,lookup_result,2015
parallel_wall_clock,32,r101_21,,store,2015
serial_fixed_exact_calls,113,r101_21,hit,lookup_result,2016
serial_fixed_exact_calls,198,r101_21,miss,lookup_result,2016
serial_fixed_exact_calls,35,r101_21,,store,2016
parallel_fixed_exact_calls,113,r101_21,hit,lookup_result,2016
parallel_fixed_exact_calls,198,r101_21,miss,lookup_result,2016
parallel_fixed_exact_calls,35,r101_21,,store,2016
serial_wall_clock,143,r101_21,hit,lookup_result,2016
serial_wall_clock,235,r101_21,miss,lookup_result,2016
serial_wall_clock,36,r101_21,,store,2016
parallel_wall_clock,143,r101_21,hit,lookup_result,2016
parallel_wall_clock,235,r101_21,miss,lookup_result,2016
parallel_wall_clock,36,r101_21,,store,2016
serial_fixed_exact_calls,2,r105C5,hit,lookup_result,2014
serial_fixed_exact_calls,42,r105C5,miss,lookup_result,2014
serial_fixed_exact_calls,2,r105C5,,store,2014
parallel_fixed_exact_calls,2,r105C5,hit,lookup_result,2014
parallel_fixed_exact_calls,42,r105C5,miss,lookup_result,2014
parallel_fixed_exact_calls,2,r105C5,,store,2014
serial_wall_clock,2,r105C5,hit,lookup_result,2014
serial_wall_clock,358,r105C5,miss,lookup_result,2014
serial_wall_clock,2,r105C5,,store,2014
parallel_wall_clock,2,r105C5,hit,lookup_result,2014
parallel_wall_clock,358,r105C5,miss,lookup_result,2014
parallel_wall_clock,2,r105C5,,store,2014
serial_fixed_exact_calls,2,r105C5,hit,lookup_result,2015
serial_fixed_exact_calls,54,r105C5,miss,lookup_result,2015
serial_fixed_exact_calls,2,r105C5,,store,2015
parallel_fixed_exact_calls,2,r105C5,hit,lookup_result,2015
parallel_fixed_exact_calls,54,r105C5,miss,lookup_result,2015
parallel_fixed_exact_calls,2,r105C5,,store,2015
serial_wall_clock,2,r105C5,hit,lookup_result,2015
serial_wall_clock,398,r105C5,miss,lookup_result,2015
serial_wall_clock,2,r105C5,,store,2015
parallel_wall_clock,2,r105C5,hit,lookup_result,2015
parallel_wall_clock,398,r105C5,miss,lookup_result,2015
parallel_wall_clock,2,r105C5,,store,2015
serial_fixed_exact_calls,2,r105C5,hit,lookup_result,2016
serial_fixed_exact_calls,40,r105C5,miss,lookup_result,2016
serial_fixed_exact_calls,2,r105C5,,store,2016
parallel_fixed_exact_calls,2,r105C5,hit,lookup_result,2016
parallel_fixed_exact_calls,40,r105C5,miss,lookup_result,2016
parallel_fixed_exact_calls,2,r105C5,,store,2016
serial_wall_clock,2,r105C5,hit,lookup_result,2016
serial_wall_clock,346,r105C5,miss,lookup_result,2016
serial_wall_clock,2,r105C5,,store,2016
parallel_wall_clock,2,r105C5,hit,lookup_result,2016
parallel_wall_clock,346,r105C5,miss,lookup_result,2016
parallel_wall_clock,2,r105C5,,store,2016
serial_fixed_exact_calls,73,rc101_21,hit,lookup_result,2014
serial_fixed_exact_calls,201,rc101_21,miss,lookup_result,2014
serial_fixed_exact_calls,32,rc101_21,,store,2014
parallel_fixed_exact_calls,73,rc101_21,hit,lookup_result,2014
parallel_fixed_exact_calls,201,rc101_21,miss,lookup_result,2014
parallel_fixed_exact_calls,32,rc101_21,,store,2014
serial_wall_clock,86,rc101_21,hit,lookup_result,2014
serial_wall_clock,278,rc101_21,miss,lookup_result,2014
serial_wall_clock,34,rc101_21,,store,2014
parallel_wall_clock,86,rc101_21,hit,lookup_result,2014
parallel_wall_clock,278,rc101_21,miss,lookup_result,2014
parallel_wall_clock,34,rc101_21,,store,2014
serial_fixed_exact_calls,91,rc101_21,hit,lookup_result,2015
serial_fixed_exact_calls,262,rc101_21,miss,lookup_result,2015
serial_fixed_exact_calls,35,rc101_21,,store,2015
parallel_fixed_exact_calls,91,rc101_21,hit,lookup_result,2015
parallel_fixed_exact_calls,262,rc101_21,miss,lookup_result,2015
parallel_fixed_exact_calls,35,rc101_21,,store,2015
serial_wall_clock,105,rc101_21,hit,lookup_result,2015
serial_wall_clock,286,rc101_21,miss,lookup_result,2015
serial_wall_clock,37,rc101_21,,store,2015
parallel_wall_clock,105,rc101_21,hit,lookup_result,2015
parallel_wall_clock,286,rc101_21,miss,lookup_result,2015
parallel_wall_clock,37,rc101_21,,store,2015
serial_fixed_exact_calls,79,rc101_21,hit,lookup_result,2016
serial_fixed_exact_calls,171,rc101_21,miss,lookup_result,2016
serial_fixed_exact_calls,33,rc101_21,,store,2016
parallel_fixed_exact_calls,79,rc101_21,hit,lookup_result,2016
parallel_fixed_exact_calls,171,rc101_21,miss,lookup_result,2016
parallel_fixed_exact_calls,33,rc101_21,,store,2016
serial_wall_clock,87,rc101_21,hit,lookup_result,2016
serial_wall_clock,259,rc101_21,miss,lookup_result,2016
serial_wall_clock,37,rc101_21,,store,2016
parallel_wall_clock,87,rc101_21,hit,lookup_result,2016
parallel_wall_clock,259,rc101_21,miss,lookup_result,2016
parallel_wall_clock,37,rc101_21,,store,2016
serial_fixed_exact_calls,2,rc105C5,hit,lookup_result,2014
serial_fixed_exact_calls,18,rc105C5,miss,lookup_result,2014
serial_fixed_exact_calls,2,rc105C5,,store,2014
parallel_fixed_exact_calls,2,rc105C5,hit,lookup_result,2014
parallel_fixed_exact_calls,18,rc105C5,miss,lookup_result,2014
parallel_fixed_exact_calls,2,rc105C5,,store,2014
serial_wall_clock,2,rc105C5,hit,lookup_result,2014
serial_wall_clock,244,rc105C5,miss,lookup_result,2014
serial_wall_clock,2,rc105C5,,store,2014
parallel_wall_clock,2,rc105C5,hit,lookup_result,2014
parallel_wall_clock,244,rc105C5,miss,lookup_result,2014
parallel_wall_clock,2,rc105C5,,store,2014
serial_fixed_exact_calls,2,rc105C5,hit,lookup_result,2015
serial_fixed_exact_calls,22,rc105C5,miss,lookup_result,2015
serial_fixed_exact_calls,2,rc105C5,,store,2015
parallel_fixed_exact_calls,2,rc105C5,hit,lookup_result,2015
parallel_fixed_exact_calls,22,rc105C5,miss,lookup_result,2015
parallel_fixed_exact_calls,2,rc105C5,,store,2015
serial_wall_clock,2,rc105C5,hit,lookup_result,2015
serial_wall_clock,296,rc105C5,miss,lookup_result,2015
serial_wall_clock,2,rc105C5,,store,2015
parallel_wall_clock,2,rc105C5,hit,lookup_result,2015
parallel_wall_clock,296,rc105C5,miss,lookup_result,2015
parallel_wall_clock,2,rc105C5,,store,2015
serial_fixed_exact_calls,2,rc105C5,hit,lookup_result,2016
serial_fixed_exact_calls,22,rc105C5,miss,lookup_result,2016
serial_fixed_exact_calls,2,rc105C5,,store,2016
parallel_fixed_exact_calls,2,rc105C5,hit,lookup_result,2016
parallel_fixed_exact_calls,22,rc105C5,miss,lookup_result,2016
parallel_fixed_exact_calls,2,rc105C5,,store,2016
serial_wall_clock,2,rc105C5,hit,lookup_result,2016
serial_wall_clock,238,rc105C5,miss,lookup_result,2016
serial_wall_clock,2,rc105C5,,store,2016
parallel_wall_clock,2,rc105C5,hit,lookup_result,2016
parallel_wall_clock,238,rc105C5,miss,lookup_result,2016
parallel_wall_clock,2,rc105C5,,store,2016
