axis,count,instance,reason,seed,status
serial_fixed_exact_calls,14,c101C5,forward_time_window_prefilter,2014,negative_cache_hit
serial_fixed_exact_calls,124,c101C5,,2014,pass
serial_fixed_exact_calls,40,c101C5,time_window_prefilter,2014,prefilter_rejected_aggregate
serial_fixed_exact_calls,29,c101C5,forward_time_window_prefilter,2014,rejected
parallel_fixed_exact_calls,14,c101C5,forward_time_window_prefilter,2014,negative_cache_hit
parallel_fixed_exact_calls,124,c101C5,,2014,pass
parallel_fixed_exact_calls,40,c101C5,time_window_prefilter,2014,prefilter_rejected_aggregate
parallel_fixed_exact_calls,29,c101C5,forward_time_window_prefilter,2014,rejected
serial_wall_clock,14,c101C5,forward_time_window_prefilter,2014,negative_cache_hit
serial_wall_clock,490,c101C5,,2014,pass
serial_wall_clock,280,c101C5,time_window_prefilter,2014,prefilter_rejected_aggregate
serial_wall_clock,29,c101C5,forward_time_window_prefilter,2014,rejected
parallel_wall_clock,14,c101C5,forward_time_window_prefilter,2014,negative_cache_hit
parallel_wall_clock,490,c101C5,,2014,pass
parallel_wall_clock,280,c101C5,time_window_prefilter,2014,prefilter_rejected_aggregate
parallel_wall_clock,29,c101C5,forward_time_window_prefilter,2014,rejected
serial_fixed_exact_calls,14,c101C5,forward_time_window_prefilter,2015,negative_cache_hit
serial_fixed_exact_calls,118,c101C5,,2015,pass
serial_fixed_exact_calls,35,c101C5,time_window_prefilter,2015,prefilter_rejected_aggregate
serial_fixed_exact_calls,29,c101C5,forward_time_window_prefilter,2015,rejected
parallel_fixed_exact_calls,14,c101C5,forward_time_window_prefilter,2015,negative_cache_hit
parallel_fixed_exact_calls,118,c101C5,,2015,pass
parallel_fixed_exact_calls,35,c101C5,time_window_prefilter,2015,prefilter_rejected_aggregate
parallel_fixed_exact_calls,29,c101C5,forward_time_window_prefilter,2015,rejected
serial_wall_clock,14,c101C5,forward_time_window_prefilter,2015,negative_cache_hit
serial_wall_clock,528,c101C5,,2015,pass
serial_wall_clock,280,c101C5,time_window_prefilter,2015,prefilter_rejected_aggregate
serial_wall_clock,29,c101C5,forward_time_window_prefilter,2015,rejected
parallel_wall_clock,14,c101C5,forward_time_window_prefilter,2015,negative_cache_hit
parallel_wall_clock,528,c101C5,,2015,pass
parallel_wall_clock,280,c101C5,time_window_prefilter,2015,prefilter_rejected_aggregate
parallel_wall_clock,29,c101C5,forward_time_window_prefilter,2015,rejected
serial_fixed_exact_calls,14,c101C5,forward_time_window_prefilter,2016,negative_cache_hit
serial_fixed_exact_calls,134,c101C5,,2016,pass
serial_fixed_exact_calls,40,c101C5,time_window_prefilter,2016,prefilter_rejected_aggregate
serial_fixed_exact_calls,29,c101C5,forward_time_window_prefilter,2016,rejected
parallel_fixed_exact_calls,14,c101C5,forward_time_window_prefilter,2016,negative_cache_hit
parallel_fixed_exact_calls,134,c101C5,,2016,pass
parallel_fixed_exact_calls,40,c101C5,time_window_prefilter,2016,prefilter_rejected_aggregate
parallel_fixed_exact_calls,29,c101C5,forward_time_window_prefilter,2016,rejected
serial_wall_clock,14,c101C5,forward_time_window_prefilter,2016,negative_cache_hit
serial_wall_clock,542,c101C5,,2016,pass
serial_wall_clock,260,c101C5,time_window_prefilter,2016,prefilter_rejected_aggregate
serial_wall_clock,29,c101C5,forward_time_window_prefilter,2016,rejected
parallel_wall_clock,14,c101C5,forward_time_window_prefilter,2016,negative_cache_hit
parallel_wall_clock,542,c101C5,,2016,pass
parallel_wall_clock,260,c101C5,time_window_prefilter,2016,prefilter_rejected_aggregate
parallel_wall_clock,29,c101C5,forward_time_window_prefilter,2016,rejected
serial_fixed_exact_calls,6,c101_21,capacity_prefilter,2014,negative_cache_hit
serial_fixed_exact_calls,74,c101_21,forward_time_window_prefilter,2014,negative_cache_hit
serial_fixed_exact_calls,19030,c101_21,,2014,pass
serial_fixed_exact_calls,8368,c101_21,capacity_prefilter,2014,prefilter_rejected_aggregate
serial_fixed_exact_calls,432,c101_21,time_window_prefilter,2014,prefilter_rejected_aggregate
serial_fixed_exact_calls,126,c101_21,capacity_prefilter,2014,rejected
serial_fixed_exact_calls,2692,c101_21,forward_time_window_prefilter,2014,rejected
parallel_fixed_exact_calls,6,c101_21,capacity_prefilter,2014,negative_cache_hit
parallel_fixed_exact_calls,74,c101_21,forward_time_window_prefilter,2014,negative_cache_hit
parallel_fixed_exact_calls,19030,c101_21,,2014,pass
parallel_fixed_exact_calls,8368,c101_21,capacity_prefilter,2014,prefilter_rejected_aggregate
parallel_fixed_exact_calls,432,c101_21,time_window_prefilter,2014,prefilter_rejected_aggregate
parallel_fixed_exact_calls,126,c101_21,capacity_prefilter,2014,rejected
parallel_fixed_exact_calls,2692,c101_21,forward_time_window_prefilter,2014,rejected
serial_wall_clock,6,c101_21,capacity_prefilter,2014,negative_cache_hit
serial_wall_clock,74,c101_21,forward_time_window_prefilter,2014,negative_cache_hit
serial_wall_clock,19072,c101_21,,2014,pass
serial_wall_clock,12552,c101_21,capacity_prefilter,2014,prefilter_rejected_aggregate
serial_wall_clock,648,c101_21,time_window_prefilter,2014,prefilter_rejected_aggregate
serial_wall_clock,126,c101_21,capacity_prefilter,2014,rejected
serial_wall_clock,2692,c101_21,forward_time_window_prefilter,2014,rejected
parallel_wall_clock,6,c101_21,capacity_prefilter,2014,negative_cache_hit
parallel_wall_clock,74,c101_21,forward_time_window_prefilter,2014,negative_cache_hit
parallel_wall_clock,19072,c101_21,,2014,pass
parallel_wall_clock,12552,c101_21,capacity_prefilter,2014,prefilter_rejected_aggregate
parallel_wall_clock,648,c101_21,time_window_prefilter,2014,prefilter_rejected_aggregate
parallel_wall_clock,126,c101_21,capacity_prefilter,2014,rejected
parallel_wall_clock,2692,c101_21,forward_time_window_prefilter,2014,rejected
serial_fixed_exact_calls,6,c101_21,capacity_prefilter,2015,negative_cache_hit
serial_fixed_exact_calls,74,c101_21,forward_time_window_prefilter,2015,negative_cache_hit
serial_fixed_exact_calls,19014,c101_21,,2015,pass
serial_fixed_exact_calls,8368,c101_21,capacity_prefilter,2015,prefilter_rejected_aggregate
serial_fixed_exact_calls,432,c101_21,time_window_prefilter,2015,prefilter_rejected_aggregate
serial_fixed_exact_calls,126,c101_21,capacity_prefilter,2015,rejected
serial_fixed_exact_calls,2692,c101_21,forward_time_window_prefilter,2015,rejected
parallel_fixed_exact_calls,6,c101_21,capacity_prefilter,2015,negative_cache_hit
parallel_fixed_exact_calls,74,c101_21,forward_time_window_prefilter,2015,negative_cache_hit
parallel_fixed_exact_calls,19014,c101_21,,2015,pass
parallel_fixed_exact_calls,8368,c101_21,capacity_prefilter,2015,prefilter_rejected_aggregate
parallel_fixed_exact_calls,432,c101_21,time_window_prefilter,2015,prefilter_rejected_aggregate
parallel_fixed_exact_calls,126,c101_21,capacity_prefilter,2015,rejected
parallel_fixed_exact_calls,2692,c101_21,forward_time_window_prefilter,2015,rejected
serial_wall_clock,6,c101_21,capacity_prefilter,2015,negative_cache_hit
serial_wall_clock,74,c101_21,forward_time_window_prefilter,2015,negative_cache_hit
serial_wall_clock,19068,c101_21,,2015,pass
