atomic_budgets,axis,budget_events,budget_ledger_valid,candidate_plan_decisions,decisions,instance,maximum_granted_per_iteration,not_selected,plan_ranking_valid,seed,selected,valid
True,serial_fixed_exact_calls,14,True,13,13,c101C5,0,2,True,2014,4,True
True,parallel_fixed_exact_calls,14,True,13,13,c101C5,0,2,True,2014,4,True
True,serial_wall_clock,197,True,73,73,c101C5,0,2,True,2014,12,True
True,parallel_wall_clock,197,True,73,73,c101C5,0,2,True,2014,12,True
True,serial_fixed_exact_calls,11,True,15,15,c101C5,0,2,True,2015,5,True
True,parallel_fixed_exact_calls,11,True,15,15,c101C5,0,2,True,2015,5,True
True,serial_wall_clock,216,True,72,72,c101C5,0,2,True,2015,16,True
True,parallel_wall_clock,216,True,72,72,c101C5,0,2,True,2015,16,True
True,serial_fixed_exact_calls,19,True,19,19,c101C5,0,2,True,2016,6,True
True,parallel_fixed_exact_calls,19,True,19,19,c101C5,0,2,True,2016,6,True
True,serial_wall_clock,223,True,70,70,c101C5,0,2,True,2016,12,True
True,parallel_wall_clock,223,True,70,70,c101C5,0,2,True,2016,12,True
True,serial_fixed_exact_calls,53,True,605,605,c101_21,1,556,True,2014,42,True
True,parallel_fixed_exact_calls,53,True,605,605,c101_21,1,556,True,2014,42,True
True,serial_wall_clock,69,True,617,617,c101_21,1,559,True,2014,47,True
True,parallel_wall_clock,69,True,617,617,c101_21,1,559,True,2014,47,True
True,serial_fixed_exact_calls,59,True,637,637,c101_21,1,591,True,2015,45,True
True,parallel_fixed_exact_calls,59,True,637,637,c101_21,1,591,True,2015,45,True
True,serial_wall_clock,82,True,677,677,c101_21,1,613,True,2015,62,True
True,parallel_wall_clock,82,True,677,677,c101_21,1,613,True,2015,62,True
True,serial_fixed_exact_calls,54,True,593,593,c101_21,1,547,True,2016,42,True
True,parallel_fixed_exact_calls,54,True,593,593,c101_21,1,547,True,2016,42,True
True,serial_wall_clock,75,True,640,640,c101_21,1,576,True,2016,57,True
True,parallel_wall_clock,75,True,640,640,c101_21,1,576,True,2016,57,True
True,serial_fixed_exact_calls,63,True,361,377,c104C10,1,294,True,2014,48,True
True,parallel_fixed_exact_calls,63,True,361,377,c104C10,1,294,True,2014,48,True
True,serial_wall_clock,193,True,1768,1882,c104C10,1,1162,True,2014,239,True
True,parallel_wall_clock,193,True,1768,1882,c104C10,1,1162,True,2014,239,True
True,serial_fixed_exact_calls,56,True,319,328,c104C10,1,263,True,2015,41,True
True,parallel_fixed_exact_calls,56,True,319,328,c104C10,1,263,True,2015,41,True
True,serial_wall_clock,257,True,1708,1757,c104C10,1,1247,True,2015,238,True
True,parallel_wall_clock,257,True,1708,1757,c104C10,1,1247,True,2015,238,True
True,serial_fixed_exact_calls,55,True,281,289,c104C10,1,236,True,2016,37,True
True,parallel_fixed_exact_calls,55,True,281,289,c104C10,1,236,True,2016,37,True
True,serial_wall_clock,281,True,1978,2071,c104C10,1,1569,True,2016,286,True
True,parallel_wall_clock,281,True,1978,2071,c104C10,1,1569,True,2016,286,True
True,serial_fixed_exact_calls,63,True,272,290,c106C15,1,214,True,2014,62,True
True,parallel_fixed_exact_calls,63,True,272,290,c106C15,1,214,True,2014,62,True
True,serial_wall_clock,238,True,1202,1292,c106C15,1,687,True,2014,286,True
True,parallel_wall_clock,238,True,1202,1292,c106C15,1,687,True,2014,286,True
True,serial_fixed_exact_calls,104,True,330,330,c106C15,1,246,True,2015,65,True
True,parallel_fixed_exact_calls,104,True,330,330,c106C15,1,246,True,2015,65,True
True,serial_wall_clock,410,True,1604,1604,c106C15,1,945,True,2015,363,True
True,parallel_wall_clock,410,True,1604,1604,c106C15,1,945,True,2015,363,True
True,serial_fixed_exact_calls,43,True,202,214,c106C15,1,159,True,2016,39,True
True,parallel_fixed_exact_calls,43,True,202,214,c106C15,1,159,True,2016,39,True
True,serial_wall_clock,238,True,1195,1297,c106C15,1,635,True,2016,260,True
True,parallel_wall_clock,238,True,1195,1297,c106C15,1,635,True,2016,260,True
True,serial_fixed_exact_calls,65,True,556,556,r101_21,1,501,True,2014,48,True
True,parallel_fixed_exact_calls,65,True,556,556,r101_21,1,501,True,2014,48,True
True,serial_wall_clock,91,True,613,613,r101_21,1,542,True,2014,62,True
True,parallel_wall_clock,91,True,613,613,r101_21,1,542,True,2014,62,True
True,serial_fixed_exact_calls,49,True,478,478,r101_21,1,449,True,2015,29,True
True,parallel_fixed_exact_calls,49,True,478,478,r101_21,1,449,True,2015,29,True
True,serial_wall_clock,102,True,561,561,r101_21,1,500,True,2015,60,True
True,parallel_wall_clock,102,True,561,561,r101_21,1,500,True,2015,60,True
True,serial_fixed_exact_calls,99,True,614,614,r101_21,1,540,True,2016,64,True
True,parallel_fixed_exact_calls,99,True,614,614,r101_21,1,540,True,2016,64,True
True,serial_wall_clock,114,True,624,624,r101_21,1,544,True,2016,70,True
True,parallel_wall_clock,114,True,624,624,r101_21,1,544,True,2016,70,True
True,serial_fixed_exact_calls,67,True,193,193,r103C10,1,122,True,2014,45,True
True,parallel_fixed_exact_calls,67,True,193,193,r103C10,1,122,True,2014,45,True
True,serial_wall_clock,294,True,1467,1467,r103C10,1,803,True,2014,306,True
True,parallel_wall_clock,294,True,1467,1467,r103C10,1,803,True,2014,306,True
True,serial_fixed_exact_calls,85,True,341,341,r103C10,1,225,True,2015,73,True
True,parallel_fixed_exact_calls,85,True,341,341,r103C10,1,225,True,2015,73,True
True,serial_wall_clock,199,True,1056,1056,r103C10,1,549,True,2015,214,True
True,parallel_wall_clock,199,True,1056,1056,r103C10,1,549,True,2015,214,True
True,serial_fixed_exact_calls,39,True,114,114,r103C10,1,75,True,2016,23,True
True,parallel_fixed_exact_calls,39,True,114,114,r103C10,1,75,True,2016,23,True
True,serial_wall_clock,207,True,1324,1324,r103C10,1,668,True,2016,269,True
True,parallel_wall_clock,207,True,1324,1324,r103C10,1,668,True,2016,269,True
True,serial_fixed_exact_calls,68,True,157,157,r105C15,1,105,True,2014,49,True
True,parallel_fixed_exact_calls,68,True,157,157,r105C15,1,105,True,2014,49,True
True,serial_wall_clock,272,True,822,822,r105C15,1,382,True,2014,300,True
