axis,boundary,count,instance,seed
serial_wall_clock,before_candidate_commit,1,c101_21,2014
parallel_wall_clock,before_candidate_commit,1,c101_21,2014
parallel_wall_clock,before_precomputed_route,3,c101_21,2014
serial_wall_clock,before_cheap_screening,1,c101_21,2015
serial_wall_clock,before_precomputed_route,3,c101_21,2015
parallel_wall_clock,before_cheap_screening,1,c101_21,2015
serial_wall_clock,before_cheap_screening,1,c101_21,2016
parallel_wall_clock,before_cheap_screening,1,c101_21,2016
serial_wall_clock,before_candidate_commit,1,r101_21,2014
serial_wall_clock,before_cheap_screening,1,r101_21,2014
serial_wall_clock,before_precomputed_route,2,r101_21,2014
parallel_wall_clock,before_candidate_commit,1,r101_21,2014
parallel_wall_clock,before_precomputed_route,1,r101_21,2014
serial_wall_clock,before_candidate_commit,1,r101_21,2015
parallel_wall_clock,before_candidate_commit,1,r101_21,2015
serial_wall_clock,before_cheap_screening,1,r101_21,2016
parallel_wall_clock,before_cheap_screening,1,r101_21,2016
serial_wall_clock,before_cheap_screening,1,rc101_21,2014
parallel_wall_clock,before_candidate_commit,1,rc101_21,2014
serial_wall_clock,before_candidate_commit,1,rc101_21,2015
parallel_wall_clock,before_candidate_commit,1,rc101_21,2015
parallel_wall_clock,before_cheap_screening,1,rc101_21,2015
parallel_wall_clock,before_precomputed_route,1,rc101_21,2015
serial_wall_clock,before_candidate_commit,1,rc101_21,2016
parallel_wall_clock,before_cheap_screening,1,rc101_21,2016
parallel_wall_clock,before_precomputed_route,3,rc101_21,2016
