axis,batch_events,instance,seed,valid,worker_count
serial_fixed_exact_calls,1,c101C5,2014,True,1
parallel_fixed_exact_calls,1,c101C5,2014,True,4
serial_wall_clock,1,c101C5,2014,True,1
parallel_wall_clock,1,c101C5,2014,True,4
serial_fixed_exact_calls,1,c101C5,2015,True,1
parallel_fixed_exact_calls,1,c101C5,2015,True,4
serial_wall_clock,1,c101C5,2015,True,1
parallel_wall_clock,1,c101C5,2015,True,4
serial_fixed_exact_calls,1,c101C5,2016,True,1
parallel_fixed_exact_calls,1,c101C5,2016,True,4
serial_wall_clock,1,c101C5,2016,True,1
parallel_wall_clock,1,c101C5,2016,True,4
serial_fixed_exact_calls,11,c101_21,2014,True,1
parallel_fixed_exact_calls,11,c101_21,2014,True,4
serial_wall_clock,13,c101_21,2014,True,1
parallel_wall_clock,13,c101_21,2014,True,4
serial_fixed_exact_calls,11,c101_21,2015,True,1
parallel_fixed_exact_calls,11,c101_21,2015,True,4
serial_wall_clock,15,c101_21,2015,True,1
parallel_wall_clock,15,c101_21,2015,True,4
serial_fixed_exact_calls,9,c101_21,2016,True,1
parallel_fixed_exact_calls,9,c101_21,2016,True,4
serial_wall_clock,12,c101_21,2016,True,1
parallel_wall_clock,12,c101_21,2016,True,4
serial_fixed_exact_calls,11,r101_21,2014,True,1
parallel_fixed_exact_calls,11,r101_21,2014,True,4
serial_wall_clock,13,r101_21,2014,True,1
parallel_wall_clock,13,r101_21,2014,True,4
serial_fixed_exact_calls,6,r101_21,2015,True,1
parallel_fixed_exact_calls,6,r101_21,2015,True,4
serial_wall_clock,13,r101_21,2015,True,1
parallel_wall_clock,13,r101_21,2015,True,4
serial_fixed_exact_calls,16,r101_21,2016,True,1
parallel_fixed_exact_calls,16,r101_21,2016,True,4
serial_wall_clock,17,r101_21,2016,True,1
parallel_wall_clock,17,r101_21,2016,True,4
serial_fixed_exact_calls,1,r105C5,2014,True,1
parallel_fixed_exact_calls,1,r105C5,2014,True,4
serial_wall_clock,1,r105C5,2014,True,1
parallel_wall_clock,1,r105C5,2014,True,4
serial_fixed_exact_calls,1,r105C5,2015,True,1
parallel_fixed_exact_calls,1,r105C5,2015,True,4
serial_wall_clock,1,r105C5,2015,True,1
parallel_wall_clock,1,r105C5,2015,True,4
serial_fixed_exact_calls,1,r105C5,2016,True,1
parallel_fixed_exact_calls,1,r105C5,2016,True,4
serial_wall_clock,1,r105C5,2016,True,1
parallel_wall_clock,1,r105C5,2016,True,4
serial_fixed_exact_calls,15,rc101_21,2014,True,1
parallel_fixed_exact_calls,15,rc101_21,2014,True,4
serial_wall_clock,17,rc101_21,2014,True,1
parallel_wall_clock,17,rc101_21,2014,True,4
serial_fixed_exact_calls,19,rc101_21,2015,True,1
parallel_fixed_exact_calls,19,rc101_21,2015,True,4
serial_wall_clock,21,rc101_21,2015,True,1
parallel_wall_clock,21,rc101_21,2015,True,4
serial_fixed_exact_calls,16,rc101_21,2016,True,1
parallel_fixed_exact_calls,16,rc101_21,2016,True,4
serial_wall_clock,20,rc101_21,2016,True,1
parallel_wall_clock,20,rc101_21,2016,True,4
serial_fixed_exact_calls,1,rc105C5,2014,True,1
parallel_fixed_exact_calls,1,rc105C5,2014,True,4
serial_wall_clock,1,rc105C5,2014,True,1
parallel_wall_clock,1,rc105C5,2014,True,4
serial_fixed_exact_calls,1,rc105C5,2015,True,1
parallel_fixed_exact_calls,1,rc105C5,2015,True,4
serial_wall_clock,1,rc105C5,2015,True,1
parallel_wall_clock,1,rc105C5,2015,True,4
serial_fixed_exact_calls,1,rc105C5,2016,True,1
parallel_fixed_exact_calls,1,rc105C5,2016,True,4
serial_wall_clock,1,rc105C5,2016,True,1
parallel_wall_clock,1,rc105C5,2016,True,4
