acceptance_trajectory_hash,axis,backend,cache_lifecycle_valid,candidate_hashes_valid,candidate_reconciliation_valid,candidate_transaction_valid,candidate_work_hash,completed_calls,deadline_transaction_valid,effective_iterations,exact_reconciliation_valid,inherited_initial_solution_valid,instance,objective_key,objective_not_worse,paired_semantics_valid,parallel_ordering_valid,recomputed_candidate_work_hash,recomputed_route_result_hash,route_result_hash,seed,started_calls,termination_reason,unchanged_exact_calls,valid
1477ca595d3b04e2298215830ab8339f621d30e0f7b62d0735ac899593d91f75,serial_fixed_exact_calls,cpu_batch,True,True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,True,50,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2014,2,candidate_control_exhausted,0,True
1477ca595d3b04e2298215830ab8339f621d30e0f7b62d0735ac899593d91f75,parallel_fixed_exact_calls,cpu_batch,True,True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,True,50,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2014,2,candidate_control_exhausted,0,True
492ef700ba1003bbb1461eaa2d3384f7a2abb2f3fe7ea026d945c3de77623862,serial_wall_clock,cpu_batch,True,True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,True,1000,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2014,2,iteration_limit,0,True
492ef700ba1003bbb1461eaa2d3384f7a2abb2f3fe7ea026d945c3de77623862,parallel_wall_clock,cpu_batch,True,True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,True,1000,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2014,2,iteration_limit,0,True
df1e7f3112f5420de034e04fe6a31ecd6368872bad7d7459df87076dbd860660,serial_fixed_exact_calls,cpu_batch,True,True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,True,50,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2015,2,candidate_control_exhausted,0,True
df1e7f3112f5420de034e04fe6a31ecd6368872bad7d7459df87076dbd860660,parallel_fixed_exact_calls,cpu_batch,True,True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,True,50,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2015,2,candidate_control_exhausted,0,True
faee25c7ab8ad58a4cbe4698dfb557f7ceb64f07ab6b8f1bb57c72672a1b61d8,serial_wall_clock,cpu_batch,True,True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,True,1000,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2015,2,iteration_limit,0,True
faee25c7ab8ad58a4cbe4698dfb557f7ceb64f07ab6b8f1bb57c72672a1b61d8,parallel_wall_clock,cpu_batch,True,True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,True,1000,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2015,2,iteration_limit,0,True
f1785ba9817618710709340eefb3daa2318ba5b1b136f88a787e4fc9b490544d,serial_fixed_exact_calls,cpu_batch,True,True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,True,50,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2016,2,candidate_control_exhausted,0,True
f1785ba9817618710709340eefb3daa2318ba5b1b136f88a787e4fc9b490544d,parallel_fixed_exact_calls,cpu_batch,True,True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,True,50,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2016,2,candidate_control_exhausted,0,True
