axis,backend,batch_launches,batch_size,budget_exhaustions,checkpoint_count,completed_calls,exact_call_budget,exact_calls,instance,interrupted_calls,label_management_seconds,mode,packing_seconds,schema_version,seed,started_calls,total_seconds,transition_batches,transition_seconds,transitions,unpacking_seconds,watchdog_seconds,work_batches
serial_fixed_exact_calls,cpu_batch,1,128,0,76,2,100,2,c101C5,0,0.0008039149397518486,exact_call_budget,2.154200046788901e-05,stage033-exact-deadline-v1,2014,2,0.0009352079941891134,34,0.0001312930544372648,206,4.545800038613379e-05,120.0,1
parallel_fixed_exact_calls,cpu_batch,2,128,0,136,2,100,2,c101C5,0,0.0006088780501158908,exact_call_budget,3.258399374317378e-05,stage033-exact-deadline-v1,2014,2,0.0006775829970138147,62,6.870494689792395e-05,206,5.595899710897356e-05,120.0,2
serial_wall_clock,cpu_batch,1,128,0,76,2,,2,c101C5,0,0.0008184169855667278,wall_clock,1.0584000847302377e-05,stage033-exact-deadline-v1,2014,2,0.0009104589989874512,34,9.204201342072338e-05,206,3.4791999496519566e-05,,1
parallel_wall_clock,cpu_batch,2,128,0,136,2,,2,c101C5,0,0.0005722930072806776,wall_clock,3.05419962387532e-05,stage033-exact-deadline-v1,2014,2,0.0006403750012395903,62,6.808199395891279e-05,206,4.6083019697107375e-05,,2
serial_fixed_exact_calls,cpu_batch,1,128,0,76,2,100,2,c101C5,0,0.0004875030426774174,exact_call_budget,1.4834004105068743e-05,stage033-exact-deadline-v1,2015,2,0.0005472920020110905,34,5.978895933367312e-05,206,2.9167000320740044e-05,120.0,1
parallel_fixed_exact_calls,cpu_batch,2,128,0,136,2,100,2,c101C5,0,0.0005945430020801723,exact_call_budget,3.229199501220137e-05,stage033-exact-deadline-v1,2015,2,0.0006625420064665377,62,6.799900438636541e-05,206,4.7708002966828644e-05,120.0,2
serial_wall_clock,cpu_batch,1,128,0,76,2,,2,c101C5,0,0.00046854099491611123,wall_clock,9.874987881630659e-06,stage033-exact-deadline-v1,2015,2,0.0005278750031720847,34,5.933400825597346e-05,206,2.3250002413988113e-05,,1
parallel_wall_clock,cpu_batch,2,128,0,136,2,,2,c101C5,0,0.0005670819373335689,wall_clock,2.2499996703118086e-05,stage033-exact-deadline-v1,2015,2,0.0006342090055113658,62,6.71270681777969e-05,206,4.308301140554249e-05,,2
serial_fixed_exact_calls,cpu_batch,1,128,0,76,2,100,2,c101C5,0,0.0009481229935772717,exact_call_budget,1.5124998753890395e-05,stage033-exact-deadline-v1,2016,2,0.0010245419980492443,34,7.641900447197258e-05,206,4.716699186246842e-05,120.0,1
parallel_fixed_exact_calls,cpu_batch,2,128,0,136,2,100,2,c101C5,0,0.0005598320276476443,exact_call_budget,2.316599420737475e-05,stage033-exact-deadline-v1,2016,2,0.0006261250091483817,62,6.629298150073737e-05,206,4.3957988964393735e-05,120.0,2
