instance,parallel_fixed_exact_calls_effective_iterations,parallel_fixed_exact_calls_objective_key,parallel_fixed_exact_calls_started_calls,parallel_wall_clock_effective_iterations,parallel_wall_clock_objective_key,parallel_wall_clock_started_calls,seed,serial_fixed_exact_calls_effective_iterations,serial_fixed_exact_calls_objective_key,serial_fixed_exact_calls_started_calls,serial_wall_clock_effective_iterations,serial_wall_clock_objective_key,serial_wall_clock_started_calls
c101C5,50,"[2,257.747451864,472.556700052,3]",2,1000,"[2,257.747451864,472.556700052,3]",2,2014,50,"[2,257.747451864,472.556700052,3]",2,1000,"[2,257.747451864,472.556700052,3]",2
c101C5,50,"[2,257.747451864,472.556700052,3]",2,1000,"[2,257.747451864,472.556700052,3]",2,2015,50,"[2,257.747451864,472.556700052,3]",2,1000,"[2,257.747451864,472.556700052,3]",2
c101C5,50,"[2,257.747451864,472.556700052,3]",2,1000,"[2,257.747451864,472.556700052,3]",2,2016,50,"[2,257.747451864,472.556700052,3]",2,1000,"[2,257.747451864,472.556700052,3]",2
c101_21,50,"[12,1055.920259047,1386.415951629,8]",22,97,"[12,1055.920259047,1386.415951629,8]",24,2014,50,"[12,1055.920259047,1386.415951629,8]",22,100,"[12,1055.920259047,1386.415951629,8]",24
c101_21,50,"[12,1055.920259047,1386.415951629,8]",22,100,"[12,1055.920259047,1386.415951629,8]",26,2015,50,"[12,1055.920259047,1386.415951629,8]",22,100,"[12,1055.920259047,1386.415951629,8]",26
c101_21,50,"[12,1055.920259047,1386.415951629,8]",20,97,"[12,1055.920259047,1386.415951629,8]",22,2016,50,"[12,1055.920259047,1386.415951629,8]",20,100,"[12,1055.920259047,1386.415951629,8]",22
c104C10,52,"[2,273.931237129,589.151039592,3]",20,1000,"[2,273.931237129,589.151039592,3]",67,2014,52,"[2,273.931237129,589.151039592,3]",20,1000,"[2,273.931237129,589.151039592,3]",67
c104C10,50,"[2,279.933119059,625.368886517,3]",14,1000,"[2,279.933119059,625.368886517,3]",59,2015,50,"[2,279.933119059,625.368886517,3]",14,1000,"[2,279.933119059,625.368886517,3]",59
c104C10,50,"[2,279.933119059,625.368886517,3]",14,1000,"[2,273.931237129,589.151039592,3]",94,2016,50,"[2,279.933119059,625.368886517,3]",14,1000,"[2,273.931237129,589.151039592,3]",94
c106C15,51,"[3,275.133168873,437.989595186,2]",18,1000,"[3,275.133168873,437.989595186,2]",58,2014,51,"[3,275.133168873,437.989595186,2]",18,1000,"[3,275.133168873,437.989595186,2]",58
c106C15,70,"[3,298.193048757,466.827628929,2]",16,1000,"[3,298.193048757,466.827628929,2]",67,2015,70,"[3,298.193048757,466.827628929,2]",16,1000,"[3,298.193048757,466.827628929,2]",67
c106C15,50,"[3,275.133168873,437.989595186,2]",12,1000,"[3,275.133168873,437.989595186,2]",51,2016,50,"[3,275.133168873,437.989595186,2]",12,1000,"[3,275.133168873,437.989595186,2]",51
