axis,instance,not_worse,objective_key,seed,stage033_wall_clock_objective
serial_fixed_exact_calls,c101C5,True,"[2,257.747451864,472.556700052,3]",2014,"[2,257.747451864,472.556700052,3]"
parallel_fixed_exact_calls,c101C5,True,"[2,257.747451864,472.556700052,3]",2014,"[2,257.747451864,472.556700052,3]"
serial_wall_clock,c101C5,True,"[2,257.747451864,472.556700052,3]",2014,"[2,257.747451864,472.556700052,3]"
parallel_wall_clock,c101C5,True,"[2,257.747451864,472.556700052,3]",2014,"[2,257.747451864,472.556700052,3]"
serial_fixed_exact_calls,c101C5,True,"[2,257.747451864,472.556700052,3]",2015,"[2,257.747451864,472.556700052,3]"
parallel_fixed_exact_calls,c101C5,True,"[2,257.747451864,472.556700052,3]",2015,"[2,257.747451864,472.556700052,3]"
serial_wall_clock,c101C5,True,"[2,257.747451864,472.556700052,3]",2015,"[2,257.747451864,472.556700052,3]"
parallel_wall_clock,c101C5,True,"[2,257.747451864,472.556700052,3]",2015,"[2,257.747451864,472.556700052,3]"
serial_fixed_exact_calls,c101C5,True,"[2,257.747451864,472.556700052,3]",2016,"[2,257.747451864,472.556700052,3]"
parallel_fixed_exact_calls,c101C5,True,"[2,257.747451864,472.556700052,3]",2016,"[2,257.747451864,472.556700052,3]"
serial_wall_clock,c101C5,True,"[2,257.747451864,472.556700052,3]",2016,"[2,257.747451864,472.556700052,3]"
parallel_wall_clock,c101C5,True,"[2,257.747451864,472.556700052,3]",2016,"[2,257.747451864,472.556700052,3]"
serial_fixed_exact_calls,c101_21,True,"[12,1055.920259047,1386.415951629,8]",2014,"[12,1055.920259047,1386.415951629,8]"
parallel_fixed_exact_calls,c101_21,True,"[12,1055.920259047,1386.415951629,8]",2014,"[12,1055.920259047,1386.415951629,8]"
serial_wall_clock,c101_21,True,"[12,1055.920259047,1386.415951629,8]",2014,"[12,1055.920259047,1386.415951629,8]"
parallel_wall_clock,c101_21,True,"[12,1055.920259047,1386.415951629,8]",2014,"[12,1055.920259047,1386.415951629,8]"
serial_fixed_exact_calls,c101_21,True,"[12,1055.920259047,1386.415951629,8]",2015,"[12,1055.920259047,1386.415951629,8]"
parallel_fixed_exact_calls,c101_21,True,"[12,1055.920259047,1386.415951629,8]",2015,"[12,1055.920259047,1386.415951629,8]"
serial_wall_clock,c101_21,True,"[12,1055.920259047,1386.415951629,8]",2015,"[12,1055.920259047,1386.415951629,8]"
parallel_wall_clock,c101_21,True,"[12,1055.920259047,1386.415951629,8]",2015,"[12,1055.920259047,1386.415951629,8]"
serial_fixed_exact_calls,c101_21,True,"[12,1055.920259047,1386.415951629,8]",2016,"[12,1055.920259047,1386.415951629,8]"
parallel_fixed_exact_calls,c101_21,True,"[12,1055.920259047,1386.415951629,8]",2016,"[12,1055.920259047,1386.415951629,8]"
serial_wall_clock,c101_21,True,"[12,1055.920259047,1386.415951629,8]",2016,"[12,1055.920259047,1386.415951629,8]"
parallel_wall_clock,c101_21,True,"[12,1055.920259047,1386.415951629,8]",2016,"[12,1055.920259047,1386.415951629,8]"
serial_fixed_exact_calls,c104C10,True,"[2,273.931237129,589.151039592,3]",2014,"[2,273.931237129,589.151039592,3]"
parallel_fixed_exact_calls,c104C10,True,"[2,273.931237129,589.151039592,3]",2014,"[2,273.931237129,589.151039592,3]"
serial_wall_clock,c104C10,True,"[2,273.931237129,589.151039592,3]",2014,"[2,273.931237129,589.151039592,3]"
parallel_wall_clock,c104C10,True,"[2,273.931237129,589.151039592,3]",2014,"[2,273.931237129,589.151039592,3]"
serial_fixed_exact_calls,c104C10,True,"[2,279.933119059,625.368886517,3]",2015,"[2,279.933119059,625.368886517,3]"
