axis,instance,reason,seed,status
serial_fixed_exact_calls,c101C5,independent solution/objective/candidate/parallel replay,2014,pass
parallel_fixed_exact_calls,c101C5,independent solution/objective/candidate/parallel replay,2014,pass
serial_wall_clock,c101C5,independent solution/objective/candidate/parallel replay,2014,pass
parallel_wall_clock,c101C5,independent solution/objective/candidate/parallel replay,2014,pass
serial_fixed_exact_calls,c101C5,independent solution/objective/candidate/parallel replay,2015,pass
parallel_fixed_exact_calls,c101C5,independent solution/objective/candidate/parallel replay,2015,pass
serial_wall_clock,c101C5,independent solution/objective/candidate/parallel replay,2015,pass
parallel_wall_clock,c101C5,independent solution/objective/candidate/parallel replay,2015,pass
serial_fixed_exact_calls,c101C5,independent solution/objective/candidate/parallel replay,2016,pass
parallel_fixed_exact_calls,c101C5,independent solution/objective/candidate/parallel replay,2016,pass
serial_wall_clock,c101C5,independent solution/objective/candidate/parallel replay,2016,pass
parallel_wall_clock,c101C5,independent solution/objective/candidate/parallel replay,2016,pass
serial_fixed_exact_calls,c101_21,independent solution/objective/candidate/parallel replay,2014,pass
parallel_fixed_exact_calls,c101_21,independent solution/objective/candidate/parallel replay,2014,pass
serial_wall_clock,c101_21,independent solution/objective/candidate/parallel replay,2014,pass
parallel_wall_clock,c101_21,independent solution/objective/candidate/parallel replay,2014,pass
serial_fixed_exact_calls,c101_21,independent solution/objective/candidate/parallel replay,2015,pass
parallel_fixed_exact_calls,c101_21,independent solution/objective/candidate/parallel replay,2015,pass
serial_wall_clock,c101_21,independent solution/objective/candidate/parallel replay,2015,pass
parallel_wall_clock,c101_21,independent solution/objective/candidate/parallel replay,2015,pass
serial_fixed_exact_calls,c101_21,independent solution/objective/candidate/parallel replay,2016,pass
parallel_fixed_exact_calls,c101_21,independent solution/objective/candidate/parallel replay,2016,pass
serial_wall_clock,c101_21,independent solution/objective/candidate/parallel replay,2016,pass
parallel_wall_clock,c101_21,independent solution/objective/candidate/parallel replay,2016,pass
serial_fixed_exact_calls,c104C10,independent solution/objective/candidate/parallel replay,2014,pass
parallel_fixed_exact_calls,c104C10,independent solution/objective/candidate/parallel replay,2014,pass
serial_wall_clock,c104C10,independent solution/objective/candidate/parallel replay,2014,pass
parallel_wall_clock,c104C10,independent solution/objective/candidate/parallel replay,2014,pass
serial_fixed_exact_calls,c104C10,independent solution/objective/candidate/parallel replay,2015,pass
parallel_fixed_exact_calls,c104C10,independent solution/objective/candidate/parallel replay,2015,pass
serial_wall_clock,c104C10,independent solution/objective/candidate/parallel replay,2015,pass
parallel_wall_clock,c104C10,independent solution/objective/candidate/parallel replay,2015,pass
serial_fixed_exact_calls,c104C10,independent solution/objective/candidate/parallel replay,2016,pass
parallel_fixed_exact_calls,c104C10,independent solution/objective/candidate/parallel replay,2016,pass
serial_wall_clock,c104C10,independent solution/objective/candidate/parallel replay,2016,pass
parallel_wall_clock,c104C10,independent solution/objective/candidate/parallel replay,2016,pass
serial_fixed_exact_calls,c106C15,independent solution/objective/candidate/parallel replay,2014,pass
parallel_fixed_exact_calls,c106C15,independent solution/objective/candidate/parallel replay,2014,pass
serial_wall_clock,c106C15,independent solution/objective/candidate/parallel replay,2014,pass
parallel_wall_clock,c106C15,independent solution/objective/candidate/parallel replay,2014,pass
serial_fixed_exact_calls,c106C15,independent solution/objective/candidate/parallel replay,2015,pass
parallel_fixed_exact_calls,c106C15,independent solution/objective/candidate/parallel replay,2015,pass
serial_wall_clock,c106C15,independent solution/objective/candidate/parallel replay,2015,pass
parallel_wall_clock,c106C15,independent solution/objective/candidate/parallel replay,2015,pass
serial_fixed_exact_calls,c106C15,independent solution/objective/candidate/parallel replay,2016,pass
parallel_fixed_exact_calls,c106C15,independent solution/objective/candidate/parallel replay,2016,pass
serial_wall_clock,c106C15,independent solution/objective/candidate/parallel replay,2016,pass
parallel_wall_clock,c106C15,independent solution/objective/candidate/parallel replay,2016,pass
serial_fixed_exact_calls,r101_21,independent solution/objective/candidate/parallel replay,2014,pass
parallel_fixed_exact_calls,r101_21,independent solution/objective/candidate/parallel replay,2014,pass
serial_wall_clock,r101_21,independent solution/objective/candidate/parallel replay,2014,pass
parallel_wall_clock,r101_21,independent solution/objective/candidate/parallel replay,2014,pass
serial_fixed_exact_calls,r101_21,independent solution/objective/candidate/parallel replay,2015,pass
parallel_fixed_exact_calls,r101_21,independent solution/objective/candidate/parallel replay,2015,pass
serial_wall_clock,r101_21,independent solution/objective/candidate/parallel replay,2015,pass
parallel_wall_clock,r101_21,independent solution/objective/candidate/parallel replay,2015,pass
serial_fixed_exact_calls,r101_21,independent solution/objective/candidate/parallel replay,2016,pass
parallel_fixed_exact_calls,r101_21,independent solution/objective/candidate/parallel replay,2016,pass
serial_wall_clock,r101_21,independent solution/objective/candidate/parallel replay,2016,pass
parallel_wall_clock,r101_21,independent solution/objective/candidate/parallel replay,2016,pass
serial_fixed_exact_calls,r103C10,independent solution/objective/candidate/parallel replay,2014,pass
parallel_fixed_exact_calls,r103C10,independent solution/objective/candidate/parallel replay,2014,pass
serial_wall_clock,r103C10,independent solution/objective/candidate/parallel replay,2014,pass
parallel_wall_clock,r103C10,independent solution/objective/candidate/parallel replay,2014,pass
serial_fixed_exact_calls,r103C10,independent solution/objective/candidate/parallel replay,2015,pass
parallel_fixed_exact_calls,r103C10,independent solution/objective/candidate/parallel replay,2015,pass
serial_wall_clock,r103C10,independent solution/objective/candidate/parallel replay,2015,pass
parallel_wall_clock,r103C10,independent solution/objective/candidate/parallel replay,2015,pass
serial_fixed_exact_calls,r103C10,independent solution/objective/candidate/parallel replay,2016,pass
parallel_fixed_exact_calls,r103C10,independent solution/objective/candidate/parallel replay,2016,pass
serial_wall_clock,r103C10,independent solution/objective/candidate/parallel replay,2016,pass
parallel_wall_clock,r103C10,independent solution/objective/candidate/parallel replay,2016,pass
serial_fixed_exact_calls,r105C15,independent solution/objective/candidate/parallel replay,2014,pass
parallel_fixed_exact_calls,r105C15,independent solution/objective/candidate/parallel replay,2014,pass
serial_wall_clock,r105C15,independent solution/objective/candidate/parallel replay,2014,pass
parallel_wall_clock,r105C15,independent solution/objective/candidate/parallel replay,2014,pass
serial_fixed_exact_calls,r105C15,independent solution/objective/candidate/parallel replay,2015,pass
parallel_fixed_exact_calls,r105C15,independent solution/objective/candidate/parallel replay,2015,pass
serial_wall_clock,r105C15,independent solution/objective/candidate/parallel replay,2015,pass
parallel_wall_clock,r105C15,independent solution/objective/candidate/parallel replay,2015,pass
serial_fixed_exact_calls,r105C15,independent solution/objective/candidate/parallel replay,2016,pass
parallel_fixed_exact_calls,r105C15,independent solution/objective/candidate/parallel replay,2016,pass
serial_wall_clock,r105C15,independent solution/objective/candidate/parallel replay,2016,pass
parallel_wall_clock,r105C15,independent solution/objective/candidate/parallel replay,2016,pass
serial_fixed_exact_calls,r105C5,independent solution/objective/candidate/parallel replay,2014,pass
parallel_fixed_exact_calls,r105C5,independent solution/objective/candidate/parallel replay,2014,pass
serial_wall_clock,r105C5,independent solution/objective/candidate/parallel replay,2014,pass
parallel_wall_clock,r105C5,independent solution/objective/candidate/parallel replay,2014,pass
serial_fixed_exact_calls,r105C5,independent solution/objective/candidate/parallel replay,2015,pass
parallel_fixed_exact_calls,r105C5,independent solution/objective/candidate/parallel replay,2015,pass
serial_wall_clock,r105C5,independent solution/objective/candidate/parallel replay,2015,pass
parallel_wall_clock,r105C5,independent solution/objective/candidate/parallel replay,2015,pass
serial_fixed_exact_calls,r105C5,independent solution/objective/candidate/parallel replay,2016,pass
parallel_fixed_exact_calls,r105C5,independent solution/objective/candidate/parallel replay,2016,pass
serial_wall_clock,r105C5,independent solution/objective/candidate/parallel replay,2016,pass
parallel_wall_clock,r105C5,independent solution/objective/candidate/parallel replay,2016,pass
serial_fixed_exact_calls,rc101_21,independent solution/objective/candidate/parallel replay,2014,pass
parallel_fixed_exact_calls,rc101_21,independent solution/objective/candidate/parallel replay,2014,pass
serial_wall_clock,rc101_21,independent solution/objective/candidate/parallel replay,2014,pass
parallel_wall_clock,rc101_21,independent solution/objective/candidate/parallel replay,2014,pass
serial_fixed_exact_calls,rc101_21,independent solution/objective/candidate/parallel replay,2015,pass
parallel_fixed_exact_calls,rc101_21,independent solution/objective/candidate/parallel replay,2015,pass
serial_wall_clock,rc101_21,independent solution/objective/candidate/parallel replay,2015,pass
parallel_wall_clock,rc101_21,independent solution/objective/candidate/parallel replay,2015,pass
serial_fixed_exact_calls,rc101_21,independent solution/objective/candidate/parallel replay,2016,pass
parallel_fixed_exact_calls,rc101_21,independent solution/objective/candidate/parallel replay,2016,pass
serial_wall_clock,rc101_21,independent solution/objective/candidate/parallel replay,2016,pass
parallel_wall_clock,rc101_21,independent solution/objective/candidate/parallel replay,2016,pass
serial_fixed_exact_calls,rc102C10,independent solution/objective/candidate/parallel replay,2014,pass
parallel_fixed_exact_calls,rc102C10,independent solution/objective/candidate/parallel replay,2014,pass
serial_wall_clock,rc102C10,independent solution/objective/candidate/parallel replay,2014,pass
parallel_wall_clock,rc102C10,independent solution/objective/candidate/parallel replay,2014,pass
serial_fixed_exact_calls,rc102C10,independent solution/objective/candidate/parallel replay,2015,pass
parallel_fixed_exact_calls,rc102C10,independent solution/objective/candidate/parallel replay,2015,pass
serial_wall_clock,rc102C10,independent solution/objective/candidate/parallel replay,2015,pass
parallel_wall_clock,rc102C10,independent solution/objective/candidate/parallel replay,2015,pass
serial_fixed_exact_calls,rc102C10,independent solution/objective/candidate/parallel replay,2016,pass
parallel_fixed_exact_calls,rc102C10,independent solution/objective/candidate/parallel replay,2016,pass
serial_wall_clock,rc102C10,independent solution/objective/candidate/parallel replay,2016,pass
parallel_wall_clock,rc102C10,independent solution/objective/candidate/parallel replay,2016,pass
serial_fixed_exact_calls,rc103C15,independent solution/objective/candidate/parallel replay,2014,pass
parallel_fixed_exact_calls,rc103C15,independent solution/objective/candidate/parallel replay,2014,pass
serial_wall_clock,rc103C15,independent solution/objective/candidate/parallel replay,2014,pass
parallel_wall_clock,rc103C15,independent solution/objective/candidate/parallel replay,2014,pass
serial_fixed_exact_calls,rc103C15,independent solution/objective/candidate/parallel replay,2015,pass
parallel_fixed_exact_calls,rc103C15,independent solution/objective/candidate/parallel replay,2015,pass
