aggregation,axis,evaluation_count,instance,label,mean_duration_seconds,seed,total_duration_seconds
operator,serial_fixed_exact_calls,4,c101C5,initial_solution,0.00048148975474759936,2014,0.0019259590189903975
operator,serial_fixed_exact_calls,18,c101C5,route_elimination,2.244988637458947e-07,2014,4.0409795474261045e-06
operator,serial_fixed_exact_calls,16,c101C5,route_merge,1.8487480701878667e-07,2014,2.9579969123005867e-06
operator,serial_fixed_exact_calls,42,c101C5,vehicle_count_aware_repair,2.1528623100104077e-07,2014,9.042021702043712e-06
route,serial_fixed_exact_calls,40,c101C5,14,2.4313551330124027e-05,2014,0.0009725420532049611
route,serial_fixed_exact_calls,40,c101C5,33,2.423644909868017e-05,2014,0.0009694579639472067
operator,parallel_fixed_exact_calls,4,c101C5,initial_solution,0.08403776024715626,2014,0.336151040988625
operator,parallel_fixed_exact_calls,18,c101C5,route_elimination,1.9683243913782968e-07,2014,3.542983904480934e-06
operator,parallel_fixed_exact_calls,16,c101C5,route_merge,1.9268736650701612e-07,2014,3.082997864112258e-06
operator,parallel_fixed_exact_calls,42,c101C5,vehicle_count_aware_repair,2.201898799588283e-07,2014,9.247974958270788e-06
route,parallel_fixed_exact_calls,40,c101C5,14,0.004202121849812101,2014,0.16808487399248406
route,parallel_fixed_exact_calls,40,c101C5,33,0.0042020510238216955,2014,0.16808204095286783
operator,serial_wall_clock,4,c101C5,initial_solution,0.0004658442485379055,2014,0.001863376994151622
operator,serial_wall_clock,120,c101C5,route_elimination,1.7356699875866372e-07,2014,2.0828039851039648e-05
operator,serial_wall_clock,112,c101C5,route_merge,1.8079585320914964e-07,2014,2.0249135559424758e-05
operator,serial_wall_clock,1466,c101C5,vehicle_count_aware_repair,2.066445615368744e-07,2014,0.0003029409272130579
route,serial_wall_clock,851,c101C5,14,1.347146784125025e-06,2014,0.0011464219132903963
route,serial_wall_clock,851,c101C5,33,1.2467369958692692e-06,2014,0.001060973183484748
operator,parallel_wall_clock,4,c101C5,initial_solution,0.06211198975506704,2014,0.24844795902026817
operator,parallel_wall_clock,120,c101C5,route_elimination,1.7699106441189846e-07,2014,2.1238927729427814e-05
operator,parallel_wall_clock,112,c101C5,route_merge,1.7777698043833619e-07,2014,1.9911021809093654e-05
operator,parallel_wall_clock,1466,c101C5,vehicle_count_aware_repair,2.1160559332961316e-07,2014,0.0003102137998212129
route,parallel_wall_clock,851,c101C5,14,0.0001462349753404697,2014,0.12444596401473973
route,parallel_wall_clock,851,c101C5,33,0.0001461261559986935,2014,0.12435335875488818
operator,serial_fixed_exact_calls,4,c101C5,initial_solution,0.00028215649945195764,2015,0.0011286259978078306
operator,serial_fixed_exact_calls,22,c101C5,route_elimination,1.874987819147381e-07,2015,4.124973202124238e-06
operator,serial_fixed_exact_calls,14,c101C5,route_merge,1.7849691045869675e-07,2015,2.4989567464217544e-06
operator,serial_fixed_exact_calls,48,c101C5,vehicle_count_aware_repair,1.988564690691419e-07,2015,9.545110515318811e-06
route,serial_fixed_exact_calls,44,c101C5,14,1.304838654257103e-05,2015,0.0005741290078731254
