run_label,instance,seed,started_calls,completed_calls,deadline_events,execution_errors,accepted_time_limit_candidates,classification
stage031_cheap_screening_formal01,c101C5,2014,28,28,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,c101C5,2015,27,27,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,c101C5,2016,28,28,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,c101_21,2014,1302,1302,7,0,0,cooperative_deadline_observed
stage031_cheap_screening_formal01,c101_21,2015,1251,1251,4,0,0,cooperative_deadline_observed
stage031_cheap_screening_formal01,c101_21,2016,1308,1308,2,0,0,cooperative_deadline_observed
stage031_cheap_screening_formal01,c104C10,2014,2335,2335,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,c104C10,2015,1689,1689,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,c104C10,2016,2085,2085,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,c106C15,2014,1604,1604,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,c106C15,2015,1414,1414,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,c106C15,2016,1756,1756,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,r101_21,2014,1681,1681,5,0,0,cooperative_deadline_observed
stage031_cheap_screening_formal01,r101_21,2015,1549,1549,9,0,0,cooperative_deadline_observed
stage031_cheap_screening_formal01,r101_21,2016,1569,1569,9,0,0,cooperative_deadline_observed
stage031_cheap_screening_formal01,r103C10,2014,636,636,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,r103C10,2015,927,927,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,r103C10,2016,1005,1005,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,r105C15,2014,449,449,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,r105C15,2015,540,540,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,r105C15,2016,544,544,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,r105C5,2014,38,38,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,r105C5,2015,38,38,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,r105C5,2016,38,38,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,rc101_21,2014,1763,1763,9,0,0,cooperative_deadline_observed
stage031_cheap_screening_formal01,rc101_21,2015,1682,1682,5,0,0,cooperative_deadline_observed
stage031_cheap_screening_formal01,rc101_21,2016,1737,1737,10,0,0,cooperative_deadline_observed
stage031_cheap_screening_formal01,rc102C10,2014,183,183,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,rc102C10,2015,172,172,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,rc102C10,2016,185,185,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,rc103C15,2014,1088,1088,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,rc103C15,2015,976,976,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,rc103C15,2016,1077,1077,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,rc105C5,2014,43,43,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,rc105C5,2015,42,42,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_formal01,rc105C5,2016,42,42,0,0,0,no_deadline_boundary_observed
