instance,seed,candidate_objective_key,stage03_objective_key,candidate_feasible,stage03_feasible,candidate_vehicle_count,stage03_vehicle_count,candidate_exact_calls,stage03_exact_calls,exact_call_delta,classification,gate_status,reason
c101C5,2014,"[2, 257.747451864, 472.556700052, 3]","[2, 257.747451864, 472.556700052, 3]",True,True,2,2,28,71,-43,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
c101C5,2015,"[2, 257.747451864, 472.556700052, 3]","[2, 257.747451864, 472.556700052, 3]",True,True,2,2,27,70,-43,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
c101C5,2016,"[2, 257.747451864, 472.556700052, 3]","[2, 257.747451864, 472.556700052, 3]",True,True,2,2,28,71,-43,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
c101_21,2014,"[12, 1055.920259047, 1386.415951629, 8]","[12, 1055.920259047, 1386.415951629, 8]",True,True,12,12,1302,1899,-597,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
c101_21,2015,"[12, 1055.920259047, 1386.415951629, 8]","[12, 1055.920259047, 1386.415951629, 8]",True,True,12,12,1251,1825,-574,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
c101_21,2016,"[12, 1055.920259047, 1386.415951629, 8]","[12, 1055.920259047, 1386.415951629, 8]",True,True,12,12,1308,1864,-556,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
c104C10,2014,"[2, 273.931237129, 589.151039592, 3]","[2, 273.931237129, 589.151039592, 3]",True,True,2,2,2335,2624,-289,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
c104C10,2015,"[2, 279.933119059, 625.368886517, 3]","[2, 279.933119059, 625.368886517, 3]",True,True,2,2,1689,1833,-144,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
c104C10,2016,"[2, 279.933119059, 625.368886517, 3]","[2, 279.933119059, 625.368886517, 3]",True,True,2,2,2085,2273,-188,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
c106C15,2014,"[3, 275.133168873, 437.989595186, 2]","[3, 275.133168873, 437.989595186, 2]",True,True,3,3,1604,4008,-2404,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
c106C15,2015,"[3, 298.193048757, 466.827628929, 2]","[3, 298.193048757, 466.827628929, 2]",True,True,3,3,1414,4394,-2980,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
c106C15,2016,"[3, 275.133168873, 437.989595186, 2]","[3, 275.133168873, 437.989595186, 2]",True,True,3,3,1756,4930,-3174,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
r101_21,2014,"[20, 1735.080023474, 396.51781678, 23]","[21, 1819.250457558, 442.395748859, 26]",True,True,20,21,1681,2101,-420,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
r101_21,2015,"[20, 1760.928139464, 429.112245686, 23]","[20, 1799.548688513, 463.254013128, 27]",True,True,20,20,1549,1989,-440,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
r101_21,2016,"[20, 1718.126450884, 387.496489613, 24]","[21, 1819.250457558, 442.395748859, 26]",True,True,20,21,1569,2094,-525,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
r103C10,2014,"[2, 209.465301215, 47.758552329, 2]","[2, 209.465301215, 47.758552329, 2]",True,True,2,2,636,1312,-676,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
r103C10,2015,"[2, 207.051154172, 49.247992351, 3]","[2, 207.051154172, 49.247992351, 3]",True,True,2,2,927,2062,-1135,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
r103C10,2016,"[2, 207.051154172, 49.247992351, 3]","[2, 207.051154172, 49.247992351, 3]",True,True,2,2,1005,2304,-1299,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
r105C15,2014,"[4, 336.1536021, 80.684092212, 4]","[4, 336.1536021, 80.684092212, 4]",True,True,4,4,449,2345,-1896,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
r105C15,2015,"[4, 338.888543976, 80.684092212, 4]","[4, 338.888543976, 80.684092212, 4]",True,True,4,4,540,3123,-2583,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
r105C15,2016,"[4, 336.1536021, 80.684092212, 4]","[4, 336.1536021, 80.684092212, 4]",True,True,4,4,544,3397,-2853,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
r105C5,2014,"[2, 156.082069464, 44.159902941, 2]","[2, 156.082069464, 44.159902941, 2]",True,True,2,2,38,72,-34,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
r105C5,2015,"[2, 156.082069464, 44.159902941, 2]","[2, 156.082069464, 44.159902941, 2]",True,True,2,2,38,72,-34,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
r105C5,2016,"[2, 156.082069464, 44.159902941, 2]","[2, 156.082069464, 44.159902941, 2]",True,True,2,2,38,72,-34,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
rc101_21,2014,"[18, 1864.134231279, 339.406152772, 21]","[19, 1967.498078739, 339.208415916, 20]",True,True,18,19,1763,2240,-477,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
rc101_21,2015,"[17, 1858.973974128, 299.399931109, 19]","[19, 1925.362709303, 325.819224421, 19]",True,True,17,19,1682,2225,-543,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
rc101_21,2016,"[18, 1894.526198406, 371.87065287, 23]","[20, 2011.439497301, 375.718229529, 21]",True,True,18,20,1737,2269,-532,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
rc102C10,2014,"[4, 423.510181924, 69.382613231, 3]","[4, 423.510181924, 69.382613231, 3]",True,True,4,4,183,718,-535,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
rc102C10,2015,"[4, 423.510181924, 69.382613231, 3]","[4, 423.510181924, 69.382613231, 3]",True,True,4,4,172,709,-537,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
rc102C10,2016,"[4, 423.510181924, 69.382613231, 3]","[4, 423.510181924, 69.382613231, 3]",True,True,4,4,185,764,-579,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
rc103C15,2014,"[4, 397.669856913, 67.687714099, 4]","[4, 397.669856913, 67.687714099, 4]",True,True,4,4,1088,2475,-1387,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
