instance,runs,feasible_runs,feasibility_rate,best_objective_key,best_vehicle_count,best_total_distance,best_total_charging_time,best_charging_count,mean_runtime_seconds,median_runtime_seconds,mean_trace_exact_calls,median_trace_exact_calls,mean_trace_cache_hits,median_trace_cache_hits,mean_trace_precomputed_routes,median_trace_precomputed_routes,mean_screening_calls,median_screening_calls,mean_screening_rejections,median_screening_rejections,mean_screening_cache_hits,median_screening_cache_hits,mean_effective_iterations,median_effective_iterations
c101C5,3,3,1.0,"[2, 257.747451864, 472.556700052, 3]",2,257.747451864,472.556700052,3,0.18556718066489944,0.18605712499993388,27.666666666666668,28,4314.333333333333,4338,0.0,0,13275.333333333334,13316,61.0,61,7478.333333333333,7470,1000.0,1000
c101_21,3,3,1.0,"[12, 1055.920259047, 1386.415951629, 8]",12,1055.920259047,1386.415951629,8,30.00650816699878,30.00709095899947,1287.0,1302,25531.0,25010,12.0,12,568276.0,541754,31320.333333333332,31224,476837.6666666667,451633,245.0,244
c104C10,3,3,1.0,"[2, 273.931237129, 589.151039592, 3]",2,273.931237129,589.151039592,3,2.4919533193315146,2.4781415829929756,2036.3333333333333,2085,38975.0,39151,15.666666666666666,2,69389.0,68990,517.6666666666666,495,7625.333333333333,7170,1000.0,1000
c106C15,3,3,1.0,"[3, 275.133168873, 437.989595186, 2]",3,275.133168873,437.989595186,2,2.9740758196664197,3.0009231669973815,1591.3333333333333,1604,55795.333333333336,56073,21.0,27,182928.33333333334,183249,5145.0,5201,102424.33333333333,102029,1000.0,1000
r101_21,3,3,1.0,"[20, 1718.126450884, 387.496489613, 24]",20,1718.126450884,387.496489613,24,30.0060417639955,30.00394216598943,1599.6666666666667,1569,38005.666666666664,37325,94.0,98,623280.3333333334,596374,61164.333333333336,59159,469788.0,449533,337.0,340
r103C10,3,3,1.0,"[2, 207.051154172, 49.247992351, 3]",2,207.051154172,49.247992351,3,1.3367349163308972,1.319687208000687,856.0,927,23132.333333333332,22697,225.0,237,62977.333333333336,62837,1672.0,1750,24827.0,24647,1000.0,1000
r105C15,3,3,1.0,"[4, 336.1536021, 80.684092212, 4]",4,336.1536021,80.684092212,4,2.0692476806628597,2.013673875000677,511.0,540,36210.666666666664,35791,17.333333333333332,11,175152.66666666666,176994,3665.0,3867,122728.66666666667,124081,1000.0,1000
r105C5,3,3,1.0,"[2, 156.082069464, 44.159902941, 2]",2,156.082069464,44.159902941,2,0.2089693609935542,0.21016133298689965,38.0,38,5837.0,5823,0.0,0,13718.666666666666,13708,45.0,46,6280.0,6307,1000.0,1000
rc101_21,3,3,1.0,"[17, 1858.973974128, 299.399931109, 19]",17,1858.973974128,299.399931109,19,30.003928333336564,30.000451750005595,1727.3333333333333,1737,20407.666666666668,20185,96.0,96,399920.6666666667,381375,47289.333333333336,46115,323377.0,307493,198.0,193
rc102C10,3,3,1.0,"[4, 423.510181924, 69.382613231, 3]",4,423.510181924,69.382613231,3,0.7940420143325658,0.7656519589945674,180.0,183,19750.333333333332,19847,28.666666666666668,28,74082.66666666667,73950,784.0,742,47352.0,47297,1000.0,1000
rc103C15,3,3,1.0,"[4, 397.669856913, 67.687714099, 4]",4,397.669856913,67.687714099,4,2.5956548056565225,2.5548942079913104,1047.0,1077,51035.0,50972,24.333333333333332,25,179603.0,180319,2237.3333333333335,2223,101617.33333333333,101832,1000.0,1000
rc105C5,3,3,1.0,"[2, 241.296391877, 59.789763586, 3]",2,241.296391877,59.789763586,3,0.20078122266568244,0.19955074999597855,42.333333333333336,42,5210.0,5207,64.0,64,13358.333333333334,13344,63.0,62,6825.333333333333,6801,1000.0,1000
