run_label,instance,seed,started_calls,completed_calls,exact_calls,cache_hits,precomputed_routes,deadline_events,screening_calls,screening_passes,screening_rejections,screening_cache_hits,screening_exact_call_blocked,screening_reason_counts,reconciliation_status,reconciliation_checks
stage031_cheap_screening_formal01,c101C5,2014,28,28,28,4347,0,0,13316,5735,61,7520,7581,"{""forward_time_window_prefilter"": 7581}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,c101C5,2015,27,27,27,4258,0,0,13191,5685,61,7445,7506,"{""forward_time_window_prefilter"": 7506}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,c101C5,2016,28,28,28,4338,0,0,13319,5788,61,7470,7531,"{""forward_time_window_prefilter"": 7531}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,c101_21,2014,1302,1302,1302,25010,12,7,541754,58897,31224,451633,482857,"{""capacity_prefilter"": 32554, ""forward_time_window_prefilter"": 450303}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,c101_21,2015,1251,1251,1251,28884,12,4,644922,65052,29908,549962,579870,"{""capacity_prefilter"": 28606, ""forward_time_window_prefilter"": 551264}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,c101_21,2016,1308,1308,1308,22699,12,2,518152,56405,32829,428918,461747,"{""capacity_prefilter"": 26898, ""forward_time_window_prefilter"": 434849}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,c104C10,2014,2335,2335,2335,39151,2,0,68187,58976,669,8542,9211,"{""forward_time_window_prefilter"": 9211}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,c104C10,2015,1689,1689,1689,39904,2,0,70990,63437,389,7164,7553,"{""forward_time_window_prefilter"": 7553}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,c104C10,2016,2085,2085,2085,37870,43,0,68990,61325,495,7170,7665,"{""forward_time_window_prefilter"": 7665}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,c106C15,2014,1604,1604,1604,57208,28,0,183249,76019,5201,102029,107230,"{""forward_time_window_prefilter"": 107230}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
