run_label,instance,seed,started_calls,completed_calls,deadline_events,execution_errors,accepted_time_limit_candidates,classification
stage031_cheap_screening_smoke03,c101C5,2014,28,28,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_smoke03,c101C5,2015,27,27,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_smoke03,c101C5,2016,28,28,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_smoke03,c101_21,2014,1314,1314,2,0,0,cooperative_deadline_observed
stage031_cheap_screening_smoke03,c101_21,2015,1245,1245,4,0,0,cooperative_deadline_observed
stage031_cheap_screening_smoke03,c101_21,2016,1306,1306,5,0,0,cooperative_deadline_observed
stage031_cheap_screening_smoke03,r101_21,2014,1680,1680,7,0,0,cooperative_deadline_observed
stage031_cheap_screening_smoke03,r101_21,2015,1577,1577,6,0,0,cooperative_deadline_observed
stage031_cheap_screening_smoke03,r101_21,2016,1567,1567,6,0,0,cooperative_deadline_observed
stage031_cheap_screening_smoke03,r105C5,2014,38,38,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_smoke03,r105C5,2015,38,38,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_smoke03,r105C5,2016,38,38,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_smoke03,rc101_21,2014,1793,1793,7,0,0,cooperative_deadline_observed
stage031_cheap_screening_smoke03,rc101_21,2015,1694,1694,6,0,0,cooperative_deadline_observed
stage031_cheap_screening_smoke03,rc101_21,2016,1774,1774,10,0,0,cooperative_deadline_observed
stage031_cheap_screening_smoke03,rc105C5,2014,43,43,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_smoke03,rc105C5,2015,42,42,0,0,0,no_deadline_boundary_observed
stage031_cheap_screening_smoke03,rc105C5,2016,42,42,0,0,0,no_deadline_boundary_observed
