finding,status,observed,expected,evidence
manifest_integrity,pass,verified before raw replay,all listed files exist and match SHA-256,manifest.json
run_coverage,pass,"{""duplicates"": [], ""rows"": 18}",exactly 18 unique instance/seed keys,raw_per_run_results.csv and run_metadata.json
validator_and_objective_replay,pass,18/18 feasible objective replays,18/18,raw solutions replayed through validate_routes and evrptw.objective
trace_reconciliation,pass,"[""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass"", ""pass""]",every raw trace reconciles with ALNSResult and event log,"raw trace, raw event log, and solver_result"
candidate_state_vehicle_first,pass,18,18,raw candidate_state and neighborhood events
deadline_boundary_semantics,pass,"[{""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 28, ""deadline_events"": 0, ""event_log_rows"": 6508, ""execution_errors"": 0, ""instance"": ""c101C5"", ""run_label"": """", ""seed"": 2014, ""started_calls"": 28}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 27, ""deadline_events"": 0, ""event_log_rows"": 6503, ""execution_errors"": 0, ""instance"": ""c101C5"", ""run_label"": """", ""seed"": 2015, ""started_calls"": 27}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 28, ""deadline_events"": 0, ""event_log_rows"": 6488, ""execution_errors"": 0, ""instance"": ""c101C5"", ""run_label"": """", ""seed"": 2016, ""started_calls"": 28}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 1314, ""deadline_events"": 2, ""event_log_rows"": 20422, ""execution_errors"": 0, ""instance"": ""c101_21"", ""run_label"": """", ""seed"": 2014, ""started_calls"": 1314}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 1245, ""deadline_events"": 4, ""event_log_rows"": 17947, ""execution_errors"": 0, ""instance"": ""c101_21"", ""run_label"": """", ""seed"": 2015, ""started_calls"": 1245}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 1306, ""deadline_events"": 5, ""event_log_rows"": 16624, ""execution_errors"": 0, ""instance"": ""c101_21"", ""run_label"": """", ""seed"": 2016, ""started_calls"": 1306}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 1680, ""deadline_events"": 7, ""event_log_rows"": 66629, ""execution_errors"": 0, ""instance"": ""r101_21"", ""run_label"": """", ""seed"": 2014, ""started_calls"": 1680}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 1577, ""deadline_events"": 6, ""event_log_rows"": 49054, ""execution_errors"": 0, ""instance"": ""r101_21"", ""run_label"": """", ""seed"": 2015, ""started_calls"": 1577}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 1567, ""deadline_events"": 6, ""event_log_rows"": 47864, ""execution_errors"": 0, ""instance"": ""r101_21"", ""run_label"": """", ""seed"": 2016, ""started_calls"": 1567}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 38, ""deadline_events"": 0, ""event_log_rows"": 6514, ""execution_errors"": 0, ""instance"": ""r105C5"", ""run_label"": """", ""seed"": 2014, ""started_calls"": 38}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 38, ""deadline_events"": 0, ""event_log_rows"": 6489, ""execution_errors"": 0, ""instance"": ""r105C5"", ""run_label"": """", ""seed"": 2015, ""started_calls"": 38}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 38, ""deadline_events"": 0, ""event_log_rows"": 6455, ""execution_errors"": 0, ""instance"": ""r105C5"", ""run_label"": """", ""seed"": 2016, ""started_calls"": 38}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 1793, ""deadline_events"": 7, ""event_log_rows"": 36416, ""execution_errors"": 0, ""instance"": ""rc101_21"", ""run_label"": """", ""seed"": 2014, ""started_calls"": 1793}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 1694, ""deadline_events"": 6, ""event_log_rows"": 49465, ""execution_errors"": 0, ""instance"": ""rc101_21"", ""run_label"": """", ""seed"": 2015, ""started_calls"": 1694}, {""accepted_time_limit_candidates"": 0, ""classification"": ""cooperative_deadline_observed"", ""completed_calls"": 1774, ""deadline_events"": 10, ""event_log_rows"": 36643, ""execution_errors"": 0, ""instance"": ""rc101_21"", ""run_label"": """", ""seed"": 2016, ""started_calls"": 1774}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 43, ""deadline_events"": 0, ""event_log_rows"": 6457, ""execution_errors"": 0, ""instance"": ""rc105C5"", ""run_label"": """", ""seed"": 2014, ""started_calls"": 43}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 42, ""deadline_events"": 0, ""event_log_rows"": 6463, ""execution_errors"": 0, ""instance"": ""rc105C5"", ""run_label"": """", ""seed"": 2015, ""started_calls"": 42}, {""accepted_time_limit_candidates"": 0, ""classification"": ""no_deadline_boundary_observed"", ""completed_calls"": 42, ""deadline_events"": 0, ""event_log_rows"": 6452, ""execution_errors"": 0, ""instance"": ""rc105C5"", ""run_label"": """", ""seed"": 2016, ""started_calls"": 42}]",started/completed calls are separate and no time-limit candidate is accepted,raw trace deadline report
cheap_screening_reconciliation,pass,"[{""instance"": ""c101C5"", ""screening"": {""screening_cache_hits"": 7520, ""screening_calls"": 13316, ""screening_exact_call_blocked"": 7581, ""screening_passes"": 5735, ""screening_reason_counts"": {""forward_time_window_prefilter"": 7581}, ""screening_rejections"": 61}, ""seed"": 2014}, {""instance"": ""c101C5"", ""screening"": {""screening_cache_hits"": 7445, ""screening_calls"": 13191, ""screening_exact_call_blocked"": 7506, ""screening_passes"": 5685, ""screening_reason_counts"": {""forward_time_window_prefilter"": 7506}, ""screening_rejections"": 61}, ""seed"": 2015}, {""instance"": ""c101C5"", ""screening"": {""screening_cache_hits"": 7470, ""screening_calls"": 13319, ""screening_exact_call_blocked"": 7531, ""screening_passes"": 5788, ""screening_reason_counts"": {""forward_time_window_prefilter"": 7531}, ""screening_rejections"": 61}, ""seed"": 2016}, {""instance"": ""c101_21"", ""screening"": {""screening_cache_hits"": 456334, ""screening_calls"": 547314, ""screening_exact_call_blocked"": 487797, ""screening_passes"": 59517, ""screening_reason_counts"": {""capacity_prefilter"": 32916, ""forward_time_window_prefilter"": 454881}, ""screening_rejections"": 31463}, ""seed"": 2014}, {""instance"": ""c101_21"", ""screening"": {""screening_cache_hits"": 547138, ""screening_calls"": 641689, ""screening_exact_call_blocked"": 577005, ""screening_passes"": 64684, ""screening_reason_counts"": {""capacity_prefilter"": 28490, ""forward_time_window_prefilter"": 548515}, ""screening_rejections"": 29867}, ""seed"": 2015}, {""instance"": ""c101_21"", ""screening"": {""screening_cache_hits"": 429704, ""screening_calls"": 518941, ""screening_exact_call_blocked"": 462406, ""screening_passes"": 56535, ""screening_reason_counts"": {""capacity_prefilter"": 26898, ""forward_time_window_prefilter"": 435508}, ""screening_rejections"": 32702}, ""seed"": 2016}, {""instance"": ""r101_21"", ""screening"": {""screening_cache_hits"": 427450, ""screening_calls"": 579146, ""screening_exact_call_blocked"": 495122, ""screening_passes"": 84024, ""screening_reason_counts"": {""capacity_prefilter"": 5809, ""forward_time_window_prefilter"": 489313}, ""screening_rejections"": 67672}, ""seed"": 2014}, {""instance"": ""r101_21"", ""screening"": {""screening_cache_hits"": 537372, ""screening_calls"": 701398, ""screening_exact_call_blocked"": 597273, ""screening_passes"": 104125, ""screening_reason_counts"": {""capacity_prefilter"": 3066, ""forward_time_window_prefilter"": 594207}, ""screening_rejections"": 59901}, ""seed"": 2015}, {""instance"": ""r101_21"", ""screening"": {""screening_cache_hits"": 447067, ""screening_calls"": 593651, ""screening_exact_call_blocked"": 503492, ""screening_passes"": 90159, ""screening_reason_counts"": {""capacity_prefilter"": 3555, ""forward_time_window_prefilter"": 499937}, ""screening_rejections"": 56425}, ""seed"": 2016}, {""instance"": ""r105C5"", ""screening"": {""screening_cache_hits"": 6307, ""screening_calls"": 13708, ""screening_exact_call_blocked"": 6353, ""screening_passes"": 7355, ""screening_reason_counts"": {""forward_time_window_prefilter"": 6353}, ""screening_rejections"": 46}, ""seed"": 2014}, {""instance"": ""r105C5"", ""screening"": {""screening_cache_hits"": 6168, ""screening_calls"": 13557, ""screening_exact_call_blocked"": 6214, ""screening_passes"": 7343, ""screening_reason_counts"": {""forward_time_window_prefilter"": 6214}, ""screening_rejections"": 46}, ""seed"": 2015}, {""instance"": ""r105C5"", ""screening"": {""screening_cache_hits"": 6365, ""screening_calls"": 13891, ""screening_exact_call_blocked"": 6408, ""screening_passes"": 7483, ""screening_reason_counts"": {""forward_time_window_prefilter"": 6408}, ""screening_rejections"": 43}, ""seed"": 2016}, {""instance"": ""rc101_21"", ""screening"": {""screening_cache_hits"": 310585, ""screening_calls"": 385772, ""screening_exact_call_blocked"": 356219, ""screening_passes"": 29553, ""screening_reason_counts"": {""capacity_prefilter"": 12348, ""forward_time_window_prefilter"": 343871}, ""screening_rejections"": 45634}, ""seed"": 2014}, {""instance"": ""rc101_21"", ""screening"": {""screening_cache_hits"": 393456, ""screening_calls"": 475511, ""screening_exact_call_blocked"": 444335, ""screening_passes"": 31176, ""screening_reason_counts"": {""capacity_prefilter"": 16815, ""forward_time_window_prefilter"": 427520}, ""screening_rejections"": 50879}, ""seed"": 2015}, {""instance"": ""rc101_21"", ""screening"": {""screening_cache_hits"": 286710, ""screening_calls"": 363320, ""screening_exact_call_blocked"": 333966, ""screening_passes"": 29354, ""screening_reason_counts"": {""capacity_prefilter"": 10604, ""forward_time_window_prefilter"": 323362}, ""screening_rejections"": 47256}, ""seed"": 2016}, {""instance"": ""rc105C5"", ""screening"": {""screening_cache_hits"": 6801, ""screening_calls"": 13344, ""screening_exact_call_blocked"": 6867, ""screening_passes"": 6477, ""screening_reason_counts"": {""forward_time_window_prefilter"": 6867}, ""screening_rejections"": 66}, ""seed"": 2014}, {""instance"": ""rc105C5"", ""screening"": {""screening_cache_hits"": 6777, ""screening_calls"": 13327, ""screening_exact_call_blocked"": 6838, ""screening_passes"": 6489, ""screening_reason_counts"": {""forward_time_window_prefilter"": 6838}, ""screening_rejections"": 61}, ""seed"": 2015}, {""instance"": ""rc105C5"", ""screening"": {""screening_cache_hits"": 6898, ""screening_calls"": 13404, ""screening_exact_call_blocked"": 6960, ""screening_passes"": 6444, ""screening_reason_counts"": {""forward_time_window_prefilter"": 6960}, ""screening_rejections"": 62}, ""seed"": 2016}]",every exact/cache route evaluation follows a screening pass; screening rejection/cache hit blocks exact charging,raw trace screening_decisions and route_evaluations
provenance_and_stage00_freeze,pass,source/config/Stage 0/reference provenance matches raw metadata,"clean main revision, source/config hashes, both reference states, unchanged Stage 0 manifest","run_metadata.json, parameters.toml, and Stage 0 manifest"
per_run_environment_and_instance_provenance,pass,"[""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}"", ""{\""configuration_hash\"": true, \""environment_hash\"": true, \""instance_hash\"": true, \""reference_repositories\"": true, \""repository_dirty\"": true, \""repository_revision\"": true, \""source_hash\"": true, \""stage00_manifest_hash\"": true}""]","each raw environment, instance, source/config, and reference hash matches","environments/<run>.json, raw_per_run_results.csv, and benchmark files"
historical_stage02_dirty_state_preserved,pass,"{""attempt16"": {""environment_path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/experiments/summaries/stage02_constraint_guided_attempt16_environment.json"", ""repository_dirty"": true, ""repository_revision"": ""6870b3125e9170a47246ec7333dbe382b7a0d854""}, ""rerun09"": {""environment_path"": ""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/experiments/summaries/stage02_constraint_guided_rerun09_environment.json"", ""repository_dirty"": true, ""repository_revision"": ""6870b3125e9170a47246ec7333dbe382b7a0d854""}}",attempt16 and rerun09 retain their recorded repository_dirty=true,run_metadata.json and historical Stage 2.3 environment records
