instance,seed,candidate_objective_key,stage03_objective_key,candidate_feasible,stage03_feasible,candidate_vehicle_count,stage03_vehicle_count,candidate_exact_calls,stage03_exact_calls,exact_call_delta,classification,gate_status,reason
c101C5,2014,"[2, 257.747451864, 472.556700052, 3]","[2, 257.747451864, 472.556700052, 3]",True,True,2,2,28,71,-43,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
c101C5,2015,"[2, 257.747451864, 472.556700052, 3]","[2, 257.747451864, 472.556700052, 3]",True,True,2,2,27,70,-43,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
c101C5,2016,"[2, 257.747451864, 472.556700052, 3]","[2, 257.747451864, 472.556700052, 3]",True,True,2,2,28,71,-43,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
c101_21,2014,"[12, 1055.920259047, 1386.415951629, 8]","[12, 1055.920259047, 1386.415951629, 8]",True,True,12,12,1314,1899,-585,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
c101_21,2015,"[12, 1055.920259047, 1386.415951629, 8]","[12, 1055.920259047, 1386.415951629, 8]",True,True,12,12,1245,1825,-580,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
c101_21,2016,"[12, 1055.920259047, 1386.415951629, 8]","[12, 1055.920259047, 1386.415951629, 8]",True,True,12,12,1306,1864,-558,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
r101_21,2014,"[20, 1735.080023474, 396.51781678, 23]","[21, 1819.250457558, 442.395748859, 26]",True,True,20,21,1680,2101,-421,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
r101_21,2015,"[20, 1760.928139464, 429.112245686, 23]","[20, 1799.548688513, 463.254013128, 27]",True,True,20,20,1577,1989,-412,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
r101_21,2016,"[20, 1718.126450884, 387.496489613, 24]","[21, 1819.250457558, 442.395748859, 26]",True,True,20,21,1567,2094,-527,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
r105C5,2014,"[2, 156.082069464, 44.159902941, 2]","[2, 156.082069464, 44.159902941, 2]",True,True,2,2,38,72,-34,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
r105C5,2015,"[2, 156.082069464, 44.159902941, 2]","[2, 156.082069464, 44.159902941, 2]",True,True,2,2,38,72,-34,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
r105C5,2016,"[2, 156.082069464, 44.159902941, 2]","[2, 156.082069464, 44.159902941, 2]",True,True,2,2,38,72,-34,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
rc101_21,2014,"[18, 1864.134231279, 339.406152772, 21]","[19, 1967.498078739, 339.208415916, 20]",True,True,18,19,1793,2240,-447,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
rc101_21,2015,"[17, 1858.973974128, 299.399931109, 19]","[19, 1925.362709303, 325.819224421, 19]",True,True,17,19,1694,2225,-531,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
rc101_21,2016,"[18, 1890.405367462, 369.395808154, 23]","[20, 2011.439497301, 375.718229529, 21]",True,True,18,20,1774,2269,-495,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
rc105C5,2014,"[2, 241.296391877, 59.789763586, 3]","[2, 241.296391877, 59.789763586, 3]",True,True,2,2,43,75,-32,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
rc105C5,2015,"[2, 241.296391877, 59.789763586, 3]","[2, 241.296391877, 59.789763586, 3]",True,True,2,2,42,74,-32,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
rc105C5,2016,"[2, 241.296391877, 59.789763586, 3]","[2, 241.296391877, 59.789763586, 3]",True,True,2,2,42,74,-32,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
