run_label,instance,seed,started_calls,completed_calls,deadline_events,execution_errors,accepted_time_limit_candidates,classification
stage03_measurement_formal01,c101C5,2014,71,71,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,c101C5,2015,70,70,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,c101C5,2016,71,71,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,c101_21,2014,1899,1899,5,0,0,cooperative_deadline_observed
stage03_measurement_formal01,c101_21,2015,1825,1825,6,0,0,cooperative_deadline_observed
stage03_measurement_formal01,c101_21,2016,1864,1864,7,0,0,cooperative_deadline_observed
stage03_measurement_formal01,c104C10,2014,2624,2624,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,c104C10,2015,1833,1833,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,c104C10,2016,2273,2273,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,c106C15,2014,4008,4008,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,c106C15,2015,4394,4394,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,c106C15,2016,4930,4930,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,r101_21,2014,2101,2101,9,0,0,cooperative_deadline_observed
stage03_measurement_formal01,r101_21,2015,1989,1989,9,0,0,cooperative_deadline_observed
stage03_measurement_formal01,r101_21,2016,2094,2094,9,0,0,cooperative_deadline_observed
stage03_measurement_formal01,r103C10,2014,1312,1312,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,r103C10,2015,2062,2062,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,r103C10,2016,2304,2304,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,r105C15,2014,2345,2345,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,r105C15,2015,3123,3123,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,r105C15,2016,3397,3397,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,r105C5,2014,72,72,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,r105C5,2015,72,72,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,r105C5,2016,72,72,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,rc101_21,2014,2240,2240,5,0,0,cooperative_deadline_observed
stage03_measurement_formal01,rc101_21,2015,2225,2225,9,0,0,cooperative_deadline_observed
stage03_measurement_formal01,rc101_21,2016,2269,2269,7,0,0,cooperative_deadline_observed
stage03_measurement_formal01,rc102C10,2014,718,718,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,rc102C10,2015,709,709,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,rc102C10,2016,764,764,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,rc103C15,2014,2475,2475,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,rc103C15,2015,2295,2295,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,rc103C15,2016,2305,2305,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,rc105C5,2014,75,75,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,rc105C5,2015,74,74,0,0,0,no_deadline_boundary_observed
stage03_measurement_formal01,rc105C5,2016,74,74,0,0,0,no_deadline_boundary_observed
