instance,runs,feasible_runs,feasibility_rate,best_objective_key,best_vehicle_count,best_total_distance,best_total_charging_time,best_charging_count,mean_runtime_seconds,median_runtime_seconds,mean_trace_exact_calls,median_trace_exact_calls,mean_trace_cache_hits,median_trace_cache_hits,mean_trace_precomputed_routes,median_trace_precomputed_routes,mean_effective_iterations,median_effective_iterations
c101C5,3,3,1.0,"[2, 257.747451864, 472.556700052, 3]",2,257.747451864,472.556700052,3,0.09741676365956664,0.09690383299312089,70.66666666666667,71,5313.0,5330,0.0,0,1000.0,1000
c101_21,3,3,1.0,"[12, 1055.920259047, 1386.415951629, 8]",12,1055.920259047,1386.415951629,8,30.013208458335914,30.010038874999736,1862.6666666666667,1864,4489.0,4334,12.0,12,23.0,22
c104C10,3,3,1.0,"[2, 273.931237129, 589.151039592, 3]",2,273.931237129,589.151039592,3,1.3613066386654584,1.36406774999341,2243.3333333333335,2273,41745.666666666664,42374,15.666666666666666,2,1000.0,1000
c106C15,3,3,1.0,"[3, 275.133168873, 437.989595186, 2]",3,275.133168873,437.989595186,2,2.168819041660754,2.1465589579893276,4444.0,4394,105659.66666666667,103619,21.0,27,1000.0,1000
r101_21,3,3,1.0,"[20, 1799.548688513, 463.254013128, 27]",20,1799.548688513,463.254013128,27,30.009677125000355,30.009655791989644,2061.3333333333335,2094,8234.333333333334,5804,78.0,78,52.0,55
r103C10,3,3,1.0,"[2, 207.051154172, 49.247992351, 3]",2,207.051154172,49.247992351,3,1.0106165420002071,1.0353523750090972,1892.6666666666667,2062,30625.666666666668,29597,225.0,237,1000.0,1000
r105C15,3,3,1.0,"[4, 336.1536021, 80.684092212, 4]",4,336.1536021,80.684092212,4,2.2724560829956317,2.36084079099237,2955.0,3123,76424.0,77109,17.333333333333332,11,1000.0,1000
r105C5,3,3,1.0,"[2, 156.082069464, 44.159902941, 2]",2,156.082069464,44.159902941,2,0.09483681900019292,0.09513195800536778,72.0,72,7832.666666666667,7829,0.0,0,1000.0,1000
rc101_21,3,3,1.0,"[19, 1925.362709303, 325.819224421, 19]",19,1925.362709303,325.819224421,19,30.005083069001557,30.005342666001525,2244.6666666666665,2240,4876.0,5306,96.0,96,30.0,28
rc102C10,3,3,1.0,"[4, 423.510181924, 69.382613231, 3]",4,423.510181924,69.382613231,3,0.4158183473336976,0.4128006670071045,730.3333333333334,718,34665.333333333336,35067,28.666666666666668,28,1000.0,1000
rc103C15,3,3,1.0,"[4, 397.669856913, 67.687714099, 4]",4,397.669856913,67.687714099,4,1.5083211246674182,1.486386291013332,2358.3333333333335,2305,83260.66666666667,82647,24.333333333333332,25,1000.0,1000
rc105C5,3,3,1.0,"[2, 241.296391877, 59.789763586, 3]",2,241.296391877,59.789763586,3,0.10023562499554828,0.10004474999732338,74.33333333333333,74,7377.0,7356,64.0,64,1000.0,1000
