run_label,instance,seed,started_calls,completed_calls,deadline_events,execution_errors,accepted_time_limit_candidates,classification
stage03_measurement_smoke04,c101C5,2014,71,71,0,0,0,no_deadline_boundary_observed
stage03_measurement_smoke04,c101C5,2015,70,70,0,0,0,no_deadline_boundary_observed
stage03_measurement_smoke04,c101C5,2016,71,71,0,0,0,no_deadline_boundary_observed
stage03_measurement_smoke04,c101_21,2014,1897,1897,5,0,0,cooperative_deadline_observed
stage03_measurement_smoke04,c101_21,2015,1815,1815,6,0,0,cooperative_deadline_observed
stage03_measurement_smoke04,c101_21,2016,1811,1811,7,0,0,cooperative_deadline_observed
stage03_measurement_smoke04,r101_21,2014,2090,2090,9,0,0,cooperative_deadline_observed
stage03_measurement_smoke04,r101_21,2015,1975,1975,9,0,0,cooperative_deadline_observed
stage03_measurement_smoke04,r101_21,2016,2066,2066,9,0,0,cooperative_deadline_observed
stage03_measurement_smoke04,r105C5,2014,72,72,0,0,0,no_deadline_boundary_observed
stage03_measurement_smoke04,r105C5,2015,72,72,0,0,0,no_deadline_boundary_observed
stage03_measurement_smoke04,r105C5,2016,72,72,0,0,0,no_deadline_boundary_observed
stage03_measurement_smoke04,rc101_21,2014,2218,2218,5,0,0,cooperative_deadline_observed
stage03_measurement_smoke04,rc101_21,2015,2190,2190,10,0,0,cooperative_deadline_observed
stage03_measurement_smoke04,rc101_21,2016,2252,2252,7,0,0,cooperative_deadline_observed
stage03_measurement_smoke04,rc105C5,2014,75,75,0,0,0,no_deadline_boundary_observed
stage03_measurement_smoke04,rc105C5,2015,74,74,0,0,0,no_deadline_boundary_observed
stage03_measurement_smoke04,rc105C5,2016,74,74,0,0,0,no_deadline_boundary_observed
