instance,seed,axis,weight_mode,termination_mode,vehicle_count,total_distance,total_charging_time,charging_count,iterations,effective_iterations,accepted_moves,improving_moves,rejected_moves,accepted_improving,accepted_equal,accepted_worse,reheat_count,restart_count,intensification_active,acceptance_rate,initial_temperature,maximum_stagnation,feasible,exact_started_calls,exact_completed_calls,termination_reason
c101C5,2014,adaptive_wall_clock,adaptive,wall_clock,2,257.7474518641999,472.55670005197175,3,1000,1000,373,0,627,2,373,0,5,3,False,0.44,13.222036649435935,939,True,16,16,iteration_limit
c101C5,2014,adaptive_fixed_work,adaptive,fixed_work,2,257.7474518641999,472.55670005197175,3,1000,1000,373,0,627,2,373,0,5,3,False,0.44,13.222036649435935,939,True,16,16,iteration_limit
c101C5,2014,fixed_wall_clock,fixed,wall_clock,2,257.7474518641999,472.55670005197175,3,1000,1000,309,1,691,3,308,0,0,0,False,0.18,13.222036649435935,999,True,16,16,iteration_limit
c101C5,2014,fixed_fixed_work,fixed,fixed_work,2,257.7474518641999,472.55670005197175,3,1000,1000,309,1,691,3,308,0,0,0,False,0.18,13.222036649435935,999,True,16,16,iteration_limit
c101C5,2015,adaptive_wall_clock,adaptive,wall_clock,2,257.7474518641999,472.55670005197175,3,1000,1000,379,0,621,2,379,0,5,3,False,0.52,13.222036649435935,939,True,17,17,iteration_limit
c101C5,2015,adaptive_fixed_work,adaptive,fixed_work,2,257.7474518641999,472.55670005197175,3,1000,1000,379,0,621,2,379,0,5,3,False,0.52,13.222036649435935,939,True,17,17,iteration_limit
c101C5,2015,fixed_wall_clock,fixed,wall_clock,2,257.7474518641999,472.55670005197175,3,1000,1000,309,1,691,3,308,0,0,0,False,0.38,13.222036649435935,999,True,17,17,iteration_limit
c101C5,2015,fixed_fixed_work,fixed,fixed_work,2,257.7474518641999,472.55670005197175,3,1000,1000,309,1,691,3,308,0,0,0,False,0.38,13.222036649435935,999,True,17,17,iteration_limit
c101C5,2016,adaptive_wall_clock,adaptive,wall_clock,2,257.7474518641999,472.55670005197175,3,1000,1000,366,1,634,3,365,0,5,3,False,0.42,13.222036649435935,939,True,16,16,iteration_limit
c101C5,2016,adaptive_fixed_work,adaptive,fixed_work,2,257.7474518641999,472.55670005197175,3,1000,1000,366,1,634,3,365,0,5,3,False,0.42,13.222036649435935,939,True,16,16,iteration_limit
c101C5,2016,fixed_wall_clock,fixed,wall_clock,2,257.7474518641999,472.55670005197175,3,1000,1000,320,1,680,3,319,0,0,0,False,0.3,13.222036649435935,999,True,17,17,iteration_limit
c101C5,2016,fixed_fixed_work,fixed,fixed_work,2,257.7474518641999,472.55670005197175,3,1000,1000,320,1,680,3,319,0,0,0,False,0.3,13.222036649435935,999,True,17,17,iteration_limit
r105C5,2014,adaptive_wall_clock,adaptive,wall_clock,2,156.08206946417084,44.159902941361445,2,1000,1000,557,0,443,0,557,1,5,3,False,0.66,7.804103473208542,940,True,20,20,iteration_limit
r105C5,2014,adaptive_fixed_work,adaptive,fixed_work,2,156.08206946417084,44.159902941361445,2,1000,1000,557,0,443,0,557,1,5,3,False,0.66,7.804103473208542,940,True,20,20,iteration_limit
r105C5,2014,fixed_wall_clock,fixed,wall_clock,2,156.08206946417084,44.159902941361445,2,1000,1000,464,0,536,0,464,1,0,0,False,0.42,7.804103473208542,1000,True,20,20,iteration_limit
r105C5,2014,fixed_fixed_work,fixed,fixed_work,2,156.08206946417084,44.159902941361445,2,1000,1000,464,0,536,0,464,1,0,0,False,0.42,7.804103473208542,1000,True,20,20,iteration_limit
r105C5,2015,adaptive_wall_clock,adaptive,wall_clock,2,156.08206946417084,44.159902941361445,2,1000,1000,558,1,442,1,556,2,5,3,False,0.7,7.804103473208542,940,True,21,21,iteration_limit
r105C5,2015,adaptive_fixed_work,adaptive,fixed_work,2,156.08206946417084,44.159902941361445,2,1000,1000,558,1,442,1,556,2,5,3,False,0.7,7.804103473208542,940,True,21,21,iteration_limit
r105C5,2015,fixed_wall_clock,fixed,wall_clock,2,156.08206946417084,44.159902941361445,2,1000,1000,464,2,536,2,460,3,0,0,False,0.52,7.804103473208542,1000,True,22,22,iteration_limit
r105C5,2015,fixed_fixed_work,fixed,fixed_work,2,156.08206946417084,44.159902941361445,2,1000,1000,464,2,536,2,460,3,0,0,False,0.52,7.804103473208542,1000,True,22,22,iteration_limit
r105C5,2016,adaptive_wall_clock,adaptive,wall_clock,2,156.08206946417084,44.159902941361445,2,1000,1000,541,4,459,4,533,5,5,3,False,0.52,7.804103473208542,940,True,21,21,iteration_limit
r105C5,2016,adaptive_fixed_work,adaptive,fixed_work,2,156.08206946417084,44.159902941361445,2,1000,1000,541,4,459,4,533,5,5,3,False,0.52,7.804103473208542,940,True,21,21,iteration_limit
r105C5,2016,fixed_wall_clock,fixed,wall_clock,2,156.08206946417084,44.159902941361445,2,1000,1000,487,6,513,6,475,7,0,0,False,0.34,7.804103473208542,1000,True,22,22,iteration_limit
r105C5,2016,fixed_fixed_work,fixed,fixed_work,2,156.08206946417084,44.159902941361445,2,1000,1000,487,6,513,6,475,7,0,0,False,0.34,7.804103473208542,1000,True,22,22,iteration_limit
rc105C5,2014,adaptive_wall_clock,adaptive,wall_clock,2,241.29639187672765,59.789763585628236,3,1000,1000,581,1,419,3,604,2,5,3,False,0.74,12.658405975672034,939,True,22,22,iteration_limit
rc105C5,2014,adaptive_fixed_work,adaptive,fixed_work,2,241.29639187672765,59.789763585628236,3,1000,1000,581,1,419,3,604,2,5,3,False,0.74,12.658405975672034,939,True,22,22,iteration_limit
rc105C5,2014,fixed_wall_clock,fixed,wall_clock,2,241.29639187672765,59.789763585628236,3,1000,1000,477,1,523,3,500,2,0,0,False,0.42,12.658405975672034,999,True,22,22,iteration_limit
rc105C5,2014,fixed_fixed_work,fixed,fixed_work,2,241.29639187672765,59.789763585628236,3,1000,1000,477,1,523,3,500,2,0,0,False,0.42,12.658405975672034,999,True,22,22,iteration_limit
rc105C5,2015,adaptive_wall_clock,adaptive,wall_clock,2,241.29639187672765,59.789763585628236,3,1000,1000,576,1,424,3,603,2,5,3,False,0.74,12.658405975672034,939,True,22,22,iteration_limit
rc105C5,2015,adaptive_fixed_work,adaptive,fixed_work,2,241.29639187672765,59.789763585628236,3,1000,1000,576,1,424,3,603,2,5,3,False,0.74,12.658405975672034,939,True,22,22,iteration_limit
rc105C5,2015,fixed_wall_clock,fixed,wall_clock,2,241.29639187672765,59.789763585628236,3,1000,1000,484,1,516,3,511,2,0,0,False,0.54,12.658405975672034,999,True,22,22,iteration_limit
rc105C5,2015,fixed_fixed_work,fixed,fixed_work,2,241.29639187672765,59.789763585628236,3,1000,1000,484,1,516,3,511,2,0,0,False,0.54,12.658405975672034,999,True,22,22,iteration_limit
rc105C5,2016,adaptive_wall_clock,adaptive,wall_clock,2,241.29639187672765,59.789763585628236,3,1000,1000,559,1,441,3,590,2,5,3,False,0.62,12.658405975672034,939,True,22,22,iteration_limit
rc105C5,2016,adaptive_fixed_work,adaptive,fixed_work,2,241.29639187672765,59.789763585628236,3,1000,1000,559,1,441,3,590,2,5,3,False,0.62,12.658405975672034,939,True,22,22,iteration_limit
rc105C5,2016,fixed_wall_clock,fixed,wall_clock,2,241.29639187672765,59.789763585628236,3,1000,1000,503,1,497,3,534,2,0,0,False,0.38,12.658405975672034,999,True,22,22,iteration_limit
rc105C5,2016,fixed_fixed_work,fixed,fixed_work,2,241.29639187672765,59.789763585628236,3,1000,1000,503,1,497,3,534,2,0,0,False,0.38,12.658405975672034,999,True,22,22,iteration_limit
c104C10,2014,adaptive_wall_clock,adaptive,wall_clock,2,273.9312371287162,589.1510395919971,3,1000,1000,423,31,577,38,373,25,5,3,False,0.3,18.873791131486264,617,True,2563,2563,iteration_limit
c104C10,2014,adaptive_fixed_work,adaptive,fixed_work,2,377.47582262972526,939.444619877764,5,1,0,0,0,0,0,0,0,0,0,False,0.0,18.873791131486264,0,True,100,100,exact_call_budget_exhausted
c104C10,2014,fixed_wall_clock,fixed,wall_clock,2,273.9312371287162,589.1510395919971,3,1000,1000,333,34,667,39,274,28,0,0,False,0.24,18.873791131486264,854,True,2509,2509,iteration_limit
c104C10,2014,fixed_fixed_work,fixed,fixed_work,2,377.47582262972526,939.444619877764,5,1,0,0,0,0,0,0,0,0,0,False,0.0,18.873791131486264,0,True,100,100,exact_call_budget_exhausted
c104C10,2015,adaptive_wall_clock,adaptive,wall_clock,2,279.9331190586651,625.368886516508,3,1000,1000,511,16,489,22,486,15,5,3,False,0.64,18.873791131486264,875,True,2016,2016,iteration_limit
c104C10,2015,adaptive_fixed_work,adaptive,fixed_work,2,377.47582262972526,939.444619877764,5,1,0,0,0,0,0,0,0,0,0,False,0.0,18.873791131486264,0,True,100,100,exact_call_budget_exhausted
c104C10,2015,fixed_wall_clock,fixed,wall_clock,2,273.9312371287162,589.1510395919971,3,1000,1000,296,25,704,31,249,23,0,0,False,0.2,18.873791131486264,840,True,2154,2154,iteration_limit
c104C10,2015,fixed_fixed_work,fixed,fixed_work,2,377.47582262972526,939.444619877764,5,1,0,0,0,0,0,0,0,0,0,False,0.0,18.873791131486264,0,True,100,100,exact_call_budget_exhausted
c104C10,2016,adaptive_wall_clock,adaptive,wall_clock,2,273.9312371287162,589.1510395919971,3,1000,1000,458,30,542,35,401,28,5,3,False,0.52,18.873791131486264,910,True,2372,2372,iteration_limit
c104C10,2016,adaptive_fixed_work,adaptive,fixed_work,2,377.47582262972526,939.444619877764,5,1,0,0,0,0,0,0,0,0,0,False,0.0,18.873791131486264,0,True,100,100,exact_call_budget_exhausted
c104C10,2016,fixed_wall_clock,fixed,wall_clock,2,273.9312371287162,589.1510395919971,3,1000,1000,410,30,590,35,356,26,0,0,False,0.32,18.873791131486264,892,True,2866,2866,iteration_limit
c104C10,2016,fixed_fixed_work,fixed,fixed_work,2,377.47582262972526,939.444619877764,5,1,0,0,0,0,0,0,0,0,0,False,0.0,18.873791131486264,0,True,100,100,exact_call_budget_exhausted
r103C10,2014,adaptive_wall_clock,adaptive,wall_clock,2,207.0511541721048,49.24799235093133,3,1000,1000,321,35,679,36,299,37,5,3,False,0.3,10.325666384012901,867,True,685,685,iteration_limit
r103C10,2014,adaptive_fixed_work,adaptive,fixed_work,2,228.99561063118904,62.9164542207794,3,4,3,2,1,1,1,1,1,0,0,False,0.6666666666666666,10.325666384012901,2,True,100,100,exact_call_budget_exhausted
r103C10,2014,fixed_wall_clock,fixed,wall_clock,2,207.0511541721048,49.24799235093133,3,1000,1000,297,34,703,35,282,31,0,0,False,0.18,10.325666384012901,851,True,665,665,iteration_limit
r103C10,2014,fixed_fixed_work,fixed,fixed_work,2,228.99561063118904,62.9164542207794,3,5,4,2,1,2,1,1,1,0,0,False,0.5,10.325666384012901,3,True,100,100,exact_call_budget_exhausted
r103C10,2015,adaptive_wall_clock,adaptive,wall_clock,2,207.0511541721048,49.24799235093133,3,1000,1000,384,36,616,37,363,34,5,3,False,0.58,10.325666384012901,916,True,769,769,iteration_limit
r103C10,2015,adaptive_fixed_work,adaptive,fixed_work,2,228.99561063118904,62.9164542207794,3,5,4,3,1,1,1,2,1,0,0,False,0.75,10.325666384012901,3,True,100,100,exact_call_budget_exhausted
r103C10,2015,fixed_wall_clock,fixed,wall_clock,2,207.0511541721048,49.24799235093133,3,1000,1000,295,39,705,40,268,35,0,0,False,0.2,10.325666384012901,838,True,627,627,iteration_limit
r103C10,2015,fixed_fixed_work,fixed,fixed_work,2,213.19005958760337,55.17173420942244,3,13,12,7,1,5,2,6,1,0,0,False,0.5833333333333334,10.325666384012901,8,True,100,100,exact_call_budget_exhausted
r103C10,2016,adaptive_wall_clock,adaptive,wall_clock,2,207.0511541721048,49.24799235093133,3,1000,1000,397,30,603,31,393,24,5,3,False,0.42,10.325666384012901,906,True,723,723,iteration_limit
r103C10,2016,adaptive_fixed_work,adaptive,fixed_work,2,228.99561063118904,62.9164542207794,3,4,3,2,1,1,1,1,1,0,0,False,0.6666666666666666,10.325666384012901,2,True,100,100,exact_call_budget_exhausted
r103C10,2016,fixed_wall_clock,fixed,wall_clock,2,207.0511541721048,49.24799235093133,3,1000,1000,288,27,712,28,288,23,0,0,False,0.16,10.325666384012901,809,True,678,678,iteration_limit
r103C10,2016,fixed_fixed_work,fixed,fixed_work,2,228.99561063118904,62.9164542207794,3,5,4,2,1,2,1,1,1,0,0,False,0.5,10.325666384012901,3,True,100,100,exact_call_budget_exhausted
rc102C10,2014,adaptive_wall_clock,adaptive,wall_clock,4,423.5101819239309,69.38261323056489,3,1000,1000,478,12,522,18,452,21,5,3,False,0.58,21.175509096196546,940,True,121,121,iteration_limit
rc102C10,2014,adaptive_fixed_work,adaptive,fixed_work,4,423.5101819239309,69.38261323056489,3,106,105,43,2,62,2,35,8,5,3,False,0.38,21.175509096196546,45,True,100,100,exact_call_budget_exhausted
rc102C10,2014,fixed_wall_clock,fixed,wall_clock,4,423.5101819239309,69.38261323056489,3,1000,1000,404,11,596,17,383,17,0,0,False,0.42,21.175509096196546,1000,True,130,130,iteration_limit
rc102C10,2014,fixed_fixed_work,fixed,fixed_work,4,423.5101819239309,69.38261323056489,3,81,80,38,4,42,4,30,6,0,0,False,0.48,21.175509096196546,80,True,100,100,exact_call_budget_exhausted
rc102C10,2015,adaptive_wall_clock,adaptive,wall_clock,4,423.5101819239309,69.38261323056489,3,1000,1000,462,10,538,15,442,18,5,3,False,0.5,21.175509096196546,940,True,121,121,iteration_limit
rc102C10,2015,adaptive_fixed_work,adaptive,fixed_work,4,423.5101819239309,69.38261323056489,3,134,133,52,2,81,2,47,6,5,3,False,0.4,21.175509096196546,73,True,100,100,exact_call_budget_exhausted
rc102C10,2015,fixed_wall_clock,fixed,wall_clock,4,423.5101819239309,69.38261323056489,3,1000,1000,368,16,632,21,339,21,0,0,False,0.34,21.175509096196546,1000,True,130,130,iteration_limit
rc102C10,2015,fixed_fixed_work,fixed,fixed_work,4,423.5101819239309,69.38261323056489,3,130,129,51,3,78,3,44,7,0,0,False,0.4,21.175509096196546,129,True,100,100,exact_call_budget_exhausted
rc102C10,2016,adaptive_wall_clock,adaptive,wall_clock,4,423.5101819239309,69.38261323056489,3,1000,1000,482,9,518,15,462,19,5,3,False,0.38,21.175509096196546,940,True,122,122,iteration_limit
rc102C10,2016,adaptive_fixed_work,adaptive,fixed_work,4,423.5101819239309,69.38261323056489,3,254,253,118,2,135,3,110,9,5,3,False,0.46,21.175509096196546,193,True,100,100,exact_call_budget_exhausted
rc102C10,2016,fixed_wall_clock,fixed,wall_clock,4,423.5101819239309,69.38261323056489,3,1000,1000,418,9,582,15,399,18,0,0,False,0.26,21.175509096196546,1000,True,128,128,iteration_limit
rc102C10,2016,fixed_fixed_work,fixed,fixed_work,4,423.5101819239309,69.38261323056489,3,196,195,85,4,110,5,76,8,0,0,False,0.42,21.175509096196546,195,True,100,100,exact_call_budget_exhausted
c106C15,2014,adaptive_wall_clock,adaptive,wall_clock,3,275.1331688731623,437.989595186203,2,1000,1000,378,25,622,43,335,30,5,3,False,0.32,17.24672926444315,597,True,1583,1583,iteration_limit
c106C15,2014,adaptive_fixed_work,adaptive,fixed_work,3,348.7051989388234,566.3470081885201,3,4,3,2,1,1,2,0,1,0,0,False,0.6666666666666666,17.24672926444315,2,True,100,100,exact_call_budget_exhausted
c106C15,2014,fixed_wall_clock,fixed,wall_clock,3,275.1331688731623,437.989595186203,2,1000,1000,301,13,699,43,278,36,0,0,False,0.28,17.24672926444315,943,True,1315,1315,iteration_limit
