instance,paper_name,customer_count,class_name,bks_vehicles,bks_distance,bks_charging_time,bks_charging_count,source_ref,source_doi,source_year,source_in_vor_collection,compilation_ref,compilation_doi,source_table,optimal_proven,charging_model,objective_function,distance_metric,model_compatible,compatibility_notes
c101C5,C101-5,5,C1,2,257.75,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c103C5,C103-5,5,C1,1,176.05,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c206C5,C206-5,5,C2,1,242.55,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c208C5,C208-5,5,C2,1,158.48,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r104C5,R104-5,5,R1,2,136.69,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r105C5,R105-5,5,R1,2,156.08,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r202C5,R202-5,5,R2,1,128.78,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r203C5,R203-5,5,R2,1,179.06,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
rc105C5,RC105-5,5,RC1,2,241.3,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
rc108C5,RC108-5,5,RC1,1,253.93,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
rc204C5,RC204-5,5,RC2,1,176.39,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
rc208C5,RC208-5,5,RC2,1,167.98,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c101C10,C101-10,10,C1,3,393.76,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c104C10,C104-10,10,C1,2,273.93,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c202C10,C202-10,10,C2,1,304.06,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c205C10,C205-10,10,C2,2,228.28,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r102C10,R102-10,10,R1,3,249.19,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r103C10,R103-10,10,R1,2,207.05,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r201C10,R201-10,10,R2,1,241.51,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r203C10,R203-10,10,R2,1,218.21,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
rc102C10,RC102-10,10,RC1,4,423.51,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
